Filename,Weight
002_blind,NA
003_Cali025,NA
004_Cali05,NA
005_Cali1,NA
006_Cali3,NA
007_Cali5,NA
008_Cali8,NA
009_Cali10,NA
010_Cali20,NA
011_Cali50,NA
012_blankEvian_2,NA
036_wash,NA
037_Cali3,NA
038_blankEvian,NA
039_fie1_air_biof_btq_0_r1,0.0199
040_fie1_air_biof_btq_0_r2,0.0211
041_fie1_air_biof_btq_0_r3,0.0217
042_fie1_air_biof_btq_0_r4,0.0191
043_fie1_air_biof_btq_0_r5,0.0212
044_fie1_air_biof_btq_0_r6,0.0199
045_blank,NA
046_fie1_air_biof_scq_0_r1,0.0204
047_fie1_air_biof_scq_0_r2,0.0193
048_fie1_air_biof_scq_0_r3,0.0201
049_fie1_air_biof_scq_0_r4,0.0189
050_fie1_air_biof_scq_0_r5,0.0193
051_fie1_air_biof_scq_0_r6,0.0057
052_blankEvian,NA
053_Cali5,NA
054_blankEvian,NA
055_fie1_air_asb_btq_0_r1,0.0193
056_fie1_air_asb_btq_0_r2,0.0196
057_fie1_air_asb_btq_0_r3,0.0206
058_fie1_air_asb_btq_0_r4,0.0186
059_fie1_air_asb_btq_0_r5,0.0195
061_blankEvian,NA
062_fie1_air_asb_scq_0_r1,0.02
063_fie1_air_asb_scq_0_r2,0.0188
064_fie1_air_asb_scq_0_r3,0.0104
065_fie1_air_asb_scq_0_r4,0.0195
066_fie1_air_asb_scq_0_r5,0.0209
068_wash,NA
069_Cali5,NA
070_blankEvian,NA
071_fie1_air_biof_btq_48_r1,0.0209
072_fie1_air_biof_btq_48_r2,0.0192
073_fie1_air_biof_btq_48_r3,0.0199
074_fie1_air_biof_btq_48_r4,0.0203
075_fie1_air_biof_btq_48_r5,0.0199
076_fie1_air_biof_btq_48_r6,0.0209
077_blankEvian,NA
078_fie1_air_biof_scq_48_r1,0.0196
079_fie1_air_biof_scq_48_r2,0.021
080_fie1_air_biof_scq_48_r3,0.021
081_fie1_air_biof_scq_48_r4,0.0216
082_fie1_air_biof_scq_48_r5,0.0211
083_fie1_air_biof_scq_48_r6,0.0192
084_blankEvian,NA
085_Cali8,NA
086_blankEvian,NA
087_fie1_air_asb_btq_48_r1,0.0214
088_fie1_air_asb_btq_48_r2,0.0215
089_fie1_air_asb_btq_48_r3,0.0193
090_fie1_air_asb_btq_48_r4,0.0192
091_fie1_air_asb_btq_48_r5,0.0202
092_fie1_air_asb_btq_48_r6,0.0197
093_blankEvian,NA
094_fie1_air_asb_scq_48_r1,0.0202
097_fie1_air_asb_scq_48_r4,0.0187
100_wash,NA
101_Cali8,NA
102_blankEvian,NA
103_fie1_air_biof_btq_96_r1,0.021
104_fie1_air_biof_btq_96_r2,0.0217
105_fie1_air_biof_btq_96_r3,0.0189
106_fie1_air_biof_btq_96_r4,0.0195
107_fie1_air_biof_btq_96_r5,0.0209
108_fie1_air_biof_btq_96_r6,0.0199
109_blankEvian,NA
110_fie1_air_biof_scq_96_r1,0.0203
112_fie1_air_biof_scq_96_r2,0.0193
113_fie1_air_biof_scq_96_r3,0.021
114_fie1_air_biof_scq_96_r4,0.0201
115_fie1_air_biof_scq_96_r5,0.0206
116_fie1_air_biof_scq_96_r6,0.0209
117_blankEvian,NA
118_Cali10,NA
119_blankEvian,NA
120_fie1_air_asb_btq_96_r1,0.0211
121_fie1_air_asb_btq_96_r2,0.0206
122_fie1_air_asb_btq_96_r3,0.0208
123_fie1_air_asb_btq_96_r4,0.0192
124_fie1_air_asb_btq_96_r5,0.0209
125_fie1_air_asb_btq_96_r6,0.0205
126_blankEvian,NA
127_fie1_air_asb_scq_96_r1,0.021
128_fie1_air_asb_scq_96_r2,0.0199
129_fie1_air_asb_scq_96_r3,0.0065
130_fie1_air_asb_scq_96_r4,0.0201
131_fie1_air_asb_scq_96_r5,0.021
133_blankEvian_1,NA
134_blind,NA
135_Cali025,NA
136_Cali05,NA
137_Cali1,NA
138_Cali3,NA
139_Cali5,NA
140_Cali8,NA
141_Cali10,NA
142_Cali20,NA
143_Cali50,NA
144_wash,NA
001_blankEvian_1,NA
