Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Abacavir_11001_p,9.85,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C14H18N6O,N/A,N/A,N/F,N/A,287.1615,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Abacavir_11001_p,9.85,Target Compound,003_Cali025,5058047,N/A,0,9.82,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,1332589,-0.03,C14H18N6O,M+H,71.54,N/A,N/A,287.1615,287.1615,-.1097 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Abacavir_11001_p,9.85,Target Compound,004_Cali05,8859165,N/A,0,9.8,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,2089972,-0.05,C14H18N6O,M+H,143.08,N/A,N/A,287.1615,287.1613,-.5348 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Abacavir_11001_p,9.85,Target Compound,005_Cali1,17891971,N/A,0,9.79,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,3557946,-0.06,C14H18N6O,M+H,286.15,N/A,N/A,287.1615,287.1614,-.2159 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Abacavir_11001_p,9.85,Target Compound,006_Cali3,48645251,N/A,0,9.84,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,9409470,-0.01,C14H18N6O,M+H,858.46,N/A,N/A,287.1615,287.1613,-.5348 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Abacavir_11001_p,9.85,Target Compound,007_Cali5,82826705,N/A,0,9.83,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,17726484,-0.02,C14H18N6O,M+H,1430.77,N/A,N/A,287.1615,287.1613,-.6410 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Abacavir_11001_p,9.85,Target Compound,008_Cali8,103810549,N/A,0,9.84,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,21121794,-0.01,C14H18N6O,M+H,2289.23,N/A,N/A,287.1615,287.1614,-.4285 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Abacavir_11001_p,9.85,Target Compound,009_Cali10,154381581,N/A,0,9.85,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,30323522,0.00,C14H18N6O,M+H,2861.54,N/A,N/A,287.1615,287.1613,-.5348 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Abacavir_11001_p,9.85,Target Compound,010_Cali20,301121158,N/A,0,9.85,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,51143964,0.00,C14H18N6O,M+H,5723.08,N/A,N/A,287.1615,287.1614,-.2159 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Abacavir_11001_p,9.85,Target Compound,011_Cali50,517039191,N/A,0,9.83,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,107000896,-0.02,C14H18N6O,M+H,14307.71,N/A,N/A,287.1615,287.1616,.2091 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
