Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Acemetacin_3122_p,19.59,Target Compound,002_blind,N/F,0,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C21H18ClNO6,N/A,N/A,N/F,N/A,416.0895,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Acemetacin_3122_p,19.59,Target Compound,003_Cali025,503738,26601893,0.019,19.6,Processed,0.25,Cal Std,113.946,T1,,2,1,003_Cali025,,94897,0.01,C21H18ClNO6,M+H,103.77,113.946,N/A,416.0895,416.0901,1.4862 (ppm),0,Method,True,False,9.81,17.62,28.17,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Percent coefficient of variance 28.165 > Calibration %CV Test 20
Acemetacin_3122_p,19.59,Target Compound,004_Cali05,1204430,25169573,0.048,19.58,Processed,0.5,Cal Std,213.522,T1,,3,1,004_Cali05,,250111,-0.01,C21H18ClNO6,M+H,207.54,213.522,N/A,416.0895,416.0897,.4594 (ppm),0,Method,True,False,2.88,5.67,7.26,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Acemetacin_3122_p,19.59,Target Compound,005_Cali1,1797394,19896109,0.09,19.58,Processed,1,Cal Std,359.827,T1,,4,1,005_Cali1,,331968,-0.01,C21H18ClNO6,M+H,415.08,359.827,N/A,416.0895,416.0896,.1661 (ppm),0,Method,True,False,-13.31,12.1,13.81,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Acemetacin_3122_p,19.59,Target Compound,006_Cali3,5862774,18533297,0.316,19.58,Processed,3,Cal Std,1138.073,T1,,5,1,006_Cali3,,1168688,-0.01,C21H18ClNO6,M+H,1245.25,1138.073,N/A,416.0895,416.0896,.3127 (ppm),0,Method,True,False,-8.61,5.32,5.55,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Acemetacin_3122_p,19.59,Target Compound,007_Cali5,11570939,20601681,0.562,19.59,Processed,5,Cal Std,1982.829,T1,,6,1,007_Cali5,,1949395,0.00,C21H18ClNO6,M+H,2075.41,1982.829,N/A,416.0895,416.0897,.5328 (ppm),0,Method,True,False,-4.46,8.37,8.59,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Acemetacin_3122_p,19.59,Target Compound,008_Cali8,16825963,21083047,0.798,19.61,Processed,8,Cal Std,2796.996,T1,,7,1,008_Cali8,,2743331,0.02,C21H18ClNO6,M+H,3320.66,2796.996,N/A,416.0895,416.0897,.4594 (ppm),0,Method,True,False,-15.77,5.92,6.02,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Acemetacin_3122_p,19.59,Target Compound,009_Cali10,23887540,19693540,1.213,19.59,Processed,10,Cal Std,4225.682,T1,,8,1,009_Cali10,,3882346,0.00,C21H18ClNO6,M+H,4150.82,4225.682,N/A,416.0895,416.0897,.3861 (ppm),0,Method,True,False,1.8,1.9,1.92,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Acemetacin_3122_p,19.59,Target Compound,010_Cali20,50967617,22579631,2.257,19.61,Processed,20,Cal Std,7821.737,T1,,9,1,010_Cali20,,8882553,0.02,C21H18ClNO6,M+H,8301.65,7821.737,N/A,416.0895,416.0896,.2394 (ppm),0,Method,True,False,-5.78,1.34,1.35,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Acemetacin_3122_p,19.59,Target Compound,011_Cali50,113004873,17469732,6.469,19.59,Processed,50,Cal Std,22323.961,T1,,10,1,011_Cali50,,18121750,0.00,C21H18ClNO6,M+H,20754.11,22323.961,N/A,416.0895,416.0898,.6061 (ppm),0,Method,True,False,7.56,3.73,3.73,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Acemetacin_3122_p,19.59,Target Compound,012_blankEvian_2,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,11,1,012_blankEvian_2,,N/F,N/F,C21H18ClNO6,N/A,N/A,N/F,N/A,416.0895,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
