Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Albuterol_2851_p,7.48,Target Compound,002_blind,N/F,54193348,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C13H21NO3,N/A,N/A,N/F,N/A,240.1594,N/F,N/F,1,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Albuterol_2851_p,7.48,Target Compound,003_Cali025,1051072,67588267,0.016,7.43,Processed,0.25,Cal Std,65.843,T1,,2,1,003_Cali025,,169758,-0.05,C13H21NO3,M+H,59.79,65.843,N/A,240.1594,240.1595,.3972 (ppm),1,Method,True,False,10.12,3.3,4,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Albuterol_2851_p,7.48,Target Compound,004_Cali05,2548353,80220799,0.032,7.42,Processed,0.5,Cal Std,122.753,T1,,3,1,004_Cali05,,493480,-0.06,C13H21NO3,M+H,119.58,122.753,N/A,240.1594,240.1594,-.2382 (ppm),1,Method,True,False,2.65,7.94,8.79,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Albuterol_2851_p,7.48,Target Compound,005_Cali1,3902542,66158370,0.059,7.45,Processed,1,Cal Std,218.288,T1,,4,1,005_Cali1,,703663,-0.03,C13H21NO3,M+H,239.15,218.288,N/A,240.1594,240.1592,-.8100 (ppm),1,Method,True,False,-8.72,0.93,0.98,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Albuterol_2851_p,7.48,Target Compound,006_Cali3,14618143,69643201,0.21,7.46,Processed,3,Cal Std,747.928,T1,,5,1,006_Cali3,,2736918,-0.02,C13H21NO3,M+H,717.46,747.928,N/A,240.1594,240.1593,-.3017 (ppm),1,Method,True,False,4.25,9.07,9.21,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Albuterol_2851_p,7.48,Target Compound,007_Cali5,22447237,65727877,0.342,7.44,Processed,5,Cal Std,1209.85,T1,,6,1,007_Cali5,,4470482,-0.04,C13H21NO3,M+H,1195.76,1209.85,N/A,240.1594,240.1592,-.8100 (ppm),1,Method,True,False,1.18,4.65,4.69,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Albuterol_2851_p,7.48,Target Compound,008_Cali8,33403382,65291918,0.512,7.47,Processed,8,Cal Std,1806.769,T1,,7,1,008_Cali8,,7273338,-0.01,C13H21NO3,M+H,1913.22,1806.769,N/A,240.1594,240.1594,-.1747 (ppm),1,Method,True,False,-5.56,6.33,6.37,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Albuterol_2851_p,7.48,Target Compound,009_Cali10,43602965,55890900,0.78,7.48,Processed,10,Cal Std,2749.245,T1,,8,1,009_Cali10,,9676695,0.00,C13H21NO3,M+H,2391.52,2749.245,N/A,240.1594,240.1592,-.9371 (ppm),1,Method,True,False,14.96,4.3,4.31,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Albuterol_2851_p,7.48,Target Compound,010_Cali20,95588294,73983333,1.292,7.49,Processed,20,Cal Std,4545.732,T1,,9,1,010_Cali20,,18663828,0.01,C13H21NO3,M+H,4783.04,4545.732,N/A,240.1594,240.1593,-.6830 (ppm),1,Method,True,False,-4.96,4.76,4.77,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Albuterol_2851_p,7.48,Target Compound,011_Cali50,155179590,46515939,3.336,7.46,Processed,50,Cal Std,11719.412,T1,,10,1,011_Cali50,,31783972,-0.02,C13H21NO3,M+H,11957.61,11719.412,N/A,240.1594,240.1594,-.1747 (ppm),1,Method,True,False,-1.99,0.62,0.62,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
