Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Amisulprid_2852_p,9.35,Target Compound,002_blind,N/F,380954703,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C17H27N3O4S,N/A,N/A,N/F,N/A,370.1795,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,003_Cali025,3854293,434158369,0.009,9.31,Processed,0.25,Cal Std,87.597,T1,,2,1,003_Cali025,,946811,-0.04,C17H27N3O4S,M+H,92.29,87.597,N/A,370.1795,370.1803,2.1553 (ppm),0,Method,True,False,-5.09,5.22,6.05,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,004_Cali05,7521606,368663050,0.02,9.3,Processed,0.5,Cal Std,185.079,T1,,3,1,004_Cali05,,1507922,-0.05,C17H27N3O4S,M+H,184.59,185.079,N/A,370.1795,370.1801,1.7431 (ppm),0,Method,True,False,0.26,0.16,0.17,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,005_Cali1,14516735,356215567,0.041,9.32,Processed,1,Cal Std,357.211,T1,,4,1,005_Cali1,,2984966,-0.03,C17H27N3O4S,M+H,369.17,357.211,N/A,370.1795,370.1798,.7538 (ppm),0,Method,True,False,-3.24,0.53,0.55,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,006_Cali3,46262460,354013291,0.131,9.3,Processed,3,Cal Std,1117.859,T1,,5,1,006_Cali3,,7820363,-0.05,C17H27N3O4S,M+H,1107.52,1117.859,N/A,370.1795,370.18,1.3309 (ppm),0,Method,True,False,0.93,3.35,3.39,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,007_Cali5,82692839,387089000,0.214,9.32,Processed,5,Cal Std,1819.467,T1,,6,1,007_Cali5,,15227231,-0.03,C17H27N3O4S,M+H,1845.86,1819.467,N/A,370.1795,370.18,1.3309 (ppm),0,Method,True,False,-1.43,3.13,3.15,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,008_Cali8,99611222,286865463,0.347,9.33,Processed,8,Cal Std,2949.627,T1,,7,1,008_Cali8,,21114656,-0.02,C17H27N3O4S,M+H,2953.38,2949.627,N/A,370.1795,370.1799,1.0836 (ppm),0,Method,True,False,-0.13,1,1.01,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,009_Cali10,146495176,313423926,0.467,9.31,Processed,10,Cal Std,3966.018,T1,,8,1,009_Cali10,,24681732,-0.04,C17H27N3O4S,M+H,3691.72,3966.018,N/A,370.1795,370.18,1.3309 (ppm),0,Method,True,False,7.43,1.46,1.47,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,010_Cali20,300104471,347805419,0.863,9.33,Processed,20,Cal Std,7310.911,T1,,9,1,010_Cali20,,58579105,-0.02,C17H27N3O4S,M+H,7383.44,7310.911,N/A,370.1795,370.1797,.4241 (ppm),0,Method,True,False,-0.98,1.92,1.92,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Amisulprid_2852_p,9.35,Target Compound,011_Cali50,568760179,261766170,2.173,9.3,Processed,50,Cal Std,18390.898,T1,,10,1,011_Cali50,,98191371,-0.05,C17H27N3O4S,M+H,18458.61,18390.898,N/A,370.1795,370.1798,.9187 (ppm),0,Method,True,False,-0.37,2.4,2.4,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
