Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Amlodipine_10685_p,15.16,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C20H25CIN2O5,N/A,N/A,N/F,N/A,409.1524,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Amlodipine_10685_p,15.16,Target Compound,003_Cali025,441670,N/A,0,15,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,114674,-0.16,C20H25CIN2O5,M+H,102.04,N/A,N/A,409.1524,409.1521,-.8088 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Amlodipine_10685_p,15.16,Target Compound,004_Cali05,967682,N/A,0,15,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,194342,-0.16,C20H25CIN2O5,M+H,204.07,N/A,N/A,409.1524,409.1519,-1.2563 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Amlodipine_10685_p,15.16,Target Compound,005_Cali1,1831530,N/A,0,14.99,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,414045,-0.17,C20H25CIN2O5,M+H,408.15,N/A,N/A,409.1524,409.1525,.1609 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Amlodipine_10685_p,15.16,Target Compound,006_Cali3,6738615,N/A,0,15.03,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,1246335,-0.13,C20H25CIN2O5,M+H,1224.44,N/A,N/A,409.1524,409.1521,-.6596 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Amlodipine_10685_p,15.16,Target Compound,007_Cali5,12912084,N/A,0,15.01,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,2459502,-0.15,C20H25CIN2O5,M+H,2040.73,N/A,N/A,409.1524,409.1521,-.6596 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Amlodipine_10685_p,15.16,Target Compound,008_Cali8,17239183,N/A,0,15.01,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,3173147,-0.15,C20H25CIN2O5,M+H,3265.16,N/A,N/A,409.1524,409.1525,.1609 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Amlodipine_10685_p,15.16,Target Compound,009_Cali10,24222413,N/A,0,15.01,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,4480175,-0.15,C20H25CIN2O5,M+H,4081.45,N/A,N/A,409.1524,409.1525,.2355 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Amlodipine_10685_p,15.16,Target Compound,010_Cali20,54628901,N/A,0,15.01,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,10579516,-0.15,C20H25CIN2O5,M+H,8162.9,N/A,N/A,409.1524,409.1525,.1609 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Amlodipine_10685_p,15.16,Target Compound,011_Cali50,109303717,N/A,0,14.99,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,21657490,-0.17,C20H25CIN2O5,M+H,20407.26,N/A,N/A,409.1524,409.1525,.2355 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
