Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Apixaban_p,15.53,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C25H25N5O4,N/A,N/A,N/F,N/A,460.1979,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Apixaban_p,15.53,Target Compound,003_Cali025,1549198,N/A,0,15.75,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,306688,0.22,C25H25N5O4,M+H,114.8,N/A,N/A,460.1979,460.1978,-.1185 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Apixaban_p,15.53,Target Compound,004_Cali05,3290886,N/A,0,15.74,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,570893,0.21,C25H25N5O4,M+H,229.6,N/A,N/A,460.1979,460.1978,-.1185 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Apixaban_p,15.53,Target Compound,005_Cali1,5591226,N/A,0,15.75,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,991783,0.22,C25H25N5O4,M+H,459.19,N/A,N/A,460.1979,460.1979,-.0522 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Apixaban_p,15.53,Target Compound,006_Cali3,17524061,N/A,0,15.75,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,2938664,0.22,C25H25N5O4,M+H,1377.57,N/A,N/A,460.1979,460.198,.1467 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Apixaban_p,15.53,Target Compound,007_Cali5,32133257,N/A,0,15.78,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,5185908,0.25,C25H25N5O4,M+H,2295.95,N/A,N/A,460.1979,460.1978,-.3175 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Apixaban_p,15.53,Target Compound,008_Cali8,49004120,N/A,0,15.76,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,8780871,0.23,C25H25N5O4,M+H,3673.53,N/A,N/A,460.1979,460.1978,-.3175 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Apixaban_p,15.53,Target Compound,009_Cali10,59367378,N/A,0,15.78,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,9998027,0.25,C25H25N5O4,M+H,4591.91,N/A,N/A,460.1979,460.1978,-.3175 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Apixaban_p,15.53,Target Compound,010_Cali20,121149332,N/A,0,15.78,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,21403152,0.25,C25H25N5O4,M+H,9183.81,N/A,N/A,460.1979,460.1977,-.4501 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Apixaban_p,15.53,Target Compound,011_Cali50,210264227,N/A,0,15.76,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,32964880,0.23,C25H25N5O4,M+H,22959.53,N/A,N/A,460.1979,460.1977,-.5164 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
