Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Apremilast_p,16.6,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C22H24N2O7S,N/A,N/A,N/F,N/A,461.1377,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Apremilast_p,16.6,Target Compound,003_Cali025,78645,N/A,0,16.57,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,26111,-0.03,C22H24N2O7S,M+H,115.03,N/A,N/A,461.1377,461.1382,1.0487 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Apremilast_p,16.6,Target Compound,004_Cali05,270998,N/A,0,16.58,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,57773,-0.02,C22H24N2O7S,M+H,230.07,N/A,N/A,461.1377,461.1376,-.2749 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Apremilast_p,16.6,Target Compound,005_Cali1,390479,N/A,0,16.6,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,80071,0.00,C22H24N2O7S,M+H,460.13,N/A,N/A,461.1377,461.1378,.2546 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Apremilast_p,16.6,Target Compound,006_Cali3,1256468,N/A,0,16.61,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,241059,0.01,C22H24N2O7S,M+H,1380.39,N/A,N/A,461.1377,461.1375,-.4072 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Apremilast_p,16.6,Target Compound,007_Cali5,2284246,N/A,0,16.57,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,412183,-0.03,C22H24N2O7S,M+H,2300.65,N/A,N/A,461.1377,461.1379,.4531 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Apremilast_p,16.6,Target Compound,008_Cali8,3671127,N/A,0,16.61,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,622781,0.01,C22H24N2O7S,M+H,3681.04,N/A,N/A,461.1377,461.1379,.3869 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Apremilast_p,16.6,Target Compound,009_Cali10,4449988,N/A,0,16.6,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,755628,0.00,C22H24N2O7S,M+H,4601.3,N/A,N/A,461.1377,461.1375,-.4072 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Apremilast_p,16.6,Target Compound,010_Cali20,9140084,N/A,0,16.62,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,1461475,0.02,C22H24N2O7S,M+H,9202.61,N/A,N/A,461.1377,461.1377,-.0102 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Apremilast_p,16.6,Target Compound,011_Cali50,23766211,N/A,0,16.6,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,4179698,0.00,C22H24N2O7S,M+H,23006.52,N/A,N/A,461.1377,461.1378,.1884 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
