Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Benzophenon 3 ( 2-Hydroxy-4-methoxybenzophenon)_230_p,19.45,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C14H12O3,N/A,N/A,N/F,N/A,229.0859,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Benzophenon 3 ( 2-Hydroxy-4-methoxybenzophenon)_230_p,19.45,Target Compound,003_Cali025,166671,N/A,0,19.45,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,34677,0.00,C14H12O3,M+H,57.02,N/A,N/A,229.0859,229.0862,1.2087 (ppm),0,Method,True,False,NaN,0,0,,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Benzophenon 3 ( 2-Hydroxy-4-methoxybenzophenon)_230_p,19.45,Target Compound,004_Cali05,351168,N/A,0,19.43,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,62397,-0.02,C14H12O3,M+H,114.04,N/A,N/A,229.0859,229.0858,-.5897 (ppm),0,Method,True,False,NaN,0,0,,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Benzophenon 3 ( 2-Hydroxy-4-methoxybenzophenon)_230_p,19.45,Target Compound,005_Cali1,399161,N/A,0,19.46,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,74819,0.01,C14H12O3,M+H,228.08,N/A,N/A,229.0859,229.086,.1430 (ppm),0,Method,True,False,NaN,0,0,,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Benzophenon 3 ( 2-Hydroxy-4-methoxybenzophenon)_230_p,19.45,Target Compound,006_Cali3,1560414,N/A,0,19.45,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,276206,0.00,C14H12O3,M+H,684.24,N/A,N/A,229.0859,229.086,.4760 (ppm),0,Method,True,False,NaN,0,0,,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Benzophenon 3 ( 2-Hydroxy-4-methoxybenzophenon)_230_p,19.45,Target Compound,007_Cali5,3278782,N/A,0,19.45,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,545122,0.00,C14H12O3,M+H,1140.39,N/A,N/A,229.0859,229.086,.4094 (ppm),0,Method,True,False,NaN,0,0,,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Benzophenon 3 ( 2-Hydroxy-4-methoxybenzophenon)_230_p,19.45,Target Compound,008_Cali8,5265277,N/A,0,19.45,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,981171,0.00,C14H12O3,M+H,1824.63,N/A,N/A,229.0859,229.086,.5426 (ppm),0,Method,True,False,NaN,0,0,,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Benzophenon 3 ( 2-Hydroxy-4-methoxybenzophenon)_230_p,19.45,Target Compound,009_Cali10,6040197,N/A,0,19.46,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,1228874,0.01,C14H12O3,M+H,2280.79,N/A,N/A,229.0859,229.0861,.7425 (ppm),0,Method,True,False,NaN,0,0,,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Benzophenon 3 ( 2-Hydroxy-4-methoxybenzophenon)_230_p,19.45,Target Compound,010_Cali20,13195290,N/A,0,19.48,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,2367057,0.03,C14H12O3,M+H,4561.57,N/A,N/A,229.0859,229.086,.4094 (ppm),0,Method,True,False,NaN,0,0,,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Benzophenon 3 ( 2-Hydroxy-4-methoxybenzophenon)_230_p,19.45,Target Compound,011_Cali50,28218710,N/A,0,19.45,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,4400383,0.00,C14H12O3,M+H,11403.93,N/A,N/A,229.0859,229.0859,-.2566 (ppm),0,Method,True,False,NaN,0,0,,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
