Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Bisacodyl_10585_p,16.26,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C22H19NO4,N/A,N/A,N/F,N/A,362.1387,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Bisacodyl_10585_p,16.26,Target Compound,003_Cali025,3972604,N/A,0,16.21,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,739362,-0.05,C22H19NO4,M+H,90.28,N/A,N/A,362.1387,362.1387,.0066 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Bisacodyl_10585_p,16.26,Target Compound,004_Cali05,8626808,N/A,0,16.24,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,1360881,-0.02,C22H19NO4,M+H,180.57,N/A,N/A,362.1387,362.1388,.3437 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Bisacodyl_10585_p,16.26,Target Compound,005_Cali1,14303031,N/A,0,16.24,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,2395996,-0.02,C22H19NO4,M+H,361.13,N/A,N/A,362.1387,362.1388,.1751 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Bisacodyl_10585_p,16.26,Target Compound,006_Cali3,42524791,N/A,0,16.22,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,7323529,-0.04,C22H19NO4,M+H,1083.39,N/A,N/A,362.1387,362.1389,.5122 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Bisacodyl_10585_p,16.26,Target Compound,007_Cali5,85442249,N/A,0,16.23,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,15647462,-0.03,C22H19NO4,M+H,1805.66,N/A,N/A,362.1387,362.1386,-.2462 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Bisacodyl_10585_p,16.26,Target Compound,008_Cali8,120418235,N/A,0,16.26,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,20102460,0.00,C22H19NO4,M+H,2889.05,N/A,N/A,362.1387,362.1386,-.3305 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Bisacodyl_10585_p,16.26,Target Compound,009_Cali10,152631685,N/A,0,16.26,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,26675024,0.00,C22H19NO4,M+H,3611.31,N/A,N/A,362.1387,362.1388,.1751 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Bisacodyl_10585_p,16.26,Target Compound,010_Cali20,299913712,N/A,0,16.26,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,47373896,0.00,C22H19NO4,M+H,7222.63,N/A,N/A,362.1387,362.1389,.4280 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Bisacodyl_10585_p,16.26,Target Compound,011_Cali50,645183177,N/A,0,16.26,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,110041504,0.00,C22H19NO4,M+H,18056.57,N/A,N/A,362.1387,362.1391,1.1864 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
