Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Bupropion_2803_p,12.55,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C13H18ClNO,N/A,N/A,N/F,N/A,240.115,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Bupropion_2803_p,12.55,Target Compound,003_Cali025,2074726,N/A,0,12.39,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,579684,-0.16,C13H18ClNO,M+H,59.78,N/A,N/A,240.115,240.115,.0207 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Bupropion_2803_p,12.55,Target Compound,004_Cali05,4055055,N/A,0,12.35,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,662453,-0.20,C13H18ClNO,M+H,119.55,N/A,N/A,240.115,240.1148,-.6783 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Bupropion_2803_p,12.55,Target Compound,005_Cali1,7183866,N/A,0,12.4,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,1226636,-0.15,C13H18ClNO,M+H,239.11,N/A,N/A,240.115,240.1149,-.4241 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Bupropion_2803_p,12.55,Target Compound,006_Cali3,22201880,N/A,0,12.4,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,3691608,-0.15,C13H18ClNO,M+H,717.32,N/A,N/A,240.115,240.115,.0207 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Bupropion_2803_p,12.55,Target Compound,007_Cali5,38510571,N/A,0,12.42,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,7690228,-0.13,C13H18ClNO,M+H,1195.54,N/A,N/A,240.115,240.115,-.0428 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Bupropion_2803_p,12.55,Target Compound,008_Cali8,55636002,N/A,0,12.42,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,10475027,-0.13,C13H18ClNO,M+H,1912.86,N/A,N/A,240.115,240.1149,-.1699 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Bupropion_2803_p,12.55,Target Compound,009_Cali10,69755711,N/A,0,12.43,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,11009697,-0.12,C13H18ClNO,M+H,2391.08,N/A,N/A,240.115,240.1148,-.8054 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Bupropion_2803_p,12.55,Target Compound,010_Cali20,183371414,N/A,0,12.41,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,36425132,-0.14,C13H18ClNO,M+H,4782.15,N/A,N/A,240.115,240.1151,.4020 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Bupropion_2803_p,12.55,Target Compound,011_Cali50,333365303,N/A,0,12.4,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,58843532,-0.15,C13H18ClNO,M+H,11955.38,N/A,N/A,240.115,240.1152,1.1010 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
