Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Chlorotoluron_273_p,17.1,Target Compound,002_blind,N/F,118210036,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C10H13ClN2O,N/A,N/A,N/F,N/A,213.0789,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Chlorotoluron_273_p,17.1,Target Compound,003_Cali025,1825690,133284533,0.014,17.09,Processed,0.25,Cal Std,52.098,T1,,2,1,003_Cali025,,365828,-0.01,C10H13ClN2O,M+H,53.02,52.098,N/A,213.0789,213.0791,.7311 (ppm),0,Method,True,False,-1.74,0.37,0.46,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Chlorotoluron_273_p,17.1,Target Compound,004_Cali05,3969660,119660397,0.033,17.08,Processed,0.5,Cal Std,112.302,T1,,3,1,004_Cali05,,673813,-0.02,C10H13ClN2O,M+H,106.04,112.302,N/A,213.0789,213.0789,-.0566 (ppm),0,Method,True,False,5.91,2.78,3.05,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Chlorotoluron_273_p,17.1,Target Compound,005_Cali1,7418746,110425214,0.067,17.09,Processed,1,Cal Std,217.427,T1,,4,1,005_Cali1,,1291036,-0.01,C10H13ClN2O,M+H,212.07,217.427,N/A,213.0789,213.0789,.0150 (ppm),0,Method,True,False,2.53,5.3,5.54,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Chlorotoluron_273_p,17.1,Target Compound,006_Cali3,22132043,118804037,0.186,17.1,Processed,3,Cal Std,585.596,T1,,5,1,006_Cali3,,4074663,0.00,C10H13ClN2O,M+H,636.21,585.596,N/A,213.0789,213.079,.5163 (ppm),0,Method,True,False,-7.96,5.71,5.81,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Chlorotoluron_273_p,17.1,Target Compound,007_Cali5,40825842,125015728,0.327,17.11,Processed,5,Cal Std,1019.198,T1,,6,1,007_Cali5,,7563619,0.01,C10H13ClN2O,M+H,1060.36,1019.198,N/A,213.0789,213.0789,-.0566 (ppm),0,Method,True,False,-3.88,2.63,2.65,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Chlorotoluron_273_p,17.1,Target Compound,008_Cali8,56644994,101722197,0.557,17.11,Processed,8,Cal Std,1731.056,T1,,7,1,008_Cali8,,9672049,0.01,C10H13ClN2O,M+H,1696.57,1731.056,N/A,213.0789,213.0788,-.3430 (ppm),0,Method,True,False,2.03,5.76,5.79,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Chlorotoluron_273_p,17.1,Target Compound,009_Cali10,77173447,101241985,0.762,17.11,Processed,10,Cal Std,2365.987,T1,,8,1,009_Cali10,,12829532,0.01,C10H13ClN2O,M+H,2120.72,2365.987,N/A,213.0789,213.0789,.1582 (ppm),0,Method,True,False,11.57,2.68,2.69,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Chlorotoluron_273_p,17.1,Target Compound,010_Cali20,154215094,106315560,1.451,17.12,Processed,20,Cal Std,4493.497,T1,,9,1,010_Cali20,,26282566,0.02,C10H13ClN2O,M+H,4241.43,4493.497,N/A,213.0789,213.0789,.1582 (ppm),0,Method,True,False,5.94,7.33,7.34,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Chlorotoluron_273_p,17.1,Target Compound,011_Cali50,285002975,82018192,3.475,17.1,Processed,50,Cal Std,10750.877,T1,,10,1,011_Cali50,,41653600,0.00,C10H13ClN2O,M+H,10603.58,10750.877,N/A,213.0789,213.0789,-.0566 (ppm),0,Method,True,False,1.39,4.28,4.28,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Chlorotoluron_273_p,17.1,Target Compound,012_blankEvian_2,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,11,1,012_blankEvian_2,,N/F,N/F,C10H13ClN2O,N/A,N/A,N/F,N/A,213.0789,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Chlorotoluron_273_p,17.1,Target Compound,036_wash,N/F,N/F,N/F,N/F,Processed,,Unknown,N/F,T1,,12,1,036_wash,,N/F,N/F,C10H13ClN2O,N/A,N/A,N/F,N/A,213.0789,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Chlorotoluron_273_p,17.1,Target Compound,037_Cali3,19620674,109042980,0.18,17.06,Processed,3,Cal Std,565.952,T1,,13,1,037_Cali3,,3686781,-0.04,C10H13ClN2O,M+H,636.21,565.952,N/A,213.0789,213.0788,-.2714 (ppm),0,Method,True,False,-11.04,5.71,5.81,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Chlorotoluron_273_p,17.1,Target Compound,038_blankEvian,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,14,1,038_blankEvian,,N/F,N/F,C10H13ClN2O,N/A,N/A,N/F,N/A,213.0789,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Chlorotoluron_273_p,17.1,Target Compound,039_fie1_air_biof_btq_0_r1,N/F,52217063,N/F,N/F,Processed,,Unknown,N/F,T1,,15,1,039_fie1_air_biof_btq_0_r1,,N/F,N/F,C10H13ClN2O,N/A,N/A,N/F,N/A,213.0789,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Chlorotoluron_273_p,17.1,Target Compound,040_fie1_air_biof_btq_0_r2,7468482,49783806,0.15,17.07,Processed,,Unknown,473.476,T1,,16,1,040_fie1_air_biof_btq_0_r2,,1219973,-0.03,C10H13ClN2O,M+H,N/A,473.476,N/A,213.0789,213.079,.5879 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Chlorotoluron_273_p,17.1,Target Compound,041_fie1_air_biof_btq_0_r3,8192368,48924582,0.167,17.09,Processed,,Unknown,527.356,T1,,17,1,041_fie1_air_biof_btq_0_r3,,1432465,-0.01,C10H13ClN2O,M+H,N/A,527.356,N/A,213.0789,213.079,.5879 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Chlorotoluron_273_p,17.1,Target Compound,042_fie1_air_biof_btq_0_r4,41036799,54276572,0.756,17.1,Processed,,Unknown,2346.826,T1,,18,1,042_fie1_air_biof_btq_0_r4,,6917538,0.00,C10H13ClN2O,M+H,N/A,2346.826,N/A,213.0789,213.0791,.8027 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Chlorotoluron_273_p,17.1,Target Compound,043_fie1_air_biof_btq_0_r5,79173919,50508490,1.568,17.09,Processed,,Unknown,4855.14,T1,,19,1,043_fie1_air_biof_btq_0_r5,,14244230,-0.01,C10H13ClN2O,M+H,N/A,4855.14,N/A,213.0789,213.0789,.2298 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Chlorotoluron_273_p,17.1,Target Compound,044_fie1_air_biof_btq_0_r6,81299631,49399557,1.646,17.07,Processed,,Unknown,5096.923,T1,,20,1,044_fie1_air_biof_btq_0_r6,,13850135,-0.03,C10H13ClN2O,M+H,N/A,5096.923,N/A,213.0789,213.0791,.8743 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Chlorotoluron_273_p,17.1,Target Compound,045_blank,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,21,1,045_blank,,N/F,N/F,C10H13ClN2O,N/A,N/A,N/F,N/A,213.0789,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Chlorotoluron_273_p,17.1,Target Compound,046_fie1_air_biof_scq_0_r1,N/F,38475084,N/F,N/F,Processed,,Unknown,N/F,T1,,22,1,046_fie1_air_biof_scq_0_r1,,N/F,N/F,C10H13ClN2O,N/A,N/A,N/F,N/A,213.0789,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Chlorotoluron_273_p,17.1,Target Compound,047_fie1_air_biof_scq_0_r2,5989521,38857221,0.154,17.09,Processed,,Unknown,486.222,T1,,23,1,047_fie1_air_biof_scq_0_r2,,1073917,-0.01,C10H13ClN2O,M+H,N/A,486.222,N/A,213.0789,213.0791,.8743 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Chlorotoluron_273_p,17.1,Target Compound,048_fie1_air_biof_scq_0_r3,6120260,38882253,0.157,17.1,Processed,,Unknown,496.309,T1,,24,1,048_fie1_air_biof_scq_0_r3,,1171206,0.00,C10H13ClN2O,M+H,N/A,496.309,N/A,213.0789,213.0793,1.6621 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Chlorotoluron_273_p,17.1,Target Compound,049_fie1_air_biof_scq_0_r4,28478276,43107777,0.661,17.09,Processed,,Unknown,2051.817,T1,,25,1,049_fie1_air_biof_scq_0_r4,,5086753,-0.01,C10H13ClN2O,M+H,N/A,2051.817,N/A,213.0789,213.0791,.8743 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Chlorotoluron_273_p,17.1,Target Compound,050_fie1_air_biof_scq_0_r5,68849111,48245875,1.427,17.07,Processed,,Unknown,4420.874,T1,,26,1,050_fie1_air_biof_scq_0_r5,,11600706,-0.03,C10H13ClN2O,M+H,N/A,4420.874,N/A,213.0789,213.0792,1.3040 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
