Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Clomipramine_3669_p,15.6,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C19H23ClN2,N/A,N/A,N/F,N/A,315.1623,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Clomipramine_3669_p,15.6,Target Compound,003_Cali025,3359283,N/A,0,15.64,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,650364,0.04,C19H23ClN2,M+H,78.54,N/A,N/A,315.1623,315.1624,.5221 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Clomipramine_3669_p,15.6,Target Compound,004_Cali05,7032091,N/A,0,15.65,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,1227687,0.05,C19H23ClN2,M+H,157.08,N/A,N/A,315.1623,315.1624,.3285 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Clomipramine_3669_p,15.6,Target Compound,005_Cali1,11380105,N/A,0,15.64,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,2154524,0.04,C19H23ClN2,M+H,314.15,N/A,N/A,315.1623,315.1624,.3285 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Clomipramine_3669_p,15.6,Target Compound,006_Cali3,37478074,N/A,0,15.64,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,7553204,0.04,C19H23ClN2,M+H,942.46,N/A,N/A,315.1623,315.1624,.6189 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Clomipramine_3669_p,15.6,Target Compound,007_Cali5,72092094,N/A,0,15.64,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,12132878,0.04,C19H23ClN2,M+H,1570.77,N/A,N/A,315.1623,315.1624,.3285 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Clomipramine_3669_p,15.6,Target Compound,008_Cali8,95360394,N/A,0,15.65,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,17221222,0.05,C19H23ClN2,M+H,2513.24,N/A,N/A,315.1623,315.1624,.5221 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Clomipramine_3669_p,15.6,Target Compound,009_Cali10,117099057,N/A,0,15.64,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,20431822,0.04,C19H23ClN2,M+H,3141.55,N/A,N/A,315.1623,315.1625,.9094 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Clomipramine_3669_p,15.6,Target Compound,010_Cali20,244711729,N/A,0,15.62,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,39958764,0.02,C19H23ClN2,M+H,6283.1,N/A,N/A,315.1623,315.1626,1.0063 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Clomipramine_3669_p,15.6,Target Compound,011_Cali50,495668501,N/A,0,15.6,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,83018504,0.00,C19H23ClN2,M+H,15707.75,N/A,N/A,315.1623,315.1627,1.2968 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
