Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Codein_2780_p,8.09,Target Compound,002_blind,N/F,81304981,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C18H21NO3,N/A,N/A,N/F,N/A,300.1594,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,003_Cali025,2433332,75905246,0.032,8.09,Processed,0.25,Cal Std,74.124,T1,,2,1,003_Cali025,,556139,0.00,C18H21NO3,M+H,74.79,74.124,N/A,300.1594,300.1595,.4194 (ppm),0,Method,True,False,-0.89,22.5,20.72,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Percent coefficient of variance 20.725 > Calibration %CV Test 20
Codein_2780_p,8.09,Target Compound,004_Cali05,4637515,80392991,0.058,8.06,Processed,0.5,Cal Std,137.761,T1,,3,1,004_Cali05,,987351,-0.03,C18H21NO3,M+H,149.58,137.761,N/A,300.1594,300.1594,-.0889 (ppm),0,Method,True,False,-7.9,5.05,4.86,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,005_Cali1,8504232,63145497,0.135,8.07,Processed,1,Cal Std,328.935,T1,,4,1,005_Cali1,,1731716,-0.02,C18H21NO3,M+H,299.15,328.935,N/A,300.1594,300.1595,.1144 (ppm),0,Method,True,False,9.96,13.03,12.8,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,006_Cali3,23045963,62748661,0.367,8.08,Processed,3,Cal Std,906.491,T1,,5,1,006_Cali3,,5016651,-0.01,C18H21NO3,M+H,897.46,906.491,N/A,300.1594,300.1594,-.0889 (ppm),0,Method,True,False,1.01,12.21,12.13,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,007_Cali5,47729454,72072023,0.662,8.07,Processed,5,Cal Std,1638.929,T1,,6,1,007_Cali5,,9817823,-0.02,C18H21NO3,M+H,1495.76,1638.929,N/A,300.1594,300.1594,.0128 (ppm),0,Method,True,False,9.57,7.92,7.89,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,008_Cali8,68543709,60888788,1.126,8.09,Processed,8,Cal Std,2789.766,T1,,7,1,008_Cali8,,14548711,0.00,C18H21NO3,M+H,2393.22,2789.766,N/A,300.1594,300.1595,.1144 (ppm),0,Method,True,False,16.57,6.78,6.77,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,009_Cali10,73135031,61535123,1.189,8.1,Processed,10,Cal Std,2945.675,T1,,8,1,009_Cali10,,15191228,0.01,C18H21NO3,M+H,2991.52,2945.675,N/A,300.1594,300.1594,-.1906 (ppm),0,Method,True,False,-1.53,15.19,15.16,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,010_Cali20,151834920,67050980,2.264,8.09,Processed,20,Cal Std,5617.363,T1,,9,1,010_Cali20,,31131576,0.00,C18H21NO3,M+H,5983.04,5617.363,N/A,300.1594,300.1592,-.8006 (ppm),0,Method,True,False,-6.11,11.5,11.49,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Codein_2780_p,8.09,Target Compound,011_Cali50,272023043,49456391,5.5,8.07,Processed,50,Cal Std,13652.063,T1,,10,1,011_Cali50,,50338596,-0.02,C18H21NO3,M+H,14957.61,13652.063,N/A,300.1594,300.1595,.2161 (ppm),0,Method,True,False,-8.73,5.04,5.04,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
