Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Cyclophosphamid_2579_p,15.01,Target Compound,002_blind,N/F,76555790,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C7H15Cl2N2O2P,N/A,N/A,N/F,N/A,261.0321,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,15.01,Target Compound,003_Cali025,905902,81545802,0.011,15.02,Processed,0.25,Cal Std,65.538,T1,,2,1,003_Cali025,,155565,0.01,C7H15Cl2N2O2P,M+H,65.01,65.538,N/A,261.0321,261.032,-.4504 (ppm),0,Method,True,False,0.81,7.91,9.14,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,15.01,Target Compound,004_Cali05,1769804,79527672,0.022,14.98,Processed,0.5,Cal Std,122.918,T1,,3,1,004_Cali05,,314351,-0.03,C7H15Cl2N2O2P,M+H,130.01,122.918,N/A,261.0321,261.0321,.0172 (ppm),0,Method,True,False,-5.45,1.6,1.71,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,15.01,Target Compound,005_Cali1,3159635,64120245,0.049,14.99,Processed,1,Cal Std,262.048,T1,,4,1,005_Cali1,,508688,-0.02,C7H15Cl2N2O2P,M+H,260.02,262.048,N/A,261.0321,261.0321,.1341 (ppm),0,Method,True,False,0.78,2.32,2.4,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,15.01,Target Compound,006_Cali3,9604410,63324456,0.152,15.01,Processed,3,Cal Std,789.23,T1,,5,1,006_Cali3,,1559004,0.00,C7H15Cl2N2O2P,M+H,780.07,789.23,N/A,261.0321,261.0321,.1341 (ppm),0,Method,True,False,1.17,2.5,2.53,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,15.01,Target Compound,007_Cali5,18320993,73569715,0.249,15.01,Processed,5,Cal Std,1290.495,T1,,6,1,007_Cali5,,2927622,0.00,C7H15Cl2N2O2P,M+H,1300.12,1290.495,N/A,261.0321,261.0319,-.6843 (ppm),0,Method,True,False,-0.74,4.07,4.1,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,15.01,Target Compound,008_Cali8,25539858,63214320,0.404,15.03,Processed,8,Cal Std,2088.484,T1,,7,1,008_Cali8,,3836257,0.02,C7H15Cl2N2O2P,M+H,2080.2,2088.484,N/A,261.0321,261.0321,-.0997 (ppm),0,Method,True,False,0.4,1.54,1.55,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,15.01,Target Compound,009_Cali10,34987398,60542778,0.578,15.05,Processed,10,Cal Std,2983.7,T1,,8,1,009_Cali10,,5149789,0.04,C7H15Cl2N2O2P,M+H,2600.25,2983.7,N/A,261.0321,261.032,-.3335 (ppm),0,Method,True,False,14.75,4.42,4.43,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,15.01,Target Compound,010_Cali20,67416200,67348292,1.001,15.01,Processed,20,Cal Std,5162.143,T1,,9,1,010_Cali20,,13045886,0.00,C7H15Cl2N2O2P,M+H,5200.5,5162.143,N/A,261.0321,261.0322,.2510 (ppm),0,Method,True,False,-0.74,3.23,3.24,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,15.01,Target Compound,011_Cali50,116082088,47104609,2.464,15.01,Processed,50,Cal Std,12696.3,T1,,10,1,011_Cali50,,21277488,0.00,C7H15Cl2N2O2P,M+H,13001.24,12696.3,N/A,261.0321,261.0322,.2510 (ppm),0,Method,True,False,-2.35,1.25,1.25,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,15.01,Target Compound,012_blankEvian_2,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,11,1,012_blankEvian_2,,N/F,N/F,C7H15Cl2N2O2P,N/A,N/A,N/F,N/A,261.0321,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,15.01,Target Compound,036_wash,N/F,N/F,N/F,N/F,Processed,,Unknown,N/F,T1,,12,1,036_wash,,N/F,N/F,C7H15Cl2N2O2P,N/A,N/A,N/F,N/A,261.0321,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,15.01,Target Compound,037_Cali3,9054867,61607703,0.147,14.96,Processed,3,Cal Std,765.065,T1,,13,1,037_Cali3,,1516448,-0.05,C7H15Cl2N2O2P,M+H,780.07,765.065,N/A,261.0321,261.0319,-.9181 (ppm),0,Method,True,False,-1.92,2.5,2.53,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Cyclophosphamid_2579_p,15.01,Target Compound,038_blankEvian,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,14,1,038_blankEvian,,N/F,N/F,C7H15Cl2N2O2P,N/A,N/A,N/F,N/A,261.0321,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
