Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Darunavir_3016_p,16.76,Target Compound,002_blind,N/F,51677760,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C27H37N3O7S,N/A,N/A,N/F,N/A,548.2425,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Darunavir_3016_p,16.76,Target Compound,003_Cali025,1018695,63468458,0.016,16.74,Processed,0.25,Cal Std,154.138,T1,,2,1,003_Cali025,,175495,-0.02,C27H37N3O7S,M+H,136.81,154.138,N/A,548.2425,548.2428,.5433 (ppm),0,Method,True,False,12.67,0.27,0.34,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Darunavir_3016_p,16.76,Target Compound,004_Cali05,1850611,58334204,0.032,16.73,Processed,0.5,Cal Std,274.717,T1,,3,1,004_Cali05,,291621,-0.03,C27H37N3O7S,M+H,273.62,274.717,N/A,548.2425,548.2427,.3206 (ppm),0,Method,True,False,0.4,2.51,2.83,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Darunavir_3016_p,16.76,Target Compound,005_Cali1,3206547,51316977,0.062,16.75,Processed,1,Cal Std,511.359,T1,,4,1,005_Cali1,,524769,-0.01,C27H37N3O7S,M+H,547.24,511.359,N/A,548.2425,548.2428,.5433 (ppm),0,Method,True,False,-6.56,0.42,0.44,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Darunavir_3016_p,16.76,Target Compound,006_Cali3,10707126,49378843,0.217,16.74,Processed,3,Cal Std,1698.779,T1,,5,1,006_Cali3,,1911731,-0.02,C27H37N3O7S,M+H,1641.71,1698.779,N/A,548.2425,548.2426,.0980 (ppm),0,Method,True,False,3.48,6.58,6.71,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Darunavir_3016_p,16.76,Target Compound,007_Cali5,21649436,58158944,0.372,16.73,Processed,5,Cal Std,2894.341,T1,,6,1,007_Cali5,,3339372,-0.03,C27H37N3O7S,M+H,2736.18,2894.341,N/A,548.2425,548.2425,-.0134 (ppm),0,Method,True,False,5.78,5.21,5.27,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Darunavir_3016_p,16.76,Target Compound,008_Cali8,29660301,54212137,0.547,16.77,Processed,8,Cal Std,4239.607,T1,,7,1,008_Cali8,,5122543,0.01,C27H37N3O7S,M+H,4377.88,4239.607,N/A,548.2425,548.2427,.3206 (ppm),0,Method,True,False,-3.16,3.22,3.24,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Darunavir_3016_p,16.76,Target Compound,009_Cali10,40476677,51224175,0.79,16.76,Processed,10,Cal Std,6109.549,T1,,8,1,009_Cali10,,7393841,0.00,C27H37N3O7S,M+H,5472.35,6109.549,N/A,548.2425,548.2429,.7659 (ppm),0,Method,True,False,11.64,4.57,4.59,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Darunavir_3016_p,16.76,Target Compound,010_Cali20,90914665,64398870,1.412,16.76,Processed,20,Cal Std,10891.163,T1,,9,1,010_Cali20,,16440049,0.00,C27H37N3O7S,M+H,10944.7,10891.163,N/A,548.2425,548.2424,-.2360 (ppm),0,Method,True,False,-0.49,0.69,0.69,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Darunavir_3016_p,16.76,Target Compound,011_Cali50,204140190,55819818,3.657,16.76,Processed,50,Cal Std,28164.841,T1,,10,1,011_Cali50,,34203788,0.00,C27H37N3O7S,M+H,27361.76,28164.841,N/A,548.2425,548.2426,.0980 (ppm),0,Method,True,False,2.94,4.68,4.68,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
