Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Dexlansoprazole_p,15.81,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C16H14F3N3O2S,N/A,N/A,N/F,N/A,370.0832,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Dexlansoprazole_p,15.81,Target Compound,003_Cali025,534766,N/A,0,15.75,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,105911,-0.06,C16H14F3N3O2S,M+H,92.27,N/A,N/A,370.0832,370.0834,.6352 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Dexlansoprazole_p,15.81,Target Compound,004_Cali05,1076342,N/A,0,15.78,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,186861,-0.03,C16H14F3N3O2S,M+H,184.54,N/A,N/A,370.0832,370.0832,.0579 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Dexlansoprazole_p,15.81,Target Compound,005_Cali1,1953040,N/A,0,15.8,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,337037,-0.01,C16H14F3N3O2S,M+H,369.08,N/A,N/A,370.0832,370.0833,.1404 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Dexlansoprazole_p,15.81,Target Compound,006_Cali3,5918587,N/A,0,15.78,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,1009729,-0.03,C16H14F3N3O2S,M+H,1107.23,N/A,N/A,370.0832,370.0833,.3053 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Dexlansoprazole_p,15.81,Target Compound,007_Cali5,10776871,N/A,0,15.78,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,1902319,-0.03,C16H14F3N3O2S,M+H,1845.38,N/A,N/A,370.0832,370.0833,.1404 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Dexlansoprazole_p,15.81,Target Compound,008_Cali8,16512647,N/A,0,15.81,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,2621342,0.00,C16H14F3N3O2S,M+H,2952.61,N/A,N/A,370.0832,370.0833,.3878 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Dexlansoprazole_p,15.81,Target Compound,009_Cali10,22576489,N/A,0,15.8,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,3735109,-0.01,C16H14F3N3O2S,M+H,3690.76,N/A,N/A,370.0832,370.0833,.2228 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Dexlansoprazole_p,15.81,Target Compound,010_Cali20,46052529,N/A,0,15.8,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,7438971,-0.01,C16H14F3N3O2S,M+H,7381.52,N/A,N/A,370.0832,370.0833,.2228 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Dexlansoprazole_p,15.81,Target Compound,011_Cali50,92846151,N/A,0,15.81,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,14680631,0.00,C16H14F3N3O2S,M+H,18453.79,N/A,N/A,370.0832,370.0831,-.1895 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Dexlansoprazole_p,15.81,Target Compound,012_blankEvian_2,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,11,1,012_blankEvian_2,,N/F,N/F,C16H14F3N3O2S,N/A,N/A,N/F,N/A,370.0832,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Dexlansoprazole_p,15.81,Target Compound,036_wash,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,12,1,036_wash,,N/F,N/F,C16H14F3N3O2S,N/A,N/A,N/F,N/A,370.0832,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Dexlansoprazole_p,15.81,Target Compound,037_Cali3,6535336,N/A,0,15.9,Processed,3,Cal Std,N/A,T1,,13,1,037_Cali3,,980533,0.09,C16H14F3N3O2S,M+H,1107.23,N/A,N/A,370.0832,370.0832,-.1070 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Dexlansoprazole_p,15.81,Target Compound,038_blankEvian,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,14,1,038_blankEvian,,N/F,N/F,C16H14F3N3O2S,N/A,N/A,N/F,N/A,370.0832,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
