Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Dextromethorphan_2824_p,13.56,Target Compound,002_blind,N/F,0,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C18H25NO,N/A,N/A,N/F,N/A,272.2009,N/F,N/F,0,Method,TRUE,FALSE,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,003_Cali025,5404461,87608853,0.062,13.4,Processed,0.25,Cal Std,53.977,T1,,2,1,003_Cali025,,932800,-0.16,C18H25NO,M+H,67.8,53.977,N/A,272.2009,272.2007,-.5341 (ppm),0,Method,TRUE,FALSE,-20.39,0.3,0.23,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -20.387% (absolute) > max calibration amount diff 20%
Dextromethorphan_2824_p,13.56,Target Compound,004_Cali05,9394532,86299730,0.109,13.4,Processed,0.5,Cal Std,108.274,T1,,3,1,004_Cali05,,1304636,-0.16,C18H25NO,M+H,135.6,108.274,N/A,272.2009,272.2007,-.5341 (ppm),0,Method,TRUE,FALSE,-20.15,4.12,3.57,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -20.151% (absolute) > max calibration amount diff 20%
Dextromethorphan_2824_p,13.56,Target Compound,005_Cali1,19347195,72305617,0.268,13.43,Processed,1,Cal Std,290.967,T1,,4,1,005_Cali1,,3196187,-0.13,C18H25NO,M+H,271.19,290.967,N/A,272.2009,272.2007,-.8704 (ppm),0,Method,TRUE,FALSE,7.29,7.19,6.77,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,006_Cali3,59741713,71010375,0.841,13.43,Processed,3,Cal Std,951.373,T1,,5,1,006_Cali3,,10556175,-0.13,C18H25NO,M+H,813.58,951.373,N/A,272.2009,272.2008,-.1977 (ppm),0,Method,TRUE,FALSE,16.94,8.93,8.75,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,007_Cali5,97662677,75816692,1.288,13.41,Processed,5,Cal Std,1465.707,T1,,6,1,007_Cali5,,14064962,-0.15,C18H25NO,M+H,1355.97,1465.707,N/A,272.2009,272.2006,-1.0946 (ppm),0,Method,TRUE,FALSE,8.09,7.73,7.64,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,008_Cali8,147763113,72114752,2.049,13.45,Processed,8,Cal Std,2341.504,T1,,7,1,008_Cali8,,21654865,-0.11,C18H25NO,M+H,2169.55,2341.504,N/A,272.2009,272.2007,-.6462 (ppm),0,Method,TRUE,FALSE,7.93,9.41,9.34,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,009_Cali10,202714865,74376108,2.726,13.42,Processed,10,Cal Std,3120.244,T1,,8,1,009_Cali10,,35408362,-0.14,C18H25NO,M+H,2711.94,3120.244,N/A,272.2009,272.2007,-.5341 (ppm),0,Method,TRUE,FALSE,15.06,7.62,7.57,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,010_Cali20,453594386,83268116,5.447,13.41,Processed,20,Cal Std,6253.283,T1,,9,1,010_Cali20,,79019516,-0.15,C18H25NO,M+H,5423.87,6253.283,N/A,272.2009,272.2009,.1386 (ppm),0,Method,TRUE,FALSE,15.29,15.86,15.81,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,011_Cali50,723325215,66093286,10.944,13.39,Processed,50,Cal Std,12580.244,T1,,10,1,011_Cali50,,110956171,-0.17,C18H25NO,M+H,13559.68,12580.244,N/A,272.2009,272.2009,.1386 (ppm),0,Method,TRUE,FALSE,-7.22,2.43,2.43,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,012_blankEvian_2,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,11,1,012_blankEvian_2,,N/F,N/F,C18H25NO,N/A,N/A,N/F,N/A,272.2009,N/F,N/F,0,Manual,TRUE,FALSE,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,036_wash,N/F,N/F,N/F,N/F,Processed,,Unknown,N/F,T1,,12,1,036_wash,,N/F,N/F,C18H25NO,N/A,N/A,N/F,N/A,272.2009,N/F,N/F,0,Method,TRUE,FALSE,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,037_Cali3,49650239,69738215,0.712,13.27,Processed,3,Cal Std,802.473,T1,,13,1,037_Cali3,,7126637,-0.29,C18H25NO,M+H,813.58,802.473,N/A,272.2009,272.2007,-.8704 (ppm),0,Method,TRUE,FALSE,-1.37,8.93,8.75,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,038_blankEvian,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,14,1,038_blankEvian,,N/F,N/F,C18H25NO,N/A,N/A,N/F,N/A,272.2009,N/F,N/F,0,Manual,TRUE,FALSE,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,039_fie1_air_biof_btq_0_r1,N/F,5526765,N/F,N/F,Processed,,Unknown,N/F,T1,,15,1,039_fie1_air_biof_btq_0_r1,,N/F,N/F,C18H25NO,N/A,N/A,N/F,N/A,272.2009,N/F,N/F,0,Method,TRUE,FALSE,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,040_fie1_air_biof_btq_0_r2,8742043,3246798,2.693,13.31,Processed,,Unknown,3082.229,T1,,16,1,040_fie1_air_biof_btq_0_r2,,1269926,-0.25,C18H25NO,M+H,N/A,3082.229,N/A,272.2009,272.2009,.0265 (ppm),0,Method,TRUE,FALSE,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,041_fie1_air_biof_btq_0_r3,8047850,2941671,2.736,13.28,Processed,,Unknown,3132.067,T1,,17,1,041_fie1_air_biof_btq_0_r3,,1140654,-0.28,C18H25NO,M+H,N/A,3132.067,N/A,272.2009,272.2009,.0265 (ppm),0,Method,TRUE,FALSE,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,042_fie1_air_biof_btq_0_r4,51171734,2142694,23.882,13.31,Processed,,Unknown,27472.691,T1,,18,1,042_fie1_air_biof_btq_0_r4,,7340630,-0.25,C18H25NO,M+H,N/A,27472.691,N/A,272.2009,272.2008,-.4219 (ppm),0,Method,TRUE,FALSE,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,043_fie1_air_biof_btq_0_r5,107956874,5899143,18.3,13.29,Processed,,Unknown,21047.979,T1,,19,1,043_fie1_air_biof_btq_0_r5,,17201618,-0.27,C18H25NO,M+H,N/A,21047.979,N/A,272.2009,272.2007,-.5341 (ppm),0,Method,TRUE,FALSE,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,044_fie1_air_biof_btq_0_r6,96397069,2112641,45.629,13.3,Processed,,Unknown,52504.632,T1,,20,1,044_fie1_air_biof_btq_0_r6,,14535316,-0.26,C18H25NO,M+H,N/A,52504.632,N/A,272.2009,272.201,.4750 (ppm),0,Method,TRUE,FALSE,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,045_blank,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,21,1,045_blank,,N/F,N/F,C18H25NO,N/A,N/A,N/F,N/A,272.2009,N/F,N/F,0,Method,TRUE,FALSE,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,046_fie1_air_biof_scq_0_r1,N/F,2040959,N/F,N/F,Processed,,Unknown,N/F,T1,,22,1,046_fie1_air_biof_scq_0_r1,,N/F,N/F,C18H25NO,N/A,N/A,N/F,N/A,272.2009,N/F,N/F,0,Method,TRUE,FALSE,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,047_fie1_air_biof_scq_0_r2,12185530,6973198,1.747,13.31,Processed,,Unknown,1994.436,T1,,23,1,047_fie1_air_biof_scq_0_r2,,2101878,-0.25,C18H25NO,M+H,N/A,1994.436,N/A,272.2009,272.2009,.1386 (ppm),0,Method,TRUE,FALSE,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,048_fie1_air_biof_scq_0_r3,12788176,5456159,2.344,13.3,Processed,,Unknown,2680.845,T1,,24,1,048_fie1_air_biof_scq_0_r3,,1792752,-0.26,C18H25NO,M+H,N/A,2680.845,N/A,272.2009,272.2011,.6992 (ppm),0,Method,TRUE,FALSE,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,049_fie1_air_biof_scq_0_r4,53024486,4134528,12.825,13.31,Processed,,Unknown,14745.161,T1,,25,1,049_fie1_air_biof_scq_0_r4,,7946363,-0.25,C18H25NO,M+H,N/A,14745.161,N/A,272.2009,272.2009,.1386 (ppm),0,Method,TRUE,FALSE,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,050_fie1_air_biof_scq_0_r5,145859641,4844355,30.109,13.29,Processed,,Unknown,34640.65,T1,,26,1,050_fie1_air_biof_scq_0_r5,,24513226,-0.27,C18H25NO,M+H,N/A,34640.65,N/A,272.2009,272.201,.3629 (ppm),0,Method,TRUE,FALSE,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,051_fie1_air_biof_scq_0_r6,176209460,8929311,19.734,13.31,Processed,,Unknown,22697.909,T1,,27,1,051_fie1_air_biof_scq_0_r6,,26571338,-0.25,C18H25NO,M+H,N/A,22697.909,N/A,272.2009,272.201,.3629 (ppm),0,Method,TRUE,FALSE,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,052_blankEvian,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,28,1,052_blankEvian,,N/F,N/F,C18H25NO,N/A,N/A,N/F,N/A,272.2009,N/F,N/F,0,Manual,TRUE,FALSE,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,053_Cali5,90767887,68412474,1.327,13.33,Processed,5,Cal Std,1510.174,T1,,29,1,053_Cali5,,13899815,-0.23,C18H25NO,M+H,1355.97,1510.174,N/A,272.2009,272.201,.2507 (ppm),0,Method,TRUE,FALSE,11.37,7.73,7.64,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,054_blankEvian,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,30,1,054_blankEvian,,N/F,N/F,C18H25NO,N/A,N/A,N/F,N/A,272.2009,N/F,N/F,0,Manual,TRUE,FALSE,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,055_fie1_air_asb_btq_0_r1,1638172,3914425,0.418,13.3,Processed,,Unknown,464.686,T1,,31,1,055_fie1_air_asb_btq_0_r1,,234284,-0.26,C18H25NO,M+H,N/A,464.686,N/A,272.2009,272.2008,-.1977 (ppm),0,Method,TRUE,FALSE,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,056_fie1_air_asb_btq_0_r2,17354803,3047509,5.695,13.3,Processed,,Unknown,6538.004,T1,,32,1,056_fie1_air_asb_btq_0_r2,,2447027,-0.26,C18H25NO,M+H,N/A,6538.004,N/A,272.2009,272.2008,-.1977 (ppm),0,Method,TRUE,FALSE,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Dextromethorphan_2824_p,13.56,Target Compound,057_fie1_air_asb_btq_0_r3,15501160,6835485,2.268,13.32,Processed,,Unknown,2593.298,T1,,33,1,057_fie1_air_asb_btq_0_r3,,2332063,-0.24,C18H25NO,M+H,N/A,2593.298,N/A,272.2009,272.2011,.6992 (ppm),0,Method,TRUE,FALSE,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
