Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Diclofenac_201_p,19.41,Target Compound,002_blind,N/F,21806275,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C14H11Cl2N1O2,N/A,N/A,N/F,N/A,296.024,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,003_Cali025,367102,26601893,0.014,19.38,Processed,0.25,Cal Std,81.553,T1,,2,1,003_Cali025,,78734,-0.03,C14H11Cl2N1O2,M+H,73.75,81.553,N/A,296.024,296.0242,.8122 (ppm),0,Method,True,False,10.58,2.71,3.66,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,004_Cali05,787806,25169573,0.031,19.38,Processed,0.5,Cal Std,158.569,T1,,3,1,004_Cali05,,169985,-0.03,C14H11Cl2N1O2,M+H,147.51,158.569,N/A,296.024,296.024,.1937 (ppm),0,Method,True,False,7.5,9.99,11.62,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,005_Cali1,1158090,19896109,0.058,19.4,Processed,1,Cal Std,276.984,T1,,4,1,005_Cali1,,249419,-0.01,C14H11Cl2N1O2,M+H,295.02,276.984,N/A,296.024,296.024,.0906 (ppm),0,Method,True,False,-6.11,0.68,0.74,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,006_Cali3,3374332,18533297,0.182,19.42,Processed,3,Cal Std,822.086,T1,,5,1,006_Cali3,,588929,0.01,C14H11Cl2N1O2,M+H,885.05,822.086,N/A,296.024,296.024,.2968 (ppm),0,Method,True,False,-7.11,1.63,1.67,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,007_Cali5,6946290,20601681,0.337,19.41,Processed,5,Cal Std,1504.674,T1,,6,1,007_Cali5,,1290276,0.00,C14H11Cl2N1O2,M+H,1475.08,1504.674,N/A,296.024,296.024,.1937 (ppm),0,Method,True,False,2.01,1.96,1.98,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,008_Cali8,10908373,21083047,0.517,19.41,Processed,8,Cal Std,2297.843,T1,,7,1,008_Cali8,,1957626,0.00,C14H11Cl2N1O2,M+H,2360.13,2297.843,N/A,296.024,296.024,.1937 (ppm),0,Method,True,False,-2.64,2.83,2.85,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,009_Cali10,14133136,19693540,0.718,19.41,Processed,10,Cal Std,3179.135,T1,,8,1,009_Cali10,,2536205,0.00,C14H11Cl2N1O2,M+H,2950.17,3179.135,N/A,296.024,296.024,.1937 (ppm),0,Method,True,False,7.76,0.18,0.18,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,010_Cali20,30254180,22579631,1.34,19.41,Processed,20,Cal Std,5917.521,T1,,9,1,010_Cali20,,6424146,0.00,C14H11Cl2N1O2,M+H,5900.33,5917.521,N/A,296.024,296.0239,-.1156 (ppm),0,Method,True,False,0.29,1.13,1.14,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,011_Cali50,58011207,17469732,3.321,19.41,Processed,50,Cal Std,14634.72,T1,,10,1,011_Cali50,,10207773,0.00,C14H11Cl2N1O2,M+H,14750.83,14634.72,N/A,296.024,296.0241,.5030 (ppm),0,Method,True,False,-0.79,0.19,0.19,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,012_blankEvian_2,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,11,1,012_blankEvian_2,,N/F,N/F,C14H11Cl2N1O2,N/A,N/A,N/F,N/A,296.024,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,036_wash,N/F,N/F,N/F,N/F,Processed,,Unknown,N/F,T1,,12,1,036_wash,,N/F,N/F,C14H11Cl2N1O2,N/A,N/A,N/F,N/A,296.024,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,037_Cali3,4214414,22467825,0.188,19.39,Processed,3,Cal Std,846.321,T1,,13,1,037_Cali3,,805178,-0.02,C14H11Cl2N1O2,M+H,885.05,846.321,N/A,296.024,296.024,.1937 (ppm),0,Method,True,False,-4.38,1.63,1.67,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,038_blankEvian,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,14,1,038_blankEvian,,N/F,N/F,C14H11Cl2N1O2,N/A,N/A,N/F,N/A,296.024,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,039_fie1_air_biof_btq_0_r1,N/F,6276122,N/F,N/F,Processed,,Unknown,N/F,T1,,15,1,039_fie1_air_biof_btq_0_r1,,N/F,N/F,C14H11Cl2N1O2,N/A,N/A,N/F,N/A,296.024,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,040_fie1_air_biof_btq_0_r2,857556,4772086,0.18,19.44,Processed,,Unknown,811.673,T1,,16,1,040_fie1_air_biof_btq_0_r2,,193241,0.03,C14H11Cl2N1O2,M+H,N/A,811.673,N/A,296.024,296.0238,-.5280 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,041_fie1_air_biof_btq_0_r3,865440,5500012,0.157,19.4,Processed,,Unknown,713.312,T1,,17,1,041_fie1_air_biof_btq_0_r3,,258744,-0.01,C14H11Cl2N1O2,M+H,N/A,713.312,N/A,296.024,296.0241,.6060 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,042_fie1_air_biof_btq_0_r4,3650505,5267282,0.693,19.41,Processed,,Unknown,3070.87,T1,,18,1,042_fie1_air_biof_btq_0_r4,,684698,0.00,C14H11Cl2N1O2,M+H,N/A,3070.87,N/A,296.024,296.0241,.6060 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,043_fie1_air_biof_btq_0_r5,9446810,4912475,1.923,19.42,Processed,,Unknown,8483.84,T1,,19,1,043_fie1_air_biof_btq_0_r5,,1611141,0.01,C14H11Cl2N1O2,M+H,N/A,8483.84,N/A,296.024,296.0241,.6060 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,044_fie1_air_biof_btq_0_r6,8558733,4783661,1.789,19.4,Processed,,Unknown,7894.715,T1,,20,1,044_fie1_air_biof_btq_0_r6,,1685770,-0.01,C14H11Cl2N1O2,M+H,N/A,7894.715,N/A,296.024,296.0241,.6060 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,045_blank,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,21,1,045_blank,,N/F,N/F,C14H11Cl2N1O2,N/A,N/A,N/F,N/A,296.024,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,046_fie1_air_biof_scq_0_r1,N/F,4113690,N/F,N/F,Processed,,Unknown,N/F,T1,,22,1,046_fie1_air_biof_scq_0_r1,,N/F,N/F,C14H11Cl2N1O2,N/A,N/A,N/F,N/A,296.024,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,047_fie1_air_biof_scq_0_r2,679532,4373350,0.155,19.4,Processed,,Unknown,704.633,T1,,23,1,047_fie1_air_biof_scq_0_r2,,163459,-0.01,C14H11Cl2N1O2,M+H,N/A,704.633,N/A,296.024,296.0239,-.1156 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,048_fie1_air_biof_scq_0_r3,646521,4656617,0.139,19.38,Processed,,Unknown,631.838,T1,,24,1,048_fie1_air_biof_scq_0_r3,,131735,-0.03,C14H11Cl2N1O2,M+H,N/A,631.838,N/A,296.024,296.0245,1.9462 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,049_fie1_air_biof_scq_0_r4,3035908,4979481,0.61,19.43,Processed,,Unknown,2703.972,T1,,25,1,049_fie1_air_biof_scq_0_r4,,584913,0.02,C14H11Cl2N1O2,M+H,N/A,2703.972,N/A,296.024,296.0244,1.4308 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,050_fie1_air_biof_scq_0_r5,7143576,4418983,1.617,19.4,Processed,,Unknown,7135.147,T1,,26,1,050_fie1_air_biof_scq_0_r5,,1429724,-0.01,C14H11Cl2N1O2,M+H,N/A,7135.147,N/A,296.024,296.0239,-.2187 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,051_fie1_air_biof_scq_0_r6,11221787,5854169,1.917,19.4,Processed,,Unknown,8456.834,T1,,27,1,051_fie1_air_biof_scq_0_r6,,2326828,-0.01,C14H11Cl2N1O2,M+H,N/A,8456.834,N/A,296.024,296.0242,.8122 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,052_blankEvian,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,28,1,052_blankEvian,,N/F,N/F,C14H11Cl2N1O2,N/A,N/A,N/F,N/A,296.024,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,053_Cali5,6019819,18388126,0.327,19.42,Processed,5,Cal Std,1461.564,T1,,29,1,053_Cali5,,1122981,0.01,C14H11Cl2N1O2,M+H,1475.08,1461.564,N/A,296.024,296.0241,.5030 (ppm),0,Method,True,False,-0.92,1.96,1.98,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,054_blankEvian,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,30,1,054_blankEvian,,N/F,N/F,C14H11Cl2N1O2,N/A,N/A,N/F,N/A,296.024,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Diclofenac_201_p,19.41,Target Compound,055_fie1_air_asb_btq_0_r1,2508332,5130586,0.489,19.4,Processed,,Unknown,2172.407,T1,,31,1,055_fie1_air_asb_btq_0_r1,,461388,-0.01,C14H11Cl2N1O2,M+H,N/A,2172.407,N/A,296.024,296.024,.2968 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
