Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Diltiazem_3017_p,14.12,Target Compound,002_blind,N/F,0,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C22H26N2O4S,N/A,N/A,N/F,N/A,415.1686,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Diltiazem_3017_p,14.12,Target Compound,003_Cali025,0,92247231,0.051,13.98,Processed,0.25,Cal Std,61.591,T1,,2,1,003_Cali025,,1012470,-0.14,C22H26N2O4S,M+H,103.54,61.591,N/A,415.1686,415.1688,.5377 (ppm),0,Method,True,False,-40.51,1.25,0.77,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.988 < R2Threshold 0.99. Calibration Amount Diff -40.514% (absolute) > max calibration amount diff 20%
Diltiazem_3017_p,14.12,Target Compound,004_Cali05,10369892,92143139,0.113,13.98,Processed,0.5,Cal Std,182.354,T1,,3,1,004_Cali05,,1835340,-0.14,C22H26N2O4S,M+H,207.08,182.354,N/A,415.1686,415.1686,.0232 (ppm),0,Method,True,False,-11.94,4.92,4.04,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.988 < R2Threshold 0.99
Diltiazem_3017_p,14.12,Target Compound,005_Cali1,17119269,69132224,0.248,13.97,Processed,1,Cal Std,447.585,T1,,4,1,005_Cali1,,3272119,-0.15,C22H26N2O4S,M+H,414.16,447.585,N/A,415.1686,415.1687,.1702 (ppm),0,Method,True,False,8.07,9.15,8.38,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.988 < R2Threshold 0.99
Diltiazem_3017_p,14.12,Target Compound,006_Cali3,54627134,71186552,0.767,13.97,Processed,3,Cal Std,1468.042,T1,,5,1,006_Cali3,,10167371,-0.15,C22H26N2O4S,M+H,1242.48,1468.042,N/A,415.1686,415.1688,.5377 (ppm),0,Method,True,False,18.15,7.01,6.82,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.988 < R2Threshold 0.99
Diltiazem_3017_p,14.12,Target Compound,007_Cali5,98283069,75818894,1.296,13.97,Processed,5,Cal Std,2506.48,T1,,6,1,007_Cali5,,17122870,-0.15,C22H26N2O4S,M+H,2070.81,2506.48,N/A,415.1686,415.1687,.1702 (ppm),0,Method,True,False,21.04,7.31,7.19,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.988 < R2Threshold 0.99. Calibration Amount Diff 21.038% (absolute) > max calibration amount diff 20%
Diltiazem_3017_p,14.12,Target Compound,008_Cali8,141809725,76364309,1.857,13.98,Processed,8,Cal Std,3607.395,T1,,7,1,008_Cali8,,22934966,-0.14,C22H26N2O4S,M+H,3313.29,3607.395,N/A,415.1686,415.1683,-.7119 (ppm),0,Method,True,False,8.88,3.84,3.8,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.988 < R2Threshold 0.99
Diltiazem_3017_p,14.12,Target Compound,009_Cali10,180820037,67185104,2.691,13.99,Processed,10,Cal Std,5245.538,T1,,8,1,009_Cali10,,33010182,-0.13,C22H26N2O4S,M+H,4141.61,5245.538,N/A,415.1686,415.1687,.2437 (ppm),0,Method,True,False,26.65,8.91,8.84,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.988 < R2Threshold 0.99. Calibration Amount Diff 26.654% (absolute) > max calibration amount diff 20%
Diltiazem_3017_p,14.12,Target Compound,010_Cali20,355797871,82872729,4.293,14,Processed,20,Cal Std,8390.719,T1,,9,1,010_Cali20,,56291716,-0.12,C22H26N2O4S,M+H,8283.23,8390.719,N/A,415.1686,415.1689,.6112 (ppm),0,Method,True,False,1.3,7.6,7.56,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.988 < R2Threshold 0.99
Diltiazem_3017_p,14.12,Target Compound,011_Cali50,677484949,64406104,10.519,13.98,Processed,50,Cal Std,20613.944,T1,,10,1,011_Cali50,,112836248,-0.14,C22H26N2O4S,M+H,20708.07,20613.944,N/A,415.1686,415.1688,.5377 (ppm),0,Method,True,False,-0.45,9.63,9.61,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.988 < R2Threshold 0.99
Diltiazem_3017_p,14.12,Target Compound,012_blankEvian_2,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,11,1,012_blankEvian_2,,N/F,N/F,C22H26N2O4S,N/A,N/A,N/F,N/A,415.1686,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Diltiazem_3017_p,14.12,Target Compound,036_wash,N/F,N/F,N/F,N/F,Processed,,Unknown,N/F,T1,,12,1,036_wash,,N/F,N/F,C22H26N2O4S,N/A,N/A,N/F,N/A,415.1686,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Diltiazem_3017_p,14.12,Target Compound,037_Cali3,43722277,62490310,0.7,13.83,Processed,3,Cal Std,1335.093,T1,,13,1,037_Cali3,,7144644,-0.29,C22H26N2O4S,M+H,1242.48,1335.093,N/A,415.1686,415.1685,-.2709 (ppm),0,Method,True,False,7.45,7.01,6.82,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.988 < R2Threshold 0.99
Diltiazem_3017_p,14.12,Target Compound,038_blankEvian,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,14,1,038_blankEvian,,N/F,N/F,C22H26N2O4S,N/A,N/A,N/F,N/A,415.1686,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Diltiazem_3017_p,14.12,Target Compound,039_fie1_air_biof_btq_0_r1,N/F,20021231,N/F,N/F,Processed,,Unknown,N/F,T1,,15,1,039_fie1_air_biof_btq_0_r1,,N/F,N/F,C22H26N2O4S,N/A,N/A,N/F,N/A,415.1686,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Diltiazem_3017_p,14.12,Target Compound,040_fie1_air_biof_btq_0_r2,15290762,17292327,0.884,13.86,Processed,,Unknown,1697.503,T1,,16,1,040_fie1_air_biof_btq_0_r2,,3026714,-0.26,C22H26N2O4S,M+H,N/A,1697.503,N/A,415.1686,415.1687,.2437 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diltiazem_3017_p,14.12,Target Compound,041_fie1_air_biof_btq_0_r3,12923678,13623587,0.949,13.84,Processed,,Unknown,1823.893,T1,,17,1,041_fie1_air_biof_btq_0_r3,,2472699,-0.28,C22H26N2O4S,M+H,N/A,1823.893,N/A,415.1686,415.1688,.5377 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diltiazem_3017_p,14.12,Target Compound,042_fie1_air_biof_btq_0_r4,71492506,17954001,3.982,13.89,Processed,,Unknown,7779.479,T1,,18,1,042_fie1_air_biof_btq_0_r4,,11463253,-0.23,C22H26N2O4S,M+H,N/A,7779.479,N/A,415.1686,415.1688,.5377 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diltiazem_3017_p,14.12,Target Compound,043_fie1_air_biof_btq_0_r5,149540176,19186111,7.794,13.85,Processed,,Unknown,15264.233,T1,,19,1,043_fie1_air_biof_btq_0_r5,,28889164,-0.27,C22H26N2O4S,M+H,N/A,15264.233,N/A,415.1686,415.1689,.6112 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diltiazem_3017_p,14.12,Target Compound,044_fie1_air_biof_btq_0_r6,129849543,18915590,6.865,13.84,Processed,,Unknown,13439.275,T1,,20,1,044_fie1_air_biof_btq_0_r6,,21194180,-0.28,C22H26N2O4S,M+H,N/A,13439.275,N/A,415.1686,415.169,.9052 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diltiazem_3017_p,14.12,Target Compound,045_blank,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,21,1,045_blank,,N/F,N/F,C22H26N2O4S,N/A,N/A,N/F,N/A,415.1686,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Diltiazem_3017_p,14.12,Target Compound,046_fie1_air_biof_scq_0_r1,N/F,26549588,N/F,N/F,Processed,,Unknown,N/F,T1,,22,1,046_fie1_air_biof_scq_0_r1,,N/F,N/F,C22H26N2O4S,N/A,N/A,N/F,N/A,415.1686,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Diltiazem_3017_p,14.12,Target Compound,047_fie1_air_biof_scq_0_r2,13811372,28129973,0.491,13.86,Processed,,Unknown,925.376,T1,,23,1,047_fie1_air_biof_scq_0_r2,,2832576,-0.26,C22H26N2O4S,M+H,N/A,925.376,N/A,415.1686,415.169,1.0523 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diltiazem_3017_p,14.12,Target Compound,048_fie1_air_biof_scq_0_r3,19051162,32573492,0.585,13.86,Processed,,Unknown,1109.702,T1,,24,1,048_fie1_air_biof_scq_0_r3,,3407205,-0.26,C22H26N2O4S,M+H,N/A,1109.702,N/A,415.1686,415.1691,1.2728 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diltiazem_3017_p,14.12,Target Compound,049_fie1_air_biof_scq_0_r4,72551798,33178226,2.187,13.87,Processed,,Unknown,4254.743,T1,,25,1,049_fie1_air_biof_scq_0_r4,,12844245,-0.25,C22H26N2O4S,M+H,N/A,4254.743,N/A,415.1686,415.169,1.0523 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diltiazem_3017_p,14.12,Target Compound,050_fie1_air_biof_scq_0_r5,173058138,40280279,4.296,13.86,Processed,,Unknown,8396.696,T1,,26,1,050_fie1_air_biof_scq_0_r5,,29498604,-0.26,C22H26N2O4S,M+H,N/A,8396.696,N/A,415.1686,415.1689,.7582 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diltiazem_3017_p,14.12,Target Compound,051_fie1_air_biof_scq_0_r6,203963883,49492579,4.121,13.85,Processed,,Unknown,8052.619,T1,,27,1,051_fie1_air_biof_scq_0_r6,,30226126,-0.27,C22H26N2O4S,M+H,N/A,8052.619,N/A,415.1686,415.1688,.5377 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diltiazem_3017_p,14.12,Target Compound,052_blankEvian,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,28,1,052_blankEvian,,N/F,N/F,C22H26N2O4S,N/A,N/A,N/F,N/A,415.1686,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Diltiazem_3017_p,14.12,Target Compound,053_Cali5,74061528,62401411,1.187,13.86,Processed,5,Cal Std,2291.628,T1,,29,1,053_Cali5,,13002881,-0.26,C22H26N2O4S,M+H,2070.81,2291.628,N/A,415.1686,415.1689,.6112 (ppm),0,Method,True,False,10.66,7.31,7.19,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.988 < R2Threshold 0.99
Diltiazem_3017_p,14.12,Target Compound,054_blankEvian,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,30,1,054_blankEvian,,N/F,N/F,C22H26N2O4S,N/A,N/A,N/F,N/A,415.1686,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Diltiazem_3017_p,14.12,Target Compound,055_fie1_air_asb_btq_0_r1,N/F,36290066,N/F,N/F,Processed,,Unknown,N/F,T1,,31,1,055_fie1_air_asb_btq_0_r1,,N/F,N/F,C22H26N2O4S,N/A,N/A,N/F,N/A,415.1686,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Diltiazem_3017_p,14.12,Target Compound,056_fie1_air_asb_btq_0_r2,22196575,35648336,0.623,13.88,Processed,,Unknown,1183.892,T1,,32,1,056_fie1_air_asb_btq_0_r2,,3912549,-0.24,C22H26N2O4S,M+H,N/A,1183.892,N/A,415.1686,415.169,.9788 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diltiazem_3017_p,14.12,Target Compound,057_fie1_air_asb_btq_0_r3,19187442,37416304,0.513,13.85,Processed,,Unknown,968.228,T1,,33,1,057_fie1_air_asb_btq_0_r3,,3441389,-0.27,C22H26N2O4S,M+H,N/A,968.228,N/A,415.1686,415.169,.9052 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diltiazem_3017_p,14.12,Target Compound,058_fie1_air_asb_btq_0_r4,84948506,43292430,1.962,13.84,Processed,,Unknown,3813.914,T1,,34,1,058_fie1_air_asb_btq_0_r4,,15515545,-0.28,C22H26N2O4S,M+H,N/A,3813.914,N/A,415.1686,415.169,.9788 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diltiazem_3017_p,14.12,Target Compound,059_fie1_air_asb_btq_0_r5,218152121,37654878,5.793,13.85,Processed,,Unknown,11336.076,T1,,35,1,059_fie1_air_asb_btq_0_r5,,36192440,-0.27,C22H26N2O4S,M+H,N/A,11336.076,N/A,415.1686,415.1688,.5377 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Diltiazem_3017_p,14.12,Target Compound,061_blankEvian,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,36,1,061_blankEvian,,N/F,N/F,C22H26N2O4S,N/A,N/A,N/F,N/A,415.1686,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Diltiazem_3017_p,14.12,Target Compound,062_fie1_air_asb_scq_0_r1,N/F,42317687,N/F,N/F,Processed,,Unknown,N/F,T1,,37,1,062_fie1_air_asb_scq_0_r1,,N/F,N/F,C22H26N2O4S,N/A,N/A,N/F,N/A,415.1686,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
