Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Elvitegravir_p,19.84,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C23H23ClFNO5,N/A,N/A,N/F,N/A,448.1322,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Elvitegravir_p,19.84,Target Compound,003_Cali025,932899,N/A,0,19.84,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,166834,0.00,C23H23ClFNO5,M+H,111.78,N/A,N/A,448.1322,448.1323,.1410 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Elvitegravir_p,19.84,Target Compound,004_Cali05,1877779,N/A,0,19.84,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,305759,0.00,C23H23ClFNO5,M+H,223.56,N/A,N/A,448.1322,448.1319,-.6081 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Elvitegravir_p,19.84,Target Compound,005_Cali1,4106688,N/A,0,19.84,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,734889,0.00,C23H23ClFNO5,M+H,447.12,N/A,N/A,448.1322,448.1324,.4134 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Elvitegravir_p,19.84,Target Compound,006_Cali3,10868894,N/A,0,19.85,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,1746877,0.01,C23H23ClFNO5,M+H,1341.37,N/A,N/A,448.1322,448.1321,-.1314 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Elvitegravir_p,19.84,Target Compound,007_Cali5,21186538,N/A,0,19.83,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,3593736,-0.01,C23H23ClFNO5,M+H,2235.62,N/A,N/A,448.1322,448.1322,.0729 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Elvitegravir_p,19.84,Target Compound,008_Cali8,29756594,N/A,0,19.84,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,4951783,0.00,C23H23ClFNO5,M+H,3577,N/A,N/A,448.1322,448.1323,.1410 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Elvitegravir_p,19.84,Target Compound,009_Cali10,40959244,N/A,0,19.84,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,6418210,0.00,C23H23ClFNO5,M+H,4471.25,N/A,N/A,448.1322,448.1323,.1410 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Elvitegravir_p,19.84,Target Compound,010_Cali20,95946585,N/A,0,19.84,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,15888884,0.00,C23H23ClFNO5,M+H,8942.5,N/A,N/A,448.1322,448.1322,.0048 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Elvitegravir_p,19.84,Target Compound,011_Cali50,200449916,N/A,0,19.84,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,33898507,0.00,C23H23ClFNO5,M+H,22356.24,N/A,N/A,448.1322,448.1323,.2091 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
