Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Emtricitabine_3106_p,8.69,Target Compound,002_blind,N/F,16603136,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C8H10FN3O3S,N/A,N/A,N/F,N/A,248.05,N/F,N/F,1,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.69,Target Compound,003_Cali025,103266,21102791,0.005,8.66,Processed,0.25,Cal Std,68.187,T1,,2,1,003_Cali025,,21311,-0.03,C8H10FN3O3S,M+H,61.76,68.187,N/A,248.05,248.05,.1332 (ppm),1,Method,True,False,10.41,141.42,141.42,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Percent coefficient of variance 141.421 > Calibration %CV Test 20
Emtricitabine_3106_p,8.69,Target Compound,004_Cali05,201908,18435935,0.011,8.68,Processed,0.5,Cal Std,119.866,T1,,3,1,004_Cali05,,39511,-0.01,C8H10FN3O3S,M+H,123.52,119.866,N/A,248.05,248.0497,-.9740 (ppm),1,Method,True,False,-2.96,9.1,11.46,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.69,Target Compound,005_Cali1,462757,19007499,0.024,8.65,Processed,1,Cal Std,234.122,T1,,4,1,005_Cali1,,90788,-0.04,C8H10FN3O3S,M+H,247.04,234.122,N/A,248.05,248.0499,-.4204 (ppm),1,Method,True,False,-5.23,4.83,5.47,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.69,Target Compound,006_Cali3,1453469,16649806,0.087,8.66,Processed,3,Cal Std,771.107,T1,,5,1,006_Cali3,,224596,-0.03,C8H10FN3O3S,M+H,741.13,771.107,N/A,248.05,248.0499,-.1743 (ppm),1,Method,True,False,4.04,4.64,4.82,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.69,Target Compound,007_Cali5,2738447,19838257,0.138,8.65,Processed,5,Cal Std,1203.952,T1,,6,1,007_Cali5,,425902,-0.04,C8H10FN3O3S,M+H,1235.21,1203.952,N/A,248.05,248.0498,-.7280 (ppm),1,Method,True,False,-2.53,4.52,4.62,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.69,Target Compound,008_Cali8,3804942,17011314,0.224,8.7,Processed,8,Cal Std,1934.421,T1,,7,1,008_Cali8,,637286,0.01,C8H10FN3O3S,M+H,1976.34,1934.421,N/A,248.05,248.05,-.0513 (ppm),1,Method,True,False,-2.12,1.56,1.58,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.69,Target Compound,009_Cali10,5704581,17875019,0.319,8.7,Processed,10,Cal Std,2748.77,T1,,8,1,009_Cali10,,933920,0.01,C8H10FN3O3S,M+H,2470.43,2748.77,N/A,248.05,248.05,.0717 (ppm),1,Method,True,False,11.27,4.19,4.23,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.69,Target Compound,010_Cali20,10506677,19187764,0.548,8.7,Processed,20,Cal Std,4697.38,T1,,9,1,010_Cali20,,1234848,0.01,C8H10FN3O3S,M+H,4940.85,4697.38,N/A,248.05,248.05,-.0513 (ppm),1,Method,True,False,-4.93,3.7,3.72,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.69,Target Compound,011_Cali50,21259792,14407374,1.476,8.69,Processed,50,Cal Std,12613.875,T1,,10,1,011_Cali50,,3209420,0.00,C8H10FN3O3S,M+H,12352.13,12613.875,N/A,248.05,248.05,.0717 (ppm),1,Method,True,False,2.12,3.76,3.77,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.69,Target Compound,012_blankEvian_2,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,11,1,012_blankEvian_2,,N/F,N/F,C8H10FN3O3S,N/A,N/A,N/F,N/A,248.05,N/F,N/F,1,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.69,Target Compound,036_wash,N/F,N/F,N/F,N/F,Processed,,Unknown,N/F,T1,,12,1,036_wash,,N/F,N/F,C8H10FN3O3S,N/A,N/A,N/F,N/A,248.05,N/F,N/F,1,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.69,Target Compound,037_Cali3,1341688,16760723,0.08,8.65,Processed,3,Cal Std,709.288,T1,,13,1,037_Cali3,,206677,-0.04,C8H10FN3O3S,M+H,741.13,709.288,N/A,248.05,248.0498,-.5434 (ppm),1,Method,True,False,-4.3,4.64,4.82,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Emtricitabine_3106_p,8.69,Target Compound,038_blankEvian,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,14,1,038_blankEvian,,N/F,N/F,C8H10FN3O3S,N/A,N/A,N/F,N/A,248.05,N/F,N/F,1,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
