Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Entacapone_n,15.88,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C14H15N3O5,N/A,N/A,N/F,N/A,304.0939,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Entacapone_n,15.88,Target Compound,003_Cali025,433551,N/A,0,16.16,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,64889,0.28,C14H15N3O5,M-H,76.28,N/A,N/A,304.0939,304.094,.3096 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Entacapone_n,15.88,Target Compound,004_Cali05,1053452,N/A,0,16.17,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,143085,0.29,C14H15N3O5,M-H,152.55,N/A,N/A,304.0939,304.094,.2092 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Entacapone_n,15.88,Target Compound,005_Cali1,1680072,N/A,0,16.16,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,233333,0.28,C14H15N3O5,M-H,305.1,N/A,N/A,304.0939,304.094,.2092 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Entacapone_n,15.88,Target Compound,006_Cali3,5186710,N/A,0,16.17,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,718802,0.29,C14H15N3O5,M-H,915.3,N/A,N/A,304.0939,304.0941,.5103 (ppm),0,Manual,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Entacapone_n,15.88,Target Compound,007_Cali5,10599990,N/A,0,16.2,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,1387652,0.32,C14H15N3O5,M-H,1525.51,N/A,N/A,304.0939,304.094,.4099 (ppm),0,Manual,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Entacapone_n,15.88,Target Compound,008_Cali8,15273411,N/A,0,16.18,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,2046545,0.30,C14H15N3O5,M-H,2440.81,N/A,N/A,304.0939,304.0939,.1089 (ppm),0,Manual,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Entacapone_n,15.88,Target Compound,009_Cali10,22002829,N/A,0,16.2,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,2896393,0.32,C14H15N3O5,M-H,3051.01,N/A,N/A,304.0939,304.0941,.7110 (ppm),0,Manual,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Entacapone_n,15.88,Target Compound,010_Cali20,50475302,N/A,0,16.18,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,6817287,0.30,C14H15N3O5,M-H,6102.02,N/A,N/A,304.0939,304.094,.4099 (ppm),0,Manual,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,8513.51,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Entacapone_n,15.88,Target Compound,011_Cali50,105180008,N/A,0,16.19,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,14428548,0.31,C14H15N3O5,M-H,15255.06,N/A,N/A,304.0939,304.0942,1.0121 (ppm),0,Manual,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,7515.99,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
