Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Enzalutamide_p,17.41,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C21H16F4N4O2S,N/A,N/A,N/F,N/A,465.1003,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Enzalutamide_p,17.41,Target Compound,003_Cali025,707474,N/A,0,17.39,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,140941,-0.02,C21H16F4N4O2S,M+H,116.02,N/A,N/A,465.1003,465.1004,.2867 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Enzalutamide_p,17.41,Target Compound,004_Cali05,1405831,N/A,0,17.41,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,276724,0.00,C21H16F4N4O2S,M+H,232.05,N/A,N/A,465.1003,465.1001,-.3694 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Enzalutamide_p,17.41,Target Compound,005_Cali1,2673976,N/A,0,17.4,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,496761,-0.01,C21H16F4N4O2S,M+H,464.09,N/A,N/A,465.1003,465.1005,.3523 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Enzalutamide_p,17.41,Target Compound,006_Cali3,7289873,N/A,0,17.41,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,1477433,0.00,C21H16F4N4O2S,M+H,1392.28,N/A,N/A,465.1003,465.1004,.2211 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Enzalutamide_p,17.41,Target Compound,007_Cali5,15134334,N/A,0,17.4,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,2810337,-0.01,C21H16F4N4O2S,M+H,2320.47,N/A,N/A,465.1003,465.1002,-.1726 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Enzalutamide_p,17.41,Target Compound,008_Cali8,22829937,N/A,0,17.42,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,4202575,0.01,C21H16F4N4O2S,M+H,3712.74,N/A,N/A,465.1003,465.1003,.0899 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Enzalutamide_p,17.41,Target Compound,009_Cali10,28662383,N/A,0,17.42,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,5130481,0.01,C21H16F4N4O2S,M+H,4640.93,N/A,N/A,465.1003,465.1003,-.1070 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Enzalutamide_p,17.41,Target Compound,010_Cali20,60319834,N/A,0,17.42,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,11138198,0.01,C21H16F4N4O2S,M+H,9281.86,N/A,N/A,465.1003,465.1004,.2211 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Enzalutamide_p,17.41,Target Compound,011_Cali50,112610391,N/A,0,17.41,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,18739002,0.00,C21H16F4N4O2S,M+H,23204.65,N/A,N/A,465.1003,465.1002,-.1726 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
