Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Etodolac_3308_n,19.44,Target Compound,002_blind,N/F,22897299,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C17H21NO3,N/A,N/A,N/F,N/A,286.1449,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Etodolac_3308_n,19.44,Target Compound,003_Cali025,635053,29683422,0.021,19.46,Processed,0.25,Cal Std,73.638,T1,,2,1,003_Cali025,,114885,0.02,C17H21NO3,M-H,71.79,73.638,N/A,286.1449,286.1451,.6292 (ppm),0,Method,True,False,2.57,6.65,8.2,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Etodolac_3308_n,19.44,Target Compound,004_Cali05,1289193,28360706,0.045,19.44,Processed,0.5,Cal Std,141.546,T1,,3,1,004_Cali05,,229810,0.00,C17H21NO3,M-H,143.58,141.546,N/A,286.1449,286.145,.5226 (ppm),0,Method,True,False,-1.42,4.49,4.94,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Etodolac_3308_n,19.44,Target Compound,005_Cali1,2268059,24393062,0.093,19.45,Processed,1,Cal Std,275.659,T1,,4,1,005_Cali1,,450613,0.01,C17H21NO3,M-H,287.15,275.659,N/A,286.1449,286.1451,.8425 (ppm),0,Method,True,False,-4,2.94,3.08,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Etodolac_3308_n,19.44,Target Compound,006_Cali3,6746390,23311703,0.289,19.46,Processed,3,Cal Std,829.973,T1,,5,1,006_Cali3,,1267449,0.02,C17H21NO3,M-H,861.46,829.973,N/A,286.1449,286.1451,.6292 (ppm),0,Method,True,False,-3.66,0.21,0.21,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Etodolac_3308_n,19.44,Target Compound,007_Cali5,12955461,25900101,0.5,19.46,Processed,5,Cal Std,1424.897,T1,,6,1,007_Cali5,,2305076,0.02,C17H21NO3,M-H,1435.76,1424.897,N/A,286.1449,286.1451,.8425 (ppm),0,Method,True,False,-0.76,1.16,1.17,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Etodolac_3308_n,19.44,Target Compound,008_Cali8,18824142,23823445,0.79,19.47,Processed,8,Cal Std,2243.142,T1,,7,1,008_Cali8,,3244297,0.03,C17H21NO3,M-H,2297.22,2243.142,N/A,286.1449,286.1451,.7359 (ppm),0,Method,True,False,-2.35,0.88,0.89,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Etodolac_3308_n,19.44,Target Compound,009_Cali10,29613890,27491307,1.077,19.45,Processed,10,Cal Std,3053.243,T1,,8,1,009_Cali10,,6016222,0.01,C17H21NO3,M-H,2871.52,3053.243,N/A,286.1449,286.1451,.6292 (ppm),0,Method,True,False,6.33,2.32,2.33,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Etodolac_3308_n,19.44,Target Compound,010_Cali20,66989944,33207833,2.017,19.46,Processed,20,Cal Std,5706.245,T1,,9,1,010_Cali20,,11918937,0.02,C17H21NO3,M-H,5743.04,5706.245,N/A,286.1449,286.1451,.6292 (ppm),0,Method,True,False,-0.64,0.35,0.35,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Etodolac_3308_n,19.44,Target Compound,011_Cali50,143508482,28742982,4.993,19.44,Processed,50,Cal Std,14103.443,T1,,10,1,011_Cali50,,24202922,0.00,C17H21NO3,M-H,14357.61,14103.443,N/A,286.1449,286.1448,-.2240 (ppm),0,Method,True,False,-1.77,0.08,0.08,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Etodolac_3308_n,19.44,Target Compound,012_blankEvian_2,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,11,1,012_blankEvian_2,,N/F,N/F,C17H21NO3,N/A,N/A,N/F,N/A,286.1449,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
