Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Febuxostat_11002_p,19.84,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,,N/A,N/A,N/F,N/A,317.0954,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Febuxostat_11002_p,19.84,Target Compound,003_Cali025,1662179,N/A,0,19.82,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,267113,-0.02,,M+H,79.02,N/A,N/A,317.0954,317.0958,1.3409 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Febuxostat_11002_p,19.84,Target Compound,004_Cali05,3763065,N/A,0,19.84,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,670746,0.00,,M+H,158.04,N/A,N/A,317.0954,317.0954,.0898 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Febuxostat_11002_p,19.84,Target Compound,005_Cali1,7323709,N/A,0,19.84,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,1373362,0.00,,M+H,316.09,N/A,N/A,317.0954,317.0957,1.0522 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Febuxostat_11002_p,19.84,Target Compound,006_Cali3,18640122,N/A,0,19.85,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,3194739,0.01,,M+H,948.26,N/A,N/A,317.0954,317.0955,.3785 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Febuxostat_11002_p,19.84,Target Compound,007_Cali5,36745090,N/A,0,19.83,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,6184388,-0.01,,M+H,1580.44,N/A,N/A,317.0954,317.0956,.4747 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Febuxostat_11002_p,19.84,Target Compound,008_Cali8,50744090,N/A,0,19.84,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,8096792,0.00,,M+H,2528.71,N/A,N/A,317.0954,317.0955,.3785 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Febuxostat_11002_p,19.84,Target Compound,009_Cali10,69063383,N/A,0,19.84,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,10946765,0.00,,M+H,3160.88,N/A,N/A,317.0954,317.0955,.3785 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Febuxostat_11002_p,19.84,Target Compound,010_Cali20,150981062,N/A,0,19.86,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,26129114,0.02,,M+H,6321.76,N/A,N/A,317.0954,317.0956,.5710 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Febuxostat_11002_p,19.84,Target Compound,011_Cali50,290242825,N/A,0,19.84,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,46671628,0.00,,M+H,15804.41,N/A,N/A,317.0954,317.0956,.6672 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Febuxostat_11002_p,19.84,Target Compound,012_blankEvian_2,187580,N/A,0,19.84,Processed,,Solvent,N/A,T1,,11,1,012_blankEvian_2,,40443,0.00,,M+H,N/A,N/A,N/A,317.0954,317.0961,2.3033 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Febuxostat_11002_p,19.84,Target Compound,036_wash,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,12,1,036_wash,,N/F,N/F,,N/A,N/A,N/F,N/A,317.0954,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Febuxostat_11002_p,19.84,Target Compound,037_Cali3,22507495,N/A,0,19.88,Processed,3,Cal Std,N/A,T1,,13,1,037_Cali3,,3691556,0.04,,M+H,948.26,N/A,N/A,317.0954,317.0955,.3785 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Febuxostat_11002_p,19.84,Target Compound,038_blankEvian,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,14,1,038_blankEvian,,N/F,N/F,,N/A,N/A,N/F,N/A,317.0954,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Febuxostat_11002_p,19.84,Target Compound,039_fie1_air_biof_btq_0_r1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,15,1,039_fie1_air_biof_btq_0_r1,,N/F,N/F,,N/A,N/A,N/F,N/A,317.0954,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Febuxostat_11002_p,19.84,Target Compound,040_fie1_air_biof_btq_0_r2,5361857,N/A,0,19.88,Processed,,Unknown,N/A,T1,,16,1,040_fie1_air_biof_btq_0_r2,,978213,0.04,,M+H,N/A,N/A,N/A,317.0954,317.0955,.1860 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Febuxostat_11002_p,19.84,Target Compound,041_fie1_air_biof_btq_0_r3,5063487,N/A,0,19.9,Processed,,Unknown,N/A,T1,,17,1,041_fie1_air_biof_btq_0_r3,,990374,0.06,,M+H,N/A,N/A,N/A,317.0954,317.0956,.7635 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Febuxostat_11002_p,19.84,Target Compound,042_fie1_air_biof_btq_0_r4,24279966,N/A,0,19.91,Processed,,Unknown,N/A,T1,,18,1,042_fie1_air_biof_btq_0_r4,,3968843,0.07,,M+H,N/A,N/A,N/A,317.0954,317.0956,.7635 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Febuxostat_11002_p,19.84,Target Compound,043_fie1_air_biof_btq_0_r5,56934067,N/A,0,19.9,Processed,,Unknown,N/A,T1,,19,1,043_fie1_air_biof_btq_0_r5,,9941847,0.06,,M+H,N/A,N/A,N/A,317.0954,317.0956,.7635 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Febuxostat_11002_p,19.84,Target Compound,044_fie1_air_biof_btq_0_r6,54283319,N/A,0,19.91,Processed,,Unknown,N/A,T1,,20,1,044_fie1_air_biof_btq_0_r6,,8968175,0.07,,M+H,N/A,N/A,N/A,317.0954,317.0957,.8597 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Febuxostat_11002_p,19.84,Target Compound,045_blank,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,21,1,045_blank,,N/F,N/F,,N/A,N/A,N/F,N/A,317.0954,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Febuxostat_11002_p,19.84,Target Compound,046_fie1_air_biof_scq_0_r1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,22,1,046_fie1_air_biof_scq_0_r1,,N/F,N/F,,N/A,N/A,N/F,N/A,317.0954,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Febuxostat_11002_p,19.84,Target Compound,047_fie1_air_biof_scq_0_r2,4754868,N/A,0,19.88,Processed,,Unknown,N/A,T1,,23,1,047_fie1_air_biof_scq_0_r2,,802194,0.04,,M+H,N/A,N/A,N/A,317.0954,317.0957,.8597 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Febuxostat_11002_p,19.84,Target Compound,048_fie1_air_biof_scq_0_r3,4550662,N/A,0,19.91,Processed,,Unknown,N/A,T1,,24,1,048_fie1_air_biof_scq_0_r3,,969096,0.07,,M+H,N/A,N/A,N/A,317.0954,317.0956,.5710 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Febuxostat_11002_p,19.84,Target Compound,049_fie1_air_biof_scq_0_r4,20778988,N/A,0,19.91,Processed,,Unknown,N/A,T1,,25,1,049_fie1_air_biof_scq_0_r4,,3302483,0.07,,M+H,N/A,N/A,N/A,317.0954,317.0957,.9559 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Febuxostat_11002_p,19.84,Target Compound,050_fie1_air_biof_scq_0_r5,52089051,N/A,0,19.91,Processed,,Unknown,N/A,T1,,26,1,050_fie1_air_biof_scq_0_r5,,9544152,0.07,,M+H,N/A,N/A,N/A,317.0954,317.0957,.8597 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Febuxostat_11002_p,19.84,Target Compound,051_fie1_air_biof_scq_0_r6,64349912,N/A,0,19.91,Processed,,Unknown,N/A,T1,,27,1,051_fie1_air_biof_scq_0_r6,,10439815,0.07,,M+H,N/A,N/A,N/A,317.0954,317.0957,.8597 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Febuxostat_11002_p,19.84,Target Compound,052_blankEvian,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,28,1,052_blankEvian,,N/F,N/F,,N/A,N/A,N/F,N/A,317.0954,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
