Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Fenfluramine_3469_p,12.85,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,,N/A,N/A,N/F,N/A,232.1308,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Fenfluramine_3469_p,12.85,Target Compound,003_Cali025,4252462,N/A,0,12.72,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,1057900,-0.13,,M+H,57.78,N/A,N/A,232.1308,232.1308,-.1386 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Fenfluramine_3469_p,12.85,Target Compound,004_Cali05,7470681,N/A,0,12.74,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,1300808,-0.11,,M+H,115.56,N/A,N/A,232.1308,232.1307,-.4673 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Fenfluramine_3469_p,12.85,Target Compound,005_Cali1,13926238,N/A,0,12.71,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,2360458,-0.14,,M+H,231.12,N/A,N/A,232.1308,232.1307,-.4673 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Fenfluramine_3469_p,12.85,Target Compound,006_Cali3,43129012,N/A,0,12.72,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,7056745,-0.13,,M+H,693.37,N/A,N/A,232.1308,232.1308,-.1386 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Fenfluramine_3469_p,12.85,Target Compound,007_Cali5,80620917,N/A,0,12.72,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,13322809,-0.13,,M+H,1155.62,N/A,N/A,232.1308,232.1308,.0586 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Fenfluramine_3469_p,12.85,Target Compound,008_Cali8,125462379,N/A,0,12.74,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,27022698,-0.11,,M+H,1848.99,N/A,N/A,232.1308,232.1308,-.1386 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Fenfluramine_3469_p,12.85,Target Compound,009_Cali10,173389373,N/A,0,12.73,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,40950708,-0.12,,M+H,2311.23,N/A,N/A,232.1308,232.1308,-.1386 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Fenfluramine_3469_p,12.85,Target Compound,010_Cali20,291016739,N/A,0,12.76,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,45091528,-0.09,,M+H,4622.47,N/A,N/A,232.1308,232.1308,-.0072 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Fenfluramine_3469_p,12.85,Target Compound,011_Cali50,654595115,N/A,0,12.72,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,136340279,-0.13,,M+H,11556.17,N/A,N/A,232.1308,232.1309,.5187 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Fenfluramine_3469_p,12.85,Target Compound,012_blankEvian_2,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,11,1,012_blankEvian_2,,N/F,N/F,,N/A,N/A,N/F,N/A,232.1308,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Fenfluramine_3469_p,12.85,Target Compound,036_wash,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,12,1,036_wash,,N/F,N/F,,N/A,N/A,N/F,N/A,232.1308,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Fenfluramine_3469_p,12.85,Target Compound,037_Cali3,39008206,N/A,0,12.58,Processed,3,Cal Std,N/A,T1,,13,1,037_Cali3,,8519379,-0.27,,M+H,693.37,N/A,N/A,232.1308,232.1307,-.5988 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
