Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Gliclazide_p,17.57,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C15H21N3O3S,N/A,N/A,N/F,N/A,324.1376,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Gliclazide_p,17.57,Target Compound,003_Cali025,1707199,N/A,0,17.56,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,283117,-0.01,C15H21N3O3S,M+H,80.78,N/A,N/A,324.1376,324.1378,.7648 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Gliclazide_p,17.57,Target Compound,004_Cali05,3638784,N/A,0,17.58,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,658141,0.01,C15H21N3O3S,M+H,161.57,N/A,N/A,324.1376,324.1377,.1999 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Gliclazide_p,17.57,Target Compound,005_Cali1,6407396,N/A,0,17.55,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,1191839,-0.02,C15H21N3O3S,M+H,323.13,N/A,N/A,324.1376,324.1374,-.5533 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Gliclazide_p,17.57,Target Compound,006_Cali3,19056195,N/A,0,17.57,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,3433759,0.00,C15H21N3O3S,M+H,969.39,N/A,N/A,324.1376,324.1376,.1057 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Gliclazide_p,17.57,Target Compound,007_Cali5,37620464,N/A,0,17.58,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,6949119,0.01,C15H21N3O3S,M+H,1615.65,N/A,N/A,324.1376,324.1375,-.1767 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Gliclazide_p,17.57,Target Compound,008_Cali8,59253017,N/A,0,17.6,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,10421954,0.03,C15H21N3O3S,M+H,2585.04,N/A,N/A,324.1376,324.1376,.1057 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Gliclazide_p,17.57,Target Compound,009_Cali10,71071495,N/A,0,17.57,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,12193361,0.00,C15H21N3O3S,M+H,3231.3,N/A,N/A,324.1376,324.1375,-.1767 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Gliclazide_p,17.57,Target Compound,010_Cali20,156334624,N/A,0,17.59,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,25745612,0.02,C15H21N3O3S,M+H,6462.61,N/A,N/A,324.1376,324.1375,-.2709 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Gliclazide_p,17.57,Target Compound,011_Cali50,350405160,N/A,0,17.57,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,69132016,0.00,C15H21N3O3S,M+H,16156.52,N/A,N/A,324.1376,324.1376,-.0826 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
