Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Icaridin_2991_p,17.8,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C12H23NO3,N/A,N/A,N/F,N/A,230.1751,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Icaridin_2991_p,17.8,Target Compound,003_Cali025,1187368,N/A,0,17.8,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,246777,0.00,C12H23NO3,M+H,57.29,N/A,N/A,230.1751,230.1751,-.1560 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,21.30,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Icaridin_2991_p,17.8,Target Compound,004_Cali05,2588788,N/A,0,17.78,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,472436,-0.02,C12H23NO3,M+H,114.58,N/A,N/A,230.1751,230.1751,-.0234 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,48.47,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Icaridin_2991_p,17.8,Target Compound,005_Cali1,4042788,N/A,0,17.8,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,896473,0.00,C12H23NO3,M+H,229.17,N/A,N/A,230.1751,230.175,-.3549 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,88.65,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Icaridin_2991_p,17.8,Target Compound,006_Cali3,11624942,N/A,0,17.79,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,2192140,-0.01,C12H23NO3,M+H,687.5,N/A,N/A,230.1751,230.1751,-.0234 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,286.72,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Icaridin_2991_p,17.8,Target Compound,007_Cali5,22069351,N/A,0,17.81,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,4082346,0.01,C12H23NO3,M+H,1145.84,N/A,N/A,230.1751,230.1751,.0429 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,449.77,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Icaridin_2991_p,17.8,Target Compound,008_Cali8,32961673,N/A,0,17.82,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,6063249,0.02,C12H23NO3,M+H,1833.34,N/A,N/A,230.1751,230.1751,.0429 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,767.73,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Icaridin_2991_p,17.8,Target Compound,009_Cali10,46223788,N/A,0,17.83,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,9933956,0.03,C12H23NO3,M+H,2291.68,N/A,N/A,230.1751,230.1751,.1754 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,1041.94,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Icaridin_2991_p,17.8,Target Compound,010_Cali20,92114448,N/A,0,17.82,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,16746326,0.02,C12H23NO3,M+H,4583.36,N/A,N/A,230.1751,230.175,-.2886 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,1481.97,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Icaridin_2991_p,17.8,Target Compound,011_Cali50,204723151,N/A,0,17.8,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,32440994,0.00,C12H23NO3,M+H,11458.39,N/A,N/A,230.1751,230.175,-.5538 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,3898.76,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Icaridin_2991_p,17.8,Target Compound,012_blankEvian_2,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,11,1,012_blankEvian_2,,N/F,N/F,C12H23NO3,N/A,N/A,N/F,N/A,230.1751,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Icaridin_2991_p,17.8,Target Compound,036_wash,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,12,1,036_wash,,N/F,N/F,C12H23NO3,N/A,N/A,N/F,N/A,230.1751,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Icaridin_2991_p,17.8,Target Compound,037_Cali3,13987871,N/A,0,17.8,Processed,3,Cal Std,N/A,T1,,13,1,037_Cali3,,2734905,0.00,C12H23NO3,M+H,687.5,N/A,N/A,230.1751,230.1751,-.1560 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,1243.06,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
