Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Ifosfamid_2683_p,14.48,Target Compound,002_blind,N/F,0,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C7H15Cl2N2O2P,N/A,N/A,N/F,N/A,261.0321,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Ifosfamid_2683_p,14.48,Target Compound,003_Cali025,1372357,200911304,0.007,14.45,Processed,0.25,Cal Std,52.221,T1,,2,1,003_Cali025,,235521,-0.03,C7H15Cl2N2O2P,M+H,65.01,52.221,N/A,261.0321,261.0321,.1341 (ppm),0,Method,True,False,-19.67,10.35,10.33,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.987 < R2Threshold 0.99
Ifosfamid_2683_p,14.48,Target Compound,004_Cali05,2818518,163553985,0.017,14.45,Processed,0.5,Cal Std,131.915,T1,,3,1,004_Cali05,,533553,-0.03,C7H15Cl2N2O2P,M+H,130.01,131.915,N/A,261.0321,261.032,-.5673 (ppm),0,Method,True,False,1.47,10.91,10.9,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.987 < R2Threshold 0.99
Ifosfamid_2683_p,14.48,Target Compound,005_Cali1,4745751,157647577,0.03,14.47,Processed,1,Cal Std,230.519,T1,,4,1,005_Cali1,,825931,-0.01,C7H15Cl2N2O2P,M+H,260.02,230.519,N/A,261.0321,261.0321,.0172 (ppm),0,Method,True,False,-11.35,8.53,8.52,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.987 < R2Threshold 0.99
Ifosfamid_2683_p,14.48,Target Compound,006_Cali3,15104649,145651369,0.104,14.45,Processed,3,Cal Std,794.387,T1,,5,1,006_Cali3,,3142230,-0.03,C7H15Cl2N2O2P,M+H,780.07,794.387,N/A,261.0321,261.032,-.2166 (ppm),0,Method,True,False,1.84,4.42,4.42,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.987 < R2Threshold 0.99
Ifosfamid_2683_p,14.48,Target Compound,007_Cali5,28518340,149196479,0.191,14.45,Processed,5,Cal Std,1464.296,T1,,6,1,007_Cali5,,4818936,-0.03,C7H15Cl2N2O2P,M+H,1300.12,1464.296,N/A,261.0321,261.032,-.3335 (ppm),0,Method,True,False,12.63,6,6,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.987 < R2Threshold 0.99
Ifosfamid_2683_p,14.48,Target Compound,008_Cali8,42594354,134219551,0.317,14.48,Processed,8,Cal Std,2431.154,T1,,7,1,008_Cali8,,10652450,0.00,C7H15Cl2N2O2P,M+H,2080.2,2431.154,N/A,261.0321,261.0322,.2510 (ppm),0,Method,True,False,16.87,10.03,10.03,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.987 < R2Threshold 0.99
Ifosfamid_2683_p,14.48,Target Compound,009_Cali10,50482358,121403969,0.416,14.5,Processed,10,Cal Std,3185.573,T1,,8,1,009_Cali10,,8630706,0.02,C7H15Cl2N2O2P,M+H,2600.25,3185.573,N/A,261.0321,261.0322,.2510 (ppm),0,Method,True,False,22.51,6.56,6.56,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.987 < R2Threshold 0.99. Calibration Amount Diff 22.51% (absolute) > max calibration amount diff 20%
Ifosfamid_2683_p,14.48,Target Compound,010_Cali20,97333048,162950726,0.597,14.48,Processed,20,Cal Std,4576.036,T1,,9,1,010_Cali20,,17330730,0.00,C7H15Cl2N2O2P,M+H,5200.5,4576.036,N/A,261.0321,261.0322,.3679 (ppm),0,Method,True,False,-12.01,1.93,1.93,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.987 < R2Threshold 0.99
Ifosfamid_2683_p,14.48,Target Compound,011_Cali50,208237400,125566555,1.658,14.48,Processed,50,Cal Std,12705.062,T1,,10,1,011_Cali50,,32505172,0.00,C7H15Cl2N2O2P,M+H,13001.24,12705.062,N/A,261.0321,261.0324,1.0694 (ppm),0,Method,True,False,-2.28,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.987 < R2Threshold 0.99
