Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Isoproturon_286_p,17.35,Target Compound,002_blind,N/F,303341225,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C12H18N2O1,N/A,N/A,N/F,N/A,207.1492,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Isoproturon_286_p,17.35,Target Compound,003_Cali025,4199586,344635060,0.012,17.37,Processed,0.25,Cal Std,44.178,T1,,2,1,003_Cali025,,798847,0.02,C12H18N2O1,M+H,51.54,44.178,N/A,207.1492,207.1492,.1241 (ppm),0,Method,True,False,-14.28,13.99,10.46,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.35,Target Compound,004_Cali05,8382120,384331283,0.022,17.36,Processed,0.5,Cal Std,92.162,T1,,3,1,004_Cali05,,1642953,0.01,C12H18N2O1,M+H,103.07,92.162,N/A,207.1492,207.1493,.5660 (ppm),0,Method,True,False,-10.58,10.78,9.25,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.35,Target Compound,005_Cali1,13514739,296462892,0.046,17.38,Processed,1,Cal Std,210.711,T1,,4,1,005_Cali1,,2462127,0.03,C12H18N2O1,M+H,206.14,210.711,N/A,207.1492,207.1493,.6397 (ppm),0,Method,True,False,2.22,1.7,1.58,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.35,Target Compound,006_Cali3,40223722,314865898,0.128,17.37,Processed,3,Cal Std,620.362,T1,,5,1,006_Cali3,,7121288,0.02,C12H18N2O1,M+H,618.43,620.362,N/A,207.1492,207.1493,.6397 (ppm),0,Method,True,False,0.31,4.17,4.06,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.35,Target Compound,007_Cali5,74487805,351272768,0.212,17.38,Processed,5,Cal Std,1040.684,T1,,6,1,007_Cali5,,12801055,0.03,C12H18N2O1,M+H,1030.71,1040.684,N/A,207.1492,207.1493,.4924 (ppm),0,Method,True,False,0.97,2.62,2.57,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.35,Target Compound,008_Cali8,108689688,336058629,0.323,17.39,Processed,8,Cal Std,1595.98,T1,,7,1,008_Cali8,,17807968,0.04,C12H18N2O1,M+H,1649.14,1595.98,N/A,207.1492,207.1493,.6397 (ppm),0,Method,True,False,-3.22,2.04,2.02,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.35,Target Compound,009_Cali10,141483914,330159743,0.429,17.37,Processed,10,Cal Std,2120.031,T1,,8,1,009_Cali10,,29519040,0.02,C12H18N2O1,M+H,2061.42,2120.031,N/A,207.1492,207.1493,.6397 (ppm),0,Method,True,False,2.84,5.89,5.85,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.35,Target Compound,010_Cali20,279026734,330028230,0.845,17.37,Processed,20,Cal Std,4198.803,T1,,9,1,010_Cali20,,46919612,0.02,C12H18N2O1,M+H,4122.84,4198.803,N/A,207.1492,207.1493,.5660 (ppm),0,Method,True,False,1.84,1.97,1.96,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Isoproturon_286_p,17.35,Target Compound,011_Cali50,559358584,279373725,2.002,17.37,Processed,50,Cal Std,9966.095,T1,,10,1,011_Cali50,,93220311,0.02,C12H18N2O1,M+H,10307.1,9966.095,N/A,207.1492,207.1492,.1241 (ppm),0,Method,True,False,-3.31,0.48,0.48,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
