Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Ketamin_2826_p,10.71,Target Compound,002_blind,N/F,242171704,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C13H16ClNO,N/A,N/A,N/F,N/A,238.0993,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Ketamin_2826_p,10.71,Target Compound,003_Cali025,2452584,272717017,0.009,10.63,Processed,0.25,Cal Std,91.796,T1,,2,1,003_Cali025,,531720,-0.08,C13H16ClNO,M+H,59.27,91.796,N/A,238.0993,238.0993,-.1304 (ppm),0,Method,True,False,54.88,2.77,5.81,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.967 < R2Threshold 0.99. Calibration Amount Diff 54.876% (absolute) > max calibration amount diff 20%
Ketamin_2826_p,10.71,Target Compound,004_Cali05,5915597,314763585,0.019,10.64,Processed,0.5,Cal Std,138.432,T1,,3,1,004_Cali05,,1168312,-0.07,C13H16ClNO,M+H,118.55,138.432,N/A,238.0993,238.0993,-.0664 (ppm),0,Method,True,False,16.77,1.26,1.95,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.967 < R2Threshold 0.99
Ketamin_2826_p,10.71,Target Compound,005_Cali1,11232630,285388359,0.039,10.61,Processed,1,Cal Std,236.294,T1,,4,1,005_Cali1,,2171409,-0.10,C13H16ClNO,M+H,237.09,236.294,N/A,238.0993,238.0993,-.1304 (ppm),0,Method,True,False,-0.34,4.52,5.65,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.967 < R2Threshold 0.99
Ketamin_2826_p,10.71,Target Compound,006_Cali3,27467499,239694234,0.115,10.62,Processed,3,Cal Std,594.303,T1,,5,1,006_Cali3,,5246292,-0.09,C13H16ClNO,M+H,711.28,594.303,N/A,238.0993,238.0994,.1900 (ppm),0,Method,True,False,-16.45,7.86,8.53,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.967 < R2Threshold 0.99
Ketamin_2826_p,10.71,Target Compound,007_Cali5,70490424,324535157,0.217,10.64,Processed,5,Cal Std,1082.581,T1,,6,1,007_Cali5,,17967410,-0.07,C13H16ClNO,M+H,1185.46,1082.581,N/A,238.0993,238.0992,-.6431 (ppm),0,Method,True,False,-8.68,5.3,5.56,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.967 < R2Threshold 0.99
Ketamin_2826_p,10.71,Target Compound,008_Cali8,75039078,198383908,0.378,10.65,Processed,8,Cal Std,1848.935,T1,,7,1,008_Cali8,,17862030,-0.06,C13H16ClNO,M+H,1896.74,1848.935,N/A,238.0993,238.0993,-.2586 (ppm),0,Method,True,False,-2.52,8.61,8.86,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.967 < R2Threshold 0.99
Ketamin_2826_p,10.71,Target Compound,009_Cali10,100976735,210165657,0.48,10.66,Processed,10,Cal Std,2335.311,T1,,8,1,009_Cali10,,20457686,-0.05,C13H16ClNO,M+H,2370.92,2335.311,N/A,238.0993,238.0991,-.7713 (ppm),0,Method,True,False,-1.5,4.33,4.43,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.967 < R2Threshold 0.99
Ketamin_2826_p,10.71,Target Compound,010_Cali20,206125904,274509245,0.751,10.63,Processed,20,Cal Std,3622.15,T1,,9,1,010_Cali20,,41860352,-0.08,C13H16ClNO,M+H,4741.84,3622.15,N/A,238.0993,238.0995,.8308 (ppm),0,Method,True,False,-23.61,1.31,1.33,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.967 < R2Threshold 0.99. Calibration Amount Diff -23.612% (absolute) > max calibration amount diff 20%
Ketamin_2826_p,10.71,Target Compound,011_Cali50,438795014,146923779,2.987,10.61,Processed,50,Cal Std,14260.673,T1,,10,1,011_Cali50,,78773992,-0.10,C13H16ClNO,M+H,11854.6,14260.673,N/A,238.0993,238.0995,.7668 (ppm),0,Method,True,False,20.3,3.12,3.13,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,125515.30,N/A,N/A,N/A,,Rsquared 0.967 < R2Threshold 0.99. Calibration Amount Diff 20.296% (absolute) > max calibration amount diff 20%
