Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Levamisol_2857_p,8.63,Target Compound,002_blind,N/F,0,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C11H12N2S,N/A,N/A,N/F,N/A,205.0794,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,003_Cali025,2766447,208375730,0.013,8.53,Processed,0.25,Cal Std,64.914,T1,,2,1,003_Cali025,,613821,-0.10,C11H12N2S,M+H,51.02,64.914,N/A,205.0794,205.0798,1.9674 (ppm),0,Method,True,False,27.23,1.75,2.62,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff 27.233% (absolute) > max calibration amount diff 20%
Levamisol_2857_p,8.63,Target Compound,004_Cali05,6044589,230665642,0.026,8.55,Processed,0.5,Cal Std,106.947,T1,,3,1,004_Cali05,,1240750,-0.08,C11H12N2S,M+H,102.04,106.947,N/A,205.0794,205.0796,1.1489 (ppm),0,Method,True,False,4.81,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,005_Cali1,8729971,175395184,0.05,8.52,Processed,1,Cal Std,183.568,T1,,4,1,005_Cali1,,947243,-0.11,C11H12N2S,M+H,204.07,183.568,N/A,205.0794,205.0797,1.4465 (ppm),0,Method,True,False,-10.05,5.36,6.05,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,006_Cali3,30342270,186496356,0.163,8.57,Processed,3,Cal Std,550.689,T1,,5,1,006_Cali3,,4537952,-0.06,C11H12N2S,M+H,612.22,550.689,N/A,205.0794,205.0796,1.0001 (ppm),0,Method,True,False,-10.05,0.82,0.86,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,007_Cali5,58138166,209528646,0.277,8.56,Processed,5,Cal Std,923.83,T1,,6,1,007_Cali5,,10339290,-0.07,C11H12N2S,M+H,1020.36,923.83,N/A,205.0794,205.0795,.3305 (ppm),0,Method,True,False,-9.46,10.14,10.37,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,008_Cali8,97602534,200631899,0.486,8.59,Processed,8,Cal Std,1603.317,T1,,7,1,008_Cali8,,14569544,-0.04,C11H12N2S,M+H,1632.58,1603.317,N/A,205.0794,205.0796,.7769 (ppm),0,Method,True,False,-1.79,7.16,7.27,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,009_Cali10,127903787,198573398,0.644,8.57,Processed,10,Cal Std,2115.808,T1,,8,1,009_Cali10,,15946075,-0.06,C11H12N2S,M+H,2040.72,2115.808,N/A,205.0794,205.0796,.8513 (ppm),0,Method,True,False,3.68,4.61,4.65,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,010_Cali20,288270975,202736206,1.422,8.56,Processed,20,Cal Std,4644.45,T1,,9,1,010_Cali20,,39064038,-0.07,C11H12N2S,M+H,4081.44,4644.45,N/A,205.0794,205.0795,.6281 (ppm),0,Method,True,False,13.79,12.23,12.29,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,011_Cali50,594316088,178499913,3.33,8.54,Processed,50,Cal Std,10846.189,T1,,10,1,011_Cali50,,101214436,-0.09,C11H12N2S,M+H,10203.61,10846.189,N/A,205.0794,205.0796,1.1489 (ppm),0,Method,True,False,6.3,7.83,7.85,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,012_blankEvian_2,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,11,1,012_blankEvian_2,,N/F,N/F,C11H12N2S,N/A,N/A,N/F,N/A,205.0794,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,036_wash,N/F,N/F,N/F,N/F,Processed,,Unknown,N/F,T1,,12,1,036_wash,,N/F,N/F,C11H12N2S,N/A,N/A,N/F,N/A,205.0794,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,037_Cali3,32549473,202606461,0.161,8.52,Processed,3,Cal Std,544.048,T1,,13,1,037_Cali3,,4490263,-0.11,C11H12N2S,M+H,612.22,544.048,N/A,205.0794,205.0796,.7769 (ppm),0,Method,True,False,-11.14,0.82,0.86,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,038_blankEvian,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,14,1,038_blankEvian,,N/F,N/F,C11H12N2S,N/A,N/A,N/F,N/A,205.0794,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,039_fie1_air_biof_btq_0_r1,N/F,104672416,N/F,N/F,Processed,,Unknown,N/F,T1,,15,1,039_fie1_air_biof_btq_0_r1,,N/F,N/F,C11H12N2S,N/A,N/A,N/F,N/A,205.0794,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,040_fie1_air_biof_btq_0_r2,15252394,100071331,0.152,8.51,Processed,,Unknown,517.265,T1,,16,1,040_fie1_air_biof_btq_0_r2,,1929296,-0.12,C11H12N2S,M+H,N/A,517.265,N/A,205.0794,205.0796,.7769 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,041_fie1_air_biof_btq_0_r3,12988678,99961994,0.13,8.52,Processed,,Unknown,444.184,T1,,17,1,041_fie1_air_biof_btq_0_r3,,2250940,-0.11,C11H12N2S,M+H,N/A,444.184,N/A,205.0794,205.0796,1.0745 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,042_fie1_air_biof_btq_0_r4,56825456,103939289,0.547,8.54,Processed,,Unknown,1799.168,T1,,18,1,042_fie1_air_biof_btq_0_r4,,7719378,-0.09,C11H12N2S,M+H,N/A,1799.168,N/A,205.0794,205.0795,.5537 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Levamisol_2857_p,8.63,Target Compound,043_fie1_air_biof_btq_0_r5,130677900,110541849,1.182,8.5,Processed,,Unknown,3865.026,T1,,19,1,043_fie1_air_biof_btq_0_r5,,16385019,-0.13,C11H12N2S,M+H,N/A,3865.026,N/A,205.0794,205.0796,1.1489 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
