Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Losartan_2794_p,17.06,Target Compound,002_blind,N/F,42623735,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C22H23ClN6O,N/A,N/A,N/F,N/A,423.1695,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Losartan_2794_p,17.06,Target Compound,003_Cali025,1458061,46475800,0.031,17.05,Processed,0.25,Cal Std,105.499,T1,,2,1,003_Cali025,,221352,-0.01,C22H23ClN6O,M+H,105.54,105.499,N/A,423.1695,423.1697,.5145 (ppm),0,Method,True,False,-0.04,4.09,4.99,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,17.06,Target Compound,004_Cali05,3147981,43640360,0.072,17.04,Processed,0.5,Cal Std,217.17,T1,,3,1,004_Cali05,,619407,-0.02,C22H23ClN6O,M+H,211.08,217.17,N/A,423.1695,423.1697,.5866 (ppm),0,Method,True,False,2.88,3.57,3.93,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,17.06,Target Compound,005_Cali1,5229953,38178070,0.137,17.05,Processed,1,Cal Std,394.84,T1,,4,1,005_Cali1,,1032242,-0.01,C22H23ClN6O,M+H,422.16,394.84,N/A,423.1695,423.1696,.2982 (ppm),0,Method,True,False,-6.47,0.74,0.78,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,17.06,Target Compound,006_Cali3,17534072,38550026,0.455,17.03,Processed,3,Cal Std,1265.61,T1,,5,1,006_Cali3,,3439053,-0.03,C22H23ClN6O,M+H,1266.49,1265.61,N/A,423.1695,423.1698,.8030 (ppm),0,Method,True,False,-0.07,3.13,3.18,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,17.06,Target Compound,007_Cali5,33822628,44458561,0.761,17.04,Processed,5,Cal Std,2103.717,T1,,6,1,007_Cali5,,5530214,-0.02,C22H23ClN6O,M+H,2110.81,2103.717,N/A,423.1695,423.1695,.1539 (ppm),0,Method,True,False,-0.34,1.68,1.7,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,17.06,Target Compound,008_Cali8,42362155,33847392,1.252,17.06,Processed,8,Cal Std,3448.279,T1,,7,1,008_Cali8,,8253634,0.00,C22H23ClN6O,M+H,3377.3,3448.279,N/A,423.1695,423.1697,.5866 (ppm),0,Method,True,False,2.1,2.09,2.1,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,17.06,Target Compound,009_Cali10,60570471,35871212,1.689,17.06,Processed,10,Cal Std,4645.438,T1,,8,1,009_Cali10,,11138547,0.00,C22H23ClN6O,M+H,4221.62,4645.438,N/A,423.1695,423.1697,.5145 (ppm),0,Method,True,False,10.04,1.31,1.32,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,17.06,Target Compound,010_Cali20,131810697,42649836,3.091,17.06,Processed,20,Cal Std,8486.234,T1,,9,1,010_Cali20,,22586630,0.00,C22H23ClN6O,M+H,8443.24,8486.234,N/A,423.1695,423.1696,.4424 (ppm),0,Method,True,False,0.51,1.23,1.23,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Losartan_2794_p,17.06,Target Compound,011_Cali50,268900761,35278956,7.622,17.06,Processed,50,Cal Std,20900.79,T1,,10,1,011_Cali50,,44911852,0.00,C22H23ClN6O,M+H,21108.11,20900.79,N/A,423.1695,423.1697,.5866 (ppm),0,Method,True,False,-0.98,0.94,0.94,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
