Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Metoclopramid_2781_p,10.32,Target Compound,002_blind,N/F,0,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C14H22ClN3O2,N/A,N/A,N/F,N/A,300.1473,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Metoclopramid_2781_p,10.32,Target Compound,003_Cali025,3585189,171404253,0.021,10.27,Processed,0.25,Cal Std,75.394,T1,,2,1,003_Cali025,,653600,-0.05,C14H22ClN3O2,M+H,74.79,75.394,N/A,300.1473,300.1472,-.2755 (ppm),0,Method,True,False,0.81,0.9,1.01,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoclopramid_2781_p,10.32,Target Compound,004_Cali05,6413767,145758112,0.044,10.27,Processed,0.5,Cal Std,149.672,T1,,3,1,004_Cali05,,1335260,-0.05,C14H22ClN3O2,M+H,149.57,149.672,N/A,300.1473,300.1472,-.2755 (ppm),0,Method,True,False,0.07,9.36,9.93,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoclopramid_2781_p,10.32,Target Compound,005_Cali1,13789302,157467219,0.088,10.27,Processed,1,Cal Std,289.844,T1,,4,1,005_Cali1,,2503148,-0.05,C14H22ClN3O2,M+H,299.14,289.844,N/A,300.1473,300.1472,-.4788 (ppm),0,Method,True,False,-3.11,0.33,0.34,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoclopramid_2781_p,10.32,Target Compound,006_Cali3,36064915,131000756,0.275,10.26,Processed,3,Cal Std,893.861,T1,,5,1,006_Cali3,,6914416,-0.06,C14H22ClN3O2,M+H,897.42,893.861,N/A,300.1473,300.1471,-.6822 (ppm),0,Method,True,False,-0.4,4.75,4.8,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoclopramid_2781_p,10.32,Target Compound,007_Cali5,78203781,162586080,0.481,10.26,Processed,5,Cal Std,1555.671,T1,,6,1,007_Cali5,,17325158,-0.06,C14H22ClN3O2,M+H,1495.7,1555.671,N/A,300.1473,300.1472,-.3772 (ppm),0,Method,True,False,4.01,3.88,3.9,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoclopramid_2781_p,10.32,Target Compound,008_Cali8,92139885,129156470,0.713,10.29,Processed,8,Cal Std,2303.392,T1,,7,1,008_Cali8,,19726716,-0.03,C14H22ClN3O2,M+H,2393.12,2303.392,N/A,300.1473,300.1473,.0295 (ppm),0,Method,True,False,-3.75,3.94,3.95,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoclopramid_2781_p,10.32,Target Compound,009_Cali10,135727831,122237274,1.11,10.28,Processed,10,Cal Std,3580.597,T1,,8,1,009_Cali10,,26334200,-0.04,C14H22ClN3O2,M+H,2991.4,3580.597,N/A,300.1473,300.1473,.0295 (ppm),0,Method,True,False,19.7,6.39,6.4,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoclopramid_2781_p,10.32,Target Compound,010_Cali20,322156588,155881946,2.067,10.25,Processed,20,Cal Std,6657.432,T1,,9,1,010_Cali20,,56935402,-0.07,C14H22ClN3O2,M+H,5982.8,6657.432,N/A,300.1473,300.1476,.7413 (ppm),0,Method,True,False,11.28,16.26,16.29,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoclopramid_2781_p,10.32,Target Compound,011_Cali50,567409229,129728017,4.374,10.27,Processed,50,Cal Std,14080.546,T1,,10,1,011_Cali50,,92290327,-0.05,C14H22ClN3O2,M+H,14957,14080.546,N/A,300.1473,300.1475,.6396 (ppm),0,Method,True,False,-5.86,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
