Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Metoxuron_3204_p,14.85,Target Compound,002_blind,N/F,90342629,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C10H13ClN2O2,N/A,N/A,N/F,N/A,229.0738,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Metoxuron_3204_p,14.85,Target Compound,003_Cali025,2433047,106404922,0.023,14.91,Processed,0.25,Cal Std,58.145,T1,,2,1,003_Cali025,,429903,0.06,C10H13ClN2O2,M+H,57.02,58.145,N/A,229.0738,229.074,.5647 (ppm),0,Method,True,False,1.97,9.85,10.02,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoxuron_3204_p,14.85,Target Compound,004_Cali05,4045260,96494721,0.042,14.87,Processed,0.5,Cal Std,105.847,T1,,3,1,004_Cali05,,817900,0.02,C10H13ClN2O2,M+H,114.03,105.847,N/A,229.0738,229.0738,.0318 (ppm),0,Method,True,False,-7.18,3.59,3.62,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoxuron_3204_p,14.85,Target Compound,005_Cali1,7360493,84123281,0.087,14.92,Processed,1,Cal Std,219.931,T1,,4,1,005_Cali1,,1243696,0.07,C10H13ClN2O2,M+H,228.07,219.931,N/A,229.0738,229.0739,.2316 (ppm),0,Method,True,False,-3.57,10.24,10.28,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoxuron_3204_p,14.85,Target Compound,006_Cali3,22184372,82616179,0.269,14.89,Processed,3,Cal Std,673.086,T1,,5,1,006_Cali3,,4421726,0.04,C10H13ClN2O2,M+H,684.2,673.086,N/A,229.0738,229.0739,.0984 (ppm),0,Method,True,False,-1.62,5.91,5.92,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoxuron_3204_p,14.85,Target Compound,007_Cali5,46277038,97211681,0.476,14.89,Processed,5,Cal Std,1192.561,T1,,6,1,007_Cali5,,8203501,0.04,C10H13ClN2O2,M+H,1140.33,1192.561,N/A,229.0738,229.0739,.2316 (ppm),0,Method,True,False,4.58,7.56,7.56,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoxuron_3204_p,14.85,Target Compound,008_Cali8,56491056,69611791,0.812,14.92,Processed,8,Cal Std,2032.33,T1,,7,1,008_Cali8,,10695799,0.07,C10H13ClN2O2,M+H,1824.53,2032.33,N/A,229.0738,229.0739,.4981 (ppm),0,Method,True,False,11.39,8.89,8.9,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoxuron_3204_p,14.85,Target Compound,009_Cali10,79573003,80056837,0.994,14.92,Processed,10,Cal Std,2489.024,T1,,8,1,009_Cali10,,14625686,0.07,C10H13ClN2O2,M+H,2280.67,2489.024,N/A,229.0738,229.074,.6313 (ppm),0,Method,True,False,9.14,2.61,2.61,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoxuron_3204_p,14.85,Target Compound,010_Cali20,155227232,91525148,1.696,14.94,Processed,20,Cal Std,4246.428,T1,,9,1,010_Cali20,,25509874,0.09,C10H13ClN2O2,M+H,4561.33,4246.428,N/A,229.0738,229.0739,.4981 (ppm),0,Method,True,False,-6.9,9.32,9.32,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Metoxuron_3204_p,14.85,Target Compound,011_Cali50,331116415,69816543,4.743,14.89,Processed,50,Cal Std,11872.965,T1,,10,1,011_Cali50,,81304896,0.04,C10H13ClN2O2,M+H,11403.33,11872.965,N/A,229.0738,229.074,.6979 (ppm),0,Method,True,False,4.12,10.29,10.29,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
