Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Mexiletine_3010_p,12.32,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C11H17NO,N/A,N/A,N/F,N/A,180.1383,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,003_Cali025,975728,N/A,0,12.17,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,207333,-0.15,C11H17NO,M+H,44.78,N/A,N/A,180.1383,180.1383,.0870 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mexiletine_3010_p,12.32,Target Compound,004_Cali05,2128081,N/A,0,12.2,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,411549,-0.12,C11H17NO,M+H,89.57,N/A,N/A,180.1383,180.1382,-.4213 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mexiletine_3010_p,12.32,Target Compound,005_Cali1,3620975,N/A,0,12.18,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,751378,-0.14,C11H17NO,M+H,179.13,N/A,N/A,180.1383,180.1381,-1.0142 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mexiletine_3010_p,12.32,Target Compound,006_Cali3,11990242,N/A,0,12.19,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,2202414,-0.13,C11H17NO,M+H,537.39,N/A,N/A,180.1383,180.1382,-.2519 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mexiletine_3010_p,12.32,Target Compound,007_Cali5,21190580,N/A,0,12.19,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,4103226,-0.13,C11H17NO,M+H,895.66,N/A,N/A,180.1383,180.1382,-.3366 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mexiletine_3010_p,12.32,Target Compound,008_Cali8,33512885,N/A,0,12.19,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,5787814,-0.13,C11H17NO,M+H,1433.05,N/A,N/A,180.1383,180.1382,-.7601 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mexiletine_3010_p,12.32,Target Compound,009_Cali10,40458134,N/A,0,12.2,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,8746694,-0.12,C11H17NO,M+H,1791.31,N/A,N/A,180.1383,180.1382,-.2519 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mexiletine_3010_p,12.32,Target Compound,010_Cali20,95544403,N/A,0,12.19,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,19601144,-0.13,C11H17NO,M+H,3582.62,N/A,N/A,180.1383,180.1383,.0022 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mexiletine_3010_p,12.32,Target Compound,011_Cali50,180901434,N/A,0,12.2,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,31812744,-0.12,C11H17NO,M+H,8956.55,N/A,N/A,180.1383,180.1383,.0870 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mexiletine_3010_p,12.32,Target Compound,012_blankEvian_2,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,11,1,012_blankEvian_2,,N/F,N/F,C11H17NO,N/A,N/A,N/F,N/A,180.1383,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,036_wash,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,12,1,036_wash,,N/F,N/F,C11H17NO,N/A,N/A,N/F,N/A,180.1383,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,037_Cali3,10822661,N/A,0,12.07,Processed,3,Cal Std,N/A,T1,,13,1,037_Cali3,,2151951,-0.25,C11H17NO,M+H,537.39,N/A,N/A,180.1383,180.1382,-.3366 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mexiletine_3010_p,12.32,Target Compound,038_blankEvian,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,14,1,038_blankEvian,,N/F,N/F,C11H17NO,N/A,N/A,N/F,N/A,180.1383,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,039_fie1_air_biof_btq_0_r1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,15,1,039_fie1_air_biof_btq_0_r1,,N/F,N/F,C11H17NO,N/A,N/A,N/F,N/A,180.1383,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,040_fie1_air_biof_btq_0_r2,4561336,N/A,0,12.08,Processed,,Unknown,N/A,T1,,16,1,040_fie1_air_biof_btq_0_r2,,822793,-0.24,C11H17NO,M+H,N/A,N/A,N/A,180.1383,180.1383,.2564 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,5029.70,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,041_fie1_air_biof_btq_0_r3,4589840,N/A,0,12.07,Processed,,Unknown,N/A,T1,,17,1,041_fie1_air_biof_btq_0_r3,,804341,-0.25,C11H17NO,M+H,N/A,N/A,N/A,180.1383,180.1383,-.0825 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,1030.12,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,042_fie1_air_biof_btq_0_r4,20448538,N/A,0,12.09,Processed,,Unknown,N/A,T1,,18,1,042_fie1_air_biof_btq_0_r4,,3058117,-0.23,C11H17NO,M+H,N/A,N/A,N/A,180.1383,180.1383,-.0825 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,4888.99,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,043_fie1_air_biof_btq_0_r5,41289155,N/A,0,12.1,Processed,,Unknown,N/A,T1,,19,1,043_fie1_air_biof_btq_0_r5,,7480491,-0.22,C11H17NO,M+H,N/A,N/A,N/A,180.1383,180.1384,.6799 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,3045.32,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,044_fie1_air_biof_btq_0_r6,48511819,N/A,0,12.08,Processed,,Unknown,N/A,T1,,20,1,044_fie1_air_biof_btq_0_r6,,9651577,-0.24,C11H17NO,M+H,N/A,N/A,N/A,180.1383,180.1383,.0022 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,4475.09,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,045_blank,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,21,1,045_blank,,N/F,N/F,C11H17NO,N/A,N/A,N/F,N/A,180.1383,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,046_fie1_air_biof_scq_0_r1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,22,1,046_fie1_air_biof_scq_0_r1,,N/F,N/F,C11H17NO,N/A,N/A,N/F,N/A,180.1383,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,047_fie1_air_biof_scq_0_r2,1780454,N/A,0,12.11,Processed,,Unknown,N/A,T1,,23,1,047_fie1_air_biof_scq_0_r2,,369861,-0.21,C11H17NO,M+H,N/A,N/A,N/A,180.1383,180.1384,.6799 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,18.68,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,048_fie1_air_biof_scq_0_r3,1918509,N/A,0,12.09,Processed,,Unknown,N/A,T1,,24,1,048_fie1_air_biof_scq_0_r3,,386575,-0.23,C11H17NO,M+H,N/A,N/A,N/A,180.1383,180.1385,.9340 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,18.25,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,049_fie1_air_biof_scq_0_r4,7914334,N/A,0,12.1,Processed,,Unknown,N/A,T1,,25,1,049_fie1_air_biof_scq_0_r4,,1471243,-0.22,C11H17NO,M+H,N/A,N/A,N/A,180.1383,180.1384,.5105 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,64.24,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,050_fie1_air_biof_scq_0_r5,19503756,N/A,0,12.09,Processed,,Unknown,N/A,T1,,26,1,050_fie1_air_biof_scq_0_r5,,3652356,-0.23,C11H17NO,M+H,N/A,N/A,N/A,180.1383,180.1384,.5952 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,162.07,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,051_fie1_air_biof_scq_0_r6,18836212,N/A,0,12.08,Processed,,Unknown,N/A,T1,,27,1,051_fie1_air_biof_scq_0_r6,,3564355,-0.24,C11H17NO,M+H,N/A,N/A,N/A,180.1383,180.1384,.5952 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,163.96,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,052_blankEvian,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,28,1,052_blankEvian,,N/F,N/F,C11H17NO,N/A,N/A,N/F,N/A,180.1383,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,053_Cali5,18362037,N/A,0,12.09,Processed,5,Cal Std,N/A,T1,,29,1,053_Cali5,,3561975,-0.23,C11H17NO,M+H,895.66,N/A,N/A,180.1383,180.1384,.5952 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,461.83,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mexiletine_3010_p,12.32,Target Compound,054_blankEvian,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,30,1,054_blankEvian,,N/F,N/F,C11H17NO,N/A,N/A,N/F,N/A,180.1383,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,055_fie1_air_asb_btq_0_r1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,31,1,055_fie1_air_asb_btq_0_r1,,N/F,N/F,C11H17NO,N/A,N/A,N/F,N/A,180.1383,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,056_fie1_air_asb_btq_0_r2,4400808,N/A,0,12.09,Processed,,Unknown,N/A,T1,,32,1,056_fie1_air_asb_btq_0_r2,,888213,-0.23,C11H17NO,M+H,N/A,N/A,N/A,180.1383,180.1384,.5105 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,24.32,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,057_fie1_air_asb_btq_0_r3,3834118,N/A,0,12.09,Processed,,Unknown,N/A,T1,,33,1,057_fie1_air_asb_btq_0_r3,,766289,-0.23,C11H17NO,M+H,N/A,N/A,N/A,180.1383,180.1384,.5105 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,13.89,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,058_fie1_air_asb_btq_0_r4,20481375,N/A,0,12.11,Processed,,Unknown,N/A,T1,,34,1,058_fie1_air_asb_btq_0_r4,,3478964,-0.21,C11H17NO,M+H,N/A,N/A,N/A,180.1383,180.1384,.4258 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,105.78,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,059_fie1_air_asb_btq_0_r5,53223983,N/A,0,12.1,Processed,,Unknown,N/A,T1,,35,1,059_fie1_air_asb_btq_0_r5,,9423468,-0.22,C11H17NO,M+H,N/A,N/A,N/A,180.1383,180.1384,.3411 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,214.75,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,061_blankEvian,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,36,1,061_blankEvian,,N/F,N/F,C11H17NO,N/A,N/A,N/F,N/A,180.1383,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,062_fie1_air_asb_scq_0_r1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,37,1,062_fie1_air_asb_scq_0_r1,,N/F,N/F,C11H17NO,N/A,N/A,N/F,N/A,180.1383,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,063_fie1_air_asb_scq_0_r2,5856533,N/A,0,12.09,Processed,,Unknown,N/A,T1,,38,1,063_fie1_air_asb_scq_0_r2,,1364644,-0.23,C11H17NO,M+H,N/A,N/A,N/A,180.1383,180.1383,.1717 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,39.67,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,064_fie1_air_asb_scq_0_r3,5159342,N/A,0,12.09,Processed,,Unknown,N/A,T1,,39,1,064_fie1_air_asb_scq_0_r3,,941228,-0.23,C11H17NO,M+H,N/A,N/A,N/A,180.1383,180.1384,.4258 (ppm),0,Manual,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,33.66,N/A,N/A,N/A,,
Mexiletine_3010_p,12.32,Target Compound,065_fie1_air_asb_scq_0_r4,24557944,N/A,0,12.09,Processed,,Unknown,N/A,T1,,40,1,065_fie1_air_asb_scq_0_r4,,4342695,-0.23,C11H17NO,M+H,N/A,N/A,N/A,180.1383,180.1383,.0022 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,198.02,N/A,N/A,N/A,,
