Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Mirabegron_p,8.76,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C21H24N4O2S,N/A,N/A,N/F,N/A,397.1693,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Mirabegron_p,8.76,Target Compound,003_Cali025,222509,N/A,0,8.77,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,34603,0.01,C21H24N4O2S,M+H,99.04,N/A,N/A,397.1693,397.1696,.7206 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mirabegron_p,8.76,Target Compound,004_Cali05,469677,N/A,0,8.77,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,80652,0.01,C21H24N4O2S,M+H,198.08,N/A,N/A,397.1693,397.1692,-.3552 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mirabegron_p,8.76,Target Compound,005_Cali1,823066,N/A,0,8.81,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,129841,0.05,C21H24N4O2S,M+H,396.16,N/A,N/A,397.1693,397.1693,.1059 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mirabegron_p,8.76,Target Compound,006_Cali3,2388245,N/A,0,8.79,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,414449,0.03,C21H24N4O2S,M+H,1188.49,N/A,N/A,397.1693,397.1693,.0290 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mirabegron_p,8.76,Target Compound,007_Cali5,5415431,N/A,0,8.81,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,1148974,0.05,C21H24N4O2S,M+H,1980.81,N/A,N/A,397.1693,397.1692,-.2783 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mirabegron_p,8.76,Target Compound,008_Cali8,8866232,N/A,0,8.81,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,1945534,0.05,C21H24N4O2S,M+H,3169.3,N/A,N/A,397.1693,397.1693,-.0478 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mirabegron_p,8.76,Target Compound,009_Cali10,10070581,N/A,0,8.79,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,1921279,0.03,C21H24N4O2S,M+H,3961.62,N/A,N/A,397.1693,397.1693,.0290 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mirabegron_p,8.76,Target Compound,010_Cali20,22623263,N/A,0,8.79,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,5112269,0.03,C21H24N4O2S,M+H,7923.24,N/A,N/A,397.1693,397.1694,.1827 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mirabegron_p,8.76,Target Compound,011_Cali50,52988601,N/A,0,8.76,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,11291322,0.00,C21H24N4O2S,M+H,19808.1,N/A,N/A,397.1693,397.1693,.0290 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
