Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Moclobemid_2675_p,10.67,Target Compound,002_blind,N/F,N/F,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C13H17ClN2O2,N/A,N/A,N/F,N/A,269.1051,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Moclobemid_2675_p,10.67,Target Compound,003_Cali025,2244296,N/F,0,10.56,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,333261,-0.11,C13H17ClN2O2,M+H,67.02,N/A,N/A,269.1051,269.105,-.3289 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Moclobemid_2675_p,10.67,Target Compound,004_Cali05,5242570,N/F,0,10.57,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,759690,-0.10,C13H17ClN2O2,M+H,134.05,N/A,N/A,269.1051,269.1049,-.6691 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Moclobemid_2675_p,10.67,Target Compound,005_Cali1,9742364,N/F,0,10.54,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,1405154,-0.13,C13H17ClN2O2,M+H,268.1,N/A,N/A,269.1051,269.105,-.5557 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Moclobemid_2675_p,10.67,Target Compound,006_Cali3,28500858,N/F,0,10.56,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,5930725,-0.11,C13H17ClN2O2,M+H,804.29,N/A,N/A,269.1051,269.1049,-.6691 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Moclobemid_2675_p,10.67,Target Compound,007_Cali5,56623220,N/F,0,10.58,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,8018864,-0.09,C13H17ClN2O2,M+H,1340.49,N/A,N/A,269.1051,269.1048,-1.1227 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Moclobemid_2675_p,10.67,Target Compound,008_Cali8,59928781,N/F,0,10.57,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,8664423,-0.10,C13H17ClN2O2,M+H,2144.78,N/A,N/A,269.1051,269.1051,-.2154 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Moclobemid_2675_p,10.67,Target Compound,009_Cali10,89827902,N/F,0,10.57,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,17277826,-0.10,C13H17ClN2O2,M+H,2680.98,N/A,N/A,269.1051,269.105,-.3289 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Moclobemid_2675_p,10.67,Target Compound,010_Cali20,188095546,N/F,0,10.56,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,33808780,-0.11,C13H17ClN2O2,M+H,5361.96,N/A,N/A,269.1051,269.1051,.0114 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Moclobemid_2675_p,10.67,Target Compound,011_Cali50,313380353,N/F,0,10.52,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,39331448,-0.15,C13H17ClN2O2,M+H,13404.89,N/A,N/A,269.1051,269.1053,.8052 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
