Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Monuron_161_p,15.86,Target Compound,002_blind,N/F,0,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C9H11ClN2O,N/A,N/A,N/F,N/A,199.0633,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Monuron_161_p,15.86,Target Compound,003_Cali025,1900264,208375730,0.009,15.86,Processed,0.25,Cal Std,55.887,T1,,2,1,003_Cali025,,392097,0.00,C9H11ClN2O,M+H,49.51,55.887,N/A,199.0633,199.0634,.4244 (ppm),0,Method,True,False,12.88,27.05,27.41,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.988 < R2Threshold 0.99. Percent coefficient of variance 27.413 > Calibration %CV Test 20
Monuron_161_p,15.86,Target Compound,004_Cali05,4127939,230665642,0.018,15.85,Processed,0.5,Cal Std,109.079,T1,,3,1,004_Cali05,,768572,-0.01,C9H11ClN2O,M+H,99.03,109.079,N/A,199.0633,199.0633,.2711 (ppm),0,Method,True,False,10.15,24.44,24.6,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.988 < R2Threshold 0.99. Percent coefficient of variance 24.603 > Calibration %CV Test 20
Monuron_161_p,15.86,Target Compound,005_Cali1,6697313,175395184,0.038,15.86,Processed,1,Cal Std,232.043,T1,,4,1,005_Cali1,,1183447,0.00,C9H11ClN2O,M+H,198.06,232.043,N/A,199.0633,199.0632,-.1121 (ppm),0,Method,True,False,17.16,12.61,12.64,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.988 < R2Threshold 0.99
Monuron_161_p,15.86,Target Compound,006_Cali3,19701555,186496356,0.106,15.84,Processed,3,Cal Std,640.885,T1,,5,1,006_Cali3,,2986464,-0.02,C9H11ClN2O,M+H,594.17,640.885,N/A,199.0633,199.0633,.1945 (ppm),0,Method,True,False,7.86,12.45,12.46,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.988 < R2Threshold 0.99
Monuron_161_p,15.86,Target Compound,007_Cali5,38485876,209528646,0.184,15.85,Processed,5,Cal Std,1113.859,T1,,6,1,007_Cali5,,5785460,-0.01,C9H11ClN2O,M+H,990.28,1113.859,N/A,199.0633,199.0633,.3478 (ppm),0,Method,True,False,12.48,10.33,10.34,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.988 < R2Threshold 0.99
Monuron_161_p,15.86,Target Compound,008_Cali8,53392199,200631899,0.266,15.88,Processed,8,Cal Std,1613.525,T1,,7,1,008_Cali8,,9796969,0.02,C9H11ClN2O,M+H,1584.45,1613.525,N/A,199.0633,199.0633,.3478 (ppm),0,Method,True,False,1.84,11.23,11.24,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.988 < R2Threshold 0.99
Monuron_161_p,15.86,Target Compound,009_Cali10,70820415,198573398,0.357,15.87,Processed,10,Cal Std,2162.187,T1,,8,1,009_Cali10,,12923694,0.01,C9H11ClN2O,M+H,1980.56,2162.187,N/A,199.0633,199.0632,-.3421 (ppm),0,Method,True,False,9.17,5.99,5.99,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.988 < R2Threshold 0.99
Monuron_161_p,15.86,Target Compound,010_Cali20,150765105,202736206,0.744,15.87,Processed,20,Cal Std,4507.763,T1,,9,1,010_Cali20,,28119924,0.01,C9H11ClN2O,M+H,3961.12,4507.763,N/A,199.0633,199.0634,.5778 (ppm),0,Method,True,False,13.8,23.38,23.39,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.988 < R2Threshold 0.99. Percent coefficient of variance 23.385 > Calibration %CV Test 20
Monuron_161_p,15.86,Target Compound,011_Cali50,286992239,178499913,1.608,15.86,Processed,50,Cal Std,9745.223,T1,,10,1,011_Cali50,,50686328,0.00,C9H11ClN2O,M+H,9902.8,9745.223,N/A,199.0633,199.0634,.8844 (ppm),0,Method,True,False,-1.59,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Rsquared 0.988 < R2Threshold 0.99
