Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Morphin_2744_p,6.37,Target Compound,002_blind,N/F,54547370,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C17H19NO3,N/A,N/A,N/F,N/A,286.1438,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,003_Cali025,1323625,63419081,0.021,6.32,Processed,0.25,Cal Std,68.86,T1,,2,1,003_Cali025,,182732,-0.05,C17H19NO3,M+H,71.28,68.86,N/A,286.1438,286.1439,.3140 (ppm),0,Method,True,False,-3.4,7.43,9.09,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,004_Cali05,2708012,56392662,0.048,6.32,Processed,0.5,Cal Std,141.088,T1,,3,1,004_Cali05,,538676,-0.05,C17H19NO3,M+H,142.57,141.088,N/A,286.1438,286.1438,.2074 (ppm),0,Method,True,False,-1.04,1.33,1.47,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,005_Cali1,5836593,59357602,0.098,6.35,Processed,1,Cal Std,274.929,T1,,4,1,005_Cali1,,1038873,-0.02,C17H19NO3,M+H,285.14,274.929,N/A,286.1438,286.1438,.1007 (ppm),0,Method,True,False,-3.58,1.09,1.15,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,006_Cali3,16594094,52812300,0.314,6.34,Processed,3,Cal Std,849.254,T1,,5,1,006_Cali3,,3297844,-0.03,C17H19NO3,M+H,855.41,849.254,N/A,286.1438,286.1438,-.0059 (ppm),0,Method,True,False,-0.72,2.57,2.62,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,007_Cali5,30295938,56716390,0.534,6.36,Processed,5,Cal Std,1434.426,T1,,6,1,007_Cali5,,5076449,-0.01,C17H19NO3,M+H,1425.68,1434.426,N/A,286.1438,286.1436,-.5392 (ppm),0,Method,True,False,0.61,1.9,1.92,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,008_Cali8,41104498,48688783,0.844,6.38,Processed,8,Cal Std,2259.318,T1,,7,1,008_Cali8,,5697770,0.01,C17H19NO3,M+H,2281.09,2259.318,N/A,286.1438,286.1438,-.0059 (ppm),0,Method,True,False,-0.95,3.06,3.07,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,009_Cali10,57086315,47330849,1.206,6.36,Processed,10,Cal Std,3222.069,T1,,8,1,009_Cali10,,10126927,-0.01,C17H19NO3,M+H,2851.36,3222.069,N/A,286.1438,286.1439,.4207 (ppm),0,Method,True,False,13,2.14,2.15,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,010_Cali20,120439103,56113340,2.146,6.37,Processed,20,Cal Std,5723.485,T1,,9,1,010_Cali20,,26673002,0.00,C17H19NO3,M+H,5702.73,5723.485,N/A,286.1438,286.1437,-.2192 (ppm),0,Method,True,False,0.36,0.01,0.01,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,011_Cali50,156267052,29214312,5.349,6.32,Processed,50,Cal Std,14243.761,T1,,10,1,011_Cali50,,21484466,-0.05,C17H19NO3,M+H,14256.82,14243.761,N/A,286.1438,286.1438,-.0059 (ppm),0,Method,True,False,-0.09,2.81,2.81,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,012_blankEvian_2,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,11,1,012_blankEvian_2,,N/F,N/F,C17H19NO3,N/A,N/A,N/F,N/A,286.1438,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,036_wash,N/F,N/F,N/F,N/F,Processed,,Unknown,N/F,T1,,12,1,036_wash,,N/F,N/F,C17H19NO3,N/A,N/A,N/F,N/A,286.1438,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,037_Cali3,12626503,41221374,0.306,6.32,Processed,3,Cal Std,828.239,T1,,13,1,037_Cali3,,1779410,-0.05,C17H19NO3,M+H,855.41,828.239,N/A,286.1438,286.1437,-.2192 (ppm),0,Method,True,False,-3.18,2.57,2.62,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,038_blankEvian,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,14,1,038_blankEvian,,N/F,N/F,C17H19NO3,N/A,N/A,N/F,N/A,286.1438,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,039_fie1_air_biof_btq_0_r1,N/F,28746775,N/F,N/F,Processed,,Unknown,N/F,T1,,15,1,039_fie1_air_biof_btq_0_r1,,N/F,N/F,C17H19NO3,N/A,N/A,N/F,N/A,286.1438,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,040_fie1_air_biof_btq_0_r2,5157685,21929581,0.235,6.38,Processed,,Unknown,639.041,T1,,16,1,040_fie1_air_biof_btq_0_r2,,1293319,0.01,C17H19NO3,M+H,N/A,639.041,N/A,286.1438,286.1438,-.0059 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,041_fie1_air_biof_btq_0_r3,5917161,25101449,0.236,6.39,Processed,,Unknown,640.469,T1,,17,1,041_fie1_air_biof_btq_0_r3,,1582704,0.02,C17H19NO3,M+H,N/A,640.469,N/A,286.1438,286.1439,.3140 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,042_fie1_air_biof_btq_0_r4,22136845,17445545,1.269,6.39,Processed,,Unknown,3389.139,T1,,18,1,042_fie1_air_biof_btq_0_r4,,5002464,0.02,C17H19NO3,M+H,N/A,3389.139,N/A,286.1438,286.1438,-.0059 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,043_fie1_air_biof_btq_0_r5,55521188,20951449,2.65,6.38,Processed,,Unknown,7063.362,T1,,19,1,043_fie1_air_biof_btq_0_r5,,11879593,0.01,C17H19NO3,M+H,N/A,7063.362,N/A,286.1438,286.1437,-.1126 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,044_fie1_air_biof_btq_0_r6,59000704,21603447,2.731,6.38,Processed,,Unknown,7279.082,T1,,20,1,044_fie1_air_biof_btq_0_r6,,13094123,0.01,C17H19NO3,M+H,N/A,7279.082,N/A,286.1438,286.144,.6340 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,045_blank,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,21,1,045_blank,,N/F,N/F,C17H19NO3,N/A,N/A,N/F,N/A,286.1438,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,046_fie1_air_biof_scq_0_r1,N/F,15275606,N/F,N/F,Processed,,Unknown,N/F,T1,,22,1,046_fie1_air_biof_scq_0_r1,,N/F,N/F,C17H19NO3,N/A,N/A,N/F,N/A,286.1438,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Morphin_2744_p,6.37,Target Compound,047_fie1_air_biof_scq_0_r2,3590055,17673586,0.203,6.4,Processed,,Unknown,553.743,T1,,23,1,047_fie1_air_biof_scq_0_r2,,723519,0.03,C17H19NO3,M+H,N/A,553.743,N/A,286.1438,286.1439,.3140 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
