Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Mycophenolsaeure_2808_p,17.73,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C17H20O6,N/A,N/A,N/F,N/A,321.1333,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Mycophenolsaeure_2808_p,17.73,Target Compound,003_Cali025,369633,N/A,0,17.72,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,104896,-0.01,C17H20O6,M+H,80.03,N/A,N/A,321.1333,321.1342,2.9779 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mycophenolsaeure_2808_p,17.73,Target Compound,004_Cali05,1257242,N/A,0,17.69,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,222059,-0.04,C17H20O6,M+H,160.06,N/A,N/A,321.1333,321.1334,.3171 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mycophenolsaeure_2808_p,17.73,Target Compound,005_Cali1,2073031,N/A,0,17.71,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,425508,-0.02,C17H20O6,M+H,320.13,N/A,N/A,321.1333,321.1336,.9823 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mycophenolsaeure_2808_p,17.73,Target Compound,006_Cali3,5798238,N/A,0,17.73,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,1057956,0.00,C17H20O6,M+H,960.38,N/A,N/A,321.1333,321.1338,1.5525 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mycophenolsaeure_2808_p,17.73,Target Compound,007_Cali5,12144158,N/A,0,17.72,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,2074059,-0.01,C17H20O6,M+H,1600.63,N/A,N/A,321.1333,321.1335,.8872 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mycophenolsaeure_2808_p,17.73,Target Compound,008_Cali8,17624071,N/A,0,17.76,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,2866687,0.03,C17H20O6,M+H,2561.01,N/A,N/A,321.1333,321.1339,1.9326 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mycophenolsaeure_2808_p,17.73,Target Compound,009_Cali10,24176413,N/A,0,17.73,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,4124427,0.00,C17H20O6,M+H,3201.26,N/A,N/A,321.1333,321.1334,.5071 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mycophenolsaeure_2808_p,17.73,Target Compound,010_Cali20,48802068,N/A,0,17.73,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,8881658,0.00,C17H20O6,M+H,6402.52,N/A,N/A,321.1333,321.1333,.2220 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mycophenolsaeure_2808_p,17.73,Target Compound,011_Cali50,111888129,N/A,0,17.73,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,20506042,0.00,C17H20O6,M+H,16006.3,N/A,N/A,321.1333,321.1335,.6972 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mycophenolsaeure_2808_p,17.73,Target Compound,012_blankEvian_2,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,11,1,012_blankEvian_2,,N/F,N/F,C17H20O6,N/A,N/A,N/F,N/A,321.1333,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Mycophenolsaeure_2808_p,17.73,Target Compound,036_wash,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,12,1,036_wash,,N/F,N/F,C17H20O6,N/A,N/A,N/F,N/A,321.1333,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Mycophenolsaeure_2808_p,17.73,Target Compound,037_Cali3,7685052,N/A,0,17.71,Processed,3,Cal Std,N/A,T1,,13,1,037_Cali3,,1412103,-0.02,C17H20O6,M+H,960.38,N/A,N/A,321.1333,321.1333,.0320 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Mycophenolsaeure_2808_p,17.73,Target Compound,038_blankEvian,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,14,1,038_blankEvian,,N/F,N/F,C17H20O6,N/A,N/A,N/F,N/A,321.1333,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
