Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Naloxone_10737_p,8.04,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C19H21NO4,N/A,N/A,N/F,N/A,328.1543,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,003_Cali025,1293129,N/A,0,8.02,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,273836,-0.02,C19H21NO4,M+H,81.79,N/A,N/A,328.1543,328.1541,-.4745 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Naloxone_10737_p,8.04,Target Compound,004_Cali05,3309729,N/A,0,8.04,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,724529,0.00,C19H21NO4,M+H,163.57,N/A,N/A,328.1543,328.1543,.0835 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Naloxone_10737_p,8.04,Target Compound,005_Cali1,5297566,N/A,0,8.03,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,1117473,-0.01,C19H21NO4,M+H,327.15,N/A,N/A,328.1543,328.1543,.0835 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Naloxone_10737_p,8.04,Target Compound,006_Cali3,16146589,N/A,0,8.04,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,3290630,0.00,C19H21NO4,M+H,981.44,N/A,N/A,328.1543,328.1541,-.5675 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Naloxone_10737_p,8.04,Target Compound,007_Cali5,31553488,N/A,0,8.05,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,5004660,0.01,C19H21NO4,M+H,1635.74,N/A,N/A,328.1543,328.1543,-.0095 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Naloxone_10737_p,8.04,Target Compound,008_Cali8,43134267,N/A,0,8.05,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,7613180,0.01,C19H21NO4,M+H,2617.18,N/A,N/A,328.1543,328.1543,-.1025 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Naloxone_10737_p,8.04,Target Compound,009_Cali10,57145163,N/A,0,8.03,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,9808624,-0.01,C19H21NO4,M+H,3271.47,N/A,N/A,328.1543,328.1543,-.0095 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Naloxone_10737_p,8.04,Target Compound,010_Cali20,111288064,N/A,0,8.05,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,17622802,0.01,C19H21NO4,M+H,6542.94,N/A,N/A,328.1543,328.1542,-.2885 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Naloxone_10737_p,8.04,Target Compound,011_Cali50,204534731,N/A,0,8.04,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,38590088,0.00,C19H21NO4,M+H,16357.35,N/A,N/A,328.1543,328.1543,-.0095 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Naloxone_10737_p,8.04,Target Compound,012_blankEvian_2,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,11,1,012_blankEvian_2,,N/F,N/F,C19H21NO4,N/A,N/A,N/F,N/A,328.1543,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,036_wash,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,12,1,036_wash,,N/F,N/F,C19H21NO4,N/A,N/A,N/F,N/A,328.1543,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,037_Cali3,15332012,N/A,0,7.99,Processed,3,Cal Std,N/A,T1,,13,1,037_Cali3,,3603690,-0.05,C19H21NO4,M+H,981.44,N/A,N/A,328.1543,328.1541,-.4745 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Naloxone_10737_p,8.04,Target Compound,038_blankEvian,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,14,1,038_blankEvian,,N/F,N/F,C19H21NO4,N/A,N/A,N/F,N/A,328.1543,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,039_fie1_air_biof_btq_0_r1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,15,1,039_fie1_air_biof_btq_0_r1,,N/F,N/F,C19H21NO4,N/A,N/A,N/F,N/A,328.1543,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,040_fie1_air_biof_btq_0_r2,7314621,N/A,0,8,Processed,,Unknown,N/A,T1,,16,1,040_fie1_air_biof_btq_0_r2,,1414312,-0.04,C19H21NO4,M+H,N/A,N/A,N/A,328.1543,328.1544,.2695 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,041_fie1_air_biof_btq_0_r3,6914748,N/A,0,8.03,Processed,,Unknown,N/A,T1,,17,1,041_fie1_air_biof_btq_0_r3,,1342442,-0.01,C19H21NO4,M+H,N/A,N/A,N/A,328.1543,328.1544,.4555 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,042_fie1_air_biof_btq_0_r4,37694281,N/A,0,8.04,Processed,,Unknown,N/A,T1,,18,1,042_fie1_air_biof_btq_0_r4,,7436743,0.00,C19H21NO4,M+H,N/A,N/A,N/A,328.1543,328.1543,-.0095 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,043_fie1_air_biof_btq_0_r5,82950236,N/A,0,8,Processed,,Unknown,N/A,T1,,19,1,043_fie1_air_biof_btq_0_r5,,13159523,-0.04,C19H21NO4,M+H,N/A,N/A,N/A,328.1543,328.1545,.5485 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,044_fie1_air_biof_btq_0_r6,73427431,N/A,0,8,Processed,,Unknown,N/A,T1,,20,1,044_fie1_air_biof_btq_0_r6,,13625758,-0.04,C19H21NO4,M+H,N/A,N/A,N/A,328.1543,328.1545,.7345 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,045_blank,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,21,1,045_blank,,N/F,N/F,C19H21NO4,N/A,N/A,N/F,N/A,328.1543,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,046_fie1_air_biof_scq_0_r1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,22,1,046_fie1_air_biof_scq_0_r1,,N/F,N/F,C19H21NO4,N/A,N/A,N/F,N/A,328.1543,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,047_fie1_air_biof_scq_0_r2,5095917,N/A,0,8.03,Processed,,Unknown,N/A,T1,,23,1,047_fie1_air_biof_scq_0_r2,,1097016,-0.01,C19H21NO4,M+H,N/A,N/A,N/A,328.1543,328.1542,-.2885 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Naloxone_10737_p,8.04,Target Compound,048_fie1_air_biof_scq_0_r3,6194343,N/A,0,8.01,Processed,,Unknown,N/A,T1,,24,1,048_fie1_air_biof_scq_0_r3,,1223737,-0.03,C19H21NO4,M+H,N/A,N/A,N/A,328.1543,328.1546,.9205 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
