Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,002_blind,N/F,0,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C28H36O15,N/A,N/A,N/F,N/A,611.1981,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,003_Cali025,238224,33865505,0.007,15.1,Processed,0.25,Cal Std,182.898,T1,,2,1,003_Cali025,,41779,-0.01,C28H36O15,M-H,153.05,182.898,N/A,611.1981,611.1986,.7664 (ppm),0,Method,True,False,19.5,4.92,7.65,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,004_Cali05,522488,31517912,0.017,15.08,Processed,0.5,Cal Std,345.396,T1,,3,1,004_Cali05,,98440,-0.03,C28H36O15,M-H,306.1,345.396,N/A,611.1981,611.1984,.4668 (ppm),0,Method,True,False,12.84,7.09,8.77,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,005_Cali1,931039,28016345,0.033,15.09,Processed,1,Cal Std,628.987,T1,,4,1,005_Cali1,,164867,-0.02,C28H36O15,M-H,612.21,628.987,N/A,611.1981,611.1987,.9661 (ppm),0,Method,True,False,2.74,8.31,9.3,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,006_Cali3,2902446,27247059,0.107,15.11,Processed,3,Cal Std,1876.983,T1,,5,1,006_Cali3,,493398,0.00,C28H36O15,M-H,1836.62,1876.983,N/A,611.1981,611.1987,.8662 (ppm),0,Method,True,False,2.2,6.74,7,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,007_Cali5,5511539,31421180,0.175,15.11,Processed,5,Cal Std,3049.952,T1,,6,1,007_Cali5,,979912,0.00,C28H36O15,M-H,3061.03,3049.952,N/A,611.1981,611.1987,.8662 (ppm),0,Method,True,False,-0.36,6.73,6.87,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,008_Cali8,8176591,27798121,0.294,15.11,Processed,8,Cal Std,5071.732,T1,,7,1,008_Cali8,,1370996,0.00,C28H36O15,M-H,4897.64,5071.732,N/A,611.1981,611.1984,.4668 (ppm),0,Method,True,False,3.55,5.18,5.25,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,009_Cali10,11180265,29446964,0.38,15.11,Processed,10,Cal Std,6528.175,T1,,8,1,009_Cali10,,1835280,0.00,C28H36O15,M-H,6122.05,6528.175,N/A,611.1981,611.1987,.9661 (ppm),0,Method,True,False,6.63,3.57,3.61,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,010_Cali20,25344165,36139848,0.701,15.13,Processed,20,Cal Std,12004.443,T1,,9,1,010_Cali20,,4224792,0.02,C28H36O15,M-H,12244.11,12004.443,N/A,611.1981,611.1985,.6665 (ppm),0,Method,True,False,-1.96,4.22,4.24,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,011_Cali50,58370810,31057274,1.879,15.11,Processed,50,Cal Std,32066.308,T1,,10,1,011_Cali50,,9924762,0.00,C28H36O15,M-H,30610.27,32066.308,N/A,611.1981,611.1983,.2671 (ppm),0,Method,True,False,4.76,1.97,1.98,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,012_blankEvian_2,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,11,1,012_blankEvian_2,,N/F,N/F,C28H36O15,N/A,N/A,N/F,N/A,611.1981,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,036_wash,N/F,N/F,N/F,N/F,Processed,,Unknown,N/F,T1,,12,1,036_wash,,N/F,N/F,C28H36O15,N/A,N/A,N/F,N/A,611.1981,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,037_Cali3,2944181,31477529,0.094,15.09,Processed,3,Cal Std,1655.783,T1,,13,1,037_Cali3,,457922,-0.02,C28H36O15,M-H,1836.62,1655.783,N/A,611.1981,611.1981,-.1324 (ppm),0,Method,True,False,-9.85,6.74,7,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,038_blankEvian,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,14,1,038_blankEvian,,N/F,N/F,C28H36O15,N/A,N/A,N/F,N/A,611.1981,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,039_fie1_air_biof_btq_0_r1,N/F,13324422,N/F,N/F,Processed,,Unknown,N/F,T1,,15,1,039_fie1_air_biof_btq_0_r1,,N/F,N/F,C28H36O15,N/A,N/A,N/F,N/A,611.1981,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,040_fie1_air_biof_btq_0_r2,694745,14991799,0.046,15.11,Processed,,Unknown,852.217,T1,,16,1,040_fie1_air_biof_btq_0_r2,,111156,0.00,C28H36O15,M-H,N/A,852.217,N/A,611.1981,611.1984,.4668 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,041_fie1_air_biof_btq_0_r3,762375,14202515,0.054,15.07,Processed,,Unknown,977.154,T1,,17,1,041_fie1_air_biof_btq_0_r3,,119548,-0.04,C28H36O15,M-H,N/A,977.154,N/A,611.1981,611.1987,.8662 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,042_fie1_air_biof_btq_0_r4,3747052,14161602,0.265,15.1,Processed,,Unknown,4568.567,T1,,18,1,042_fie1_air_biof_btq_0_r4,,637622,-0.01,C28H36O15,M-H,N/A,4568.567,N/A,611.1981,611.1988,1.0659 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,043_fie1_air_biof_btq_0_r5,8421043,16698754,0.504,15.1,Processed,,Unknown,8650.141,T1,,19,1,043_fie1_air_biof_btq_0_r5,,1468424,-0.01,C28H36O15,M-H,N/A,8650.141,N/A,611.1981,611.1985,.6665 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,044_fie1_air_biof_btq_0_r6,6867132,14807013,0.464,15.09,Processed,,Unknown,7960.238,T1,,20,1,044_fie1_air_biof_btq_0_r6,,1171514,-0.02,C28H36O15,M-H,N/A,7960.238,N/A,611.1981,611.1985,.5666 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,045_blank,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,21,1,045_blank,,N/F,N/F,C28H36O15,N/A,N/A,N/F,N/A,611.1981,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,046_fie1_air_biof_scq_0_r1,N/F,6806452,N/F,N/F,Processed,,Unknown,N/F,T1,,22,1,046_fie1_air_biof_scq_0_r1,,N/F,N/F,C28H36O15,N/A,N/A,N/F,N/A,611.1981,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,047_fie1_air_biof_scq_0_r2,376335,7721182,0.049,15.1,Processed,,Unknown,893.066,T1,,23,1,047_fie1_air_biof_scq_0_r2,,71556,-0.01,C28H36O15,M-H,N/A,893.066,N/A,611.1981,611.1992,1.6651 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,048_fie1_air_biof_scq_0_r3,441719,7758253,0.057,15.11,Processed,,Unknown,1032.605,T1,,24,1,048_fie1_air_biof_scq_0_r3,,76121,0.00,C28H36O15,M-H,N/A,1032.605,N/A,611.1981,611.1984,.4668 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,049_fie1_air_biof_scq_0_r4,1927167,7465922,0.258,15.1,Processed,,Unknown,4458.5,T1,,25,1,049_fie1_air_biof_scq_0_r4,,319894,-0.01,C28H36O15,M-H,N/A,4458.5,N/A,611.1981,611.1988,1.0659 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,050_fie1_air_biof_scq_0_r5,5791638,9646010,0.6,15.1,Processed,,Unknown,10286.97,T1,,26,1,050_fie1_air_biof_scq_0_r5,,966274,-0.01,C28H36O15,M-H,N/A,10286.97,N/A,611.1981,611.1985,.6665 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,051_fie1_air_biof_scq_0_r6,7307396,13067409,0.559,15.11,Processed,,Unknown,9585.246,T1,,27,1,051_fie1_air_biof_scq_0_r6,,1202980,0.00,C28H36O15,M-H,N/A,9585.246,N/A,611.1981,611.1988,1.0659 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,052_blankEvian,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,28,1,052_blankEvian,,N/F,N/F,C28H36O15,N/A,N/A,N/F,N/A,611.1981,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,053_Cali5,5847030,33325010,0.175,15.1,Processed,5,Cal Std,3050.74,T1,,29,1,053_Cali5,,994982,-0.01,C28H36O15,M-H,3061.03,3050.74,N/A,611.1981,611.1986,.7664 (ppm),0,Method,True,False,-0.34,6.73,6.87,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,054_blankEvian,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,30,1,054_blankEvian,,N/F,N/F,C28H36O15,N/A,N/A,N/F,N/A,611.1981,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,055_fie1_air_asb_btq_0_r1,N/F,15518027,N/F,N/F,Processed,,Unknown,N/F,T1,,31,1,055_fie1_air_asb_btq_0_r1,,N/F,N/F,C28H36O15,N/A,N/A,N/F,N/A,611.1981,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,056_fie1_air_asb_btq_0_r2,1348263,15418869,0.087,15.09,Processed,,Unknown,1552.076,T1,,32,1,056_fie1_air_asb_btq_0_r2,,211795,-0.02,C28H36O15,M-H,N/A,1552.076,N/A,611.1981,611.1989,1.1658 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,057_fie1_air_asb_btq_0_r3,1154875,15362134,0.075,15.11,Processed,,Unknown,1343.218,T1,,33,1,057_fie1_air_asb_btq_0_r3,,201951,0.00,C28H36O15,M-H,N/A,1343.218,N/A,611.1981,611.1986,.7664 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,058_fie1_air_asb_btq_0_r4,5836209,19120768,0.305,15.09,Processed,,Unknown,5260.519,T1,,34,1,058_fie1_air_asb_btq_0_r4,,979954,-0.02,C28H36O15,M-H,N/A,5260.519,N/A,611.1981,611.1983,.2671 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neohesperidin dihydrochalcon_2814_n,15.11,Target Compound,059_fie1_air_asb_btq_0_r5,16909657,19120776,0.884,15.1,Processed,,Unknown,15121.91,T1,,35,1,059_fie1_air_asb_btq_0_r5,,2899515,-0.01,C28H36O15,M-H,N/A,15121.91,N/A,611.1981,611.1981,-.1324 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
