Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Neotam_2815_p,15.85,Target Compound,002_blind,N/F,63122209,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C20H30N2O5,N/A,N/A,N/F,N/A,379.2228,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,003_Cali025,2605236,72255953,0.036,15.91,Processed,0.25,Cal Std,101.714,T1,,2,1,003_Cali025,,540382,0.06,C20H30N2O5,M+H,94.55,101.714,N/A,379.2228,379.2231,.8794 (ppm),0,Method,True,False,7.58,10.67,11.02,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,004_Cali05,5319415,72126424,0.074,15.92,Processed,0.5,Cal Std,204.86,T1,,3,1,004_Cali05,,1090674,0.07,C20H30N2O5,M+H,189.11,204.86,N/A,379.2228,379.223,.5575 (ppm),0,Method,True,False,8.33,10.38,10.55,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,005_Cali1,9338789,63962984,0.146,15.91,Processed,1,Cal Std,402.562,T1,,4,1,005_Cali1,,1756919,0.06,C20H30N2O5,M+H,378.22,402.562,N/A,379.2228,379.2231,.8794 (ppm),0,Method,True,False,6.44,9.24,9.31,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,006_Cali3,26688771,61202698,0.436,15.91,Processed,3,Cal Std,1196.274,T1,,5,1,006_Cali3,,5239528,0.06,C20H30N2O5,M+H,1134.65,1196.274,N/A,379.2228,379.2231,.9599 (ppm),0,Method,True,False,5.43,6.73,6.75,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,007_Cali5,52106443,68646921,0.759,15.92,Processed,5,Cal Std,2080.036,T1,,6,1,007_Cali5,,10406432,0.07,C20H30N2O5,M+H,1891.08,2080.036,N/A,379.2228,379.223,.7185 (ppm),0,Method,True,False,9.99,7.25,7.26,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,008_Cali8,72272707,62102434,1.164,15.92,Processed,8,Cal Std,3187.457,T1,,7,1,008_Cali8,,12795107,0.07,C20H30N2O5,M+H,3025.72,3187.457,N/A,379.2228,379.2231,.9599 (ppm),0,Method,True,False,5.35,5.81,5.81,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,009_Cali10,100104794,62387016,1.605,15.94,Processed,10,Cal Std,4393.645,T1,,8,1,009_Cali10,,21040872,0.09,C20H30N2O5,M+H,3782.15,4393.645,N/A,379.2228,379.223,.5575 (ppm),0,Method,True,False,16.17,9.66,9.66,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,010_Cali20,225923980,76466556,2.955,15.94,Processed,20,Cal Std,8087.552,T1,,9,1,010_Cali20,,45600384,0.09,C20H30N2O5,M+H,7564.31,8087.552,N/A,379.2228,379.2231,.8794 (ppm),0,Method,True,False,6.92,12.04,12.05,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,011_Cali50,470726619,62558304,7.525,15.92,Processed,50,Cal Std,20592.565,T1,,10,1,011_Cali50,,93343280,0.07,C20H30N2O5,M+H,18910.77,20592.565,N/A,379.2228,379.2231,.8794 (ppm),0,Method,True,False,8.89,12.32,12.32,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,012_blankEvian_2,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,11,1,012_blankEvian_2,,N/F,N/F,C20H30N2O5,N/A,N/A,N/F,N/A,379.2228,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,036_wash,N/F,N/F,N/F,N/F,Processed,,Unknown,N/F,T1,,12,1,036_wash,,N/F,N/F,C20H30N2O5,N/A,N/A,N/F,N/A,379.2228,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Neotam_2815_p,15.85,Target Compound,037_Cali3,29908570,72092723,0.415,15.97,Processed,3,Cal Std,1138.239,T1,,13,1,037_Cali3,,5271126,0.12,C20H30N2O5,M+H,1134.65,1138.239,N/A,379.2228,379.2228,.2356 (ppm),0,Method,True,False,0.32,6.73,6.75,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
