Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Olmesartan_4229_p,14.23,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C24H26N6O3,N/A,N/A,N/F,N/A,447.2139,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Olmesartan_4229_p,14.23,Target Compound,003_Cali025,1096386,N/A,0,14.22,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,203932,-0.01,C24H26N6O3,M+H,111.55,N/A,N/A,447.2139,447.2143,.8137 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Olmesartan_4229_p,14.23,Target Compound,004_Cali05,2489956,N/A,0,14.22,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,452159,-0.01,C24H26N6O3,M+H,223.1,N/A,N/A,447.2139,447.2136,-.6875 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Olmesartan_4229_p,14.23,Target Compound,005_Cali1,4378481,N/A,0,14.22,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,753336,-0.01,C24H26N6O3,M+H,446.21,N/A,N/A,447.2139,447.2141,.3361 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Olmesartan_4229_p,14.23,Target Compound,006_Cali3,13067421,N/A,0,14.22,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,2256632,-0.01,C24H26N6O3,M+H,1338.62,N/A,N/A,447.2139,447.214,.2678 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Olmesartan_4229_p,14.23,Target Compound,007_Cali5,23489807,N/A,0,14.22,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,4444197,-0.01,C24H26N6O3,M+H,2231.03,N/A,N/A,447.2139,447.2139,-.0734 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Olmesartan_4229_p,14.23,Target Compound,008_Cali8,35138754,N/A,0,14.25,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,6297127,0.02,C24H26N6O3,M+H,3569.65,N/A,N/A,447.2139,447.2139,-.0734 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Olmesartan_4229_p,14.23,Target Compound,009_Cali10,47297882,N/A,0,14.25,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,8467315,0.02,C24H26N6O3,M+H,4462.07,N/A,N/A,447.2139,447.2138,-.2781 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Olmesartan_4229_p,14.23,Target Compound,010_Cali20,111602325,N/A,0,14.25,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,18122248,0.02,C24H26N6O3,M+H,8924.13,N/A,N/A,447.2139,447.2138,-.2098 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Olmesartan_4229_p,14.23,Target Compound,011_Cali50,231089362,N/A,0,14.23,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,38063432,0.00,C24H26N6O3,M+H,22310.33,N/A,N/A,447.2139,447.2138,-.1416 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
