Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Pantoprazol_644_p,14.89,Target Compound,002_blind,N/F,50921535,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C16H15F2N3O4S,N/A,N/A,N/F,N/A,384.0824,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Pantoprazol_644_p,14.89,Target Compound,003_Cali025,1565803,59622762,0.026,14.87,Processed,0.25,Cal Std,102.699,T1,,2,1,003_Cali025,,265632,-0.02,C16H15F2N3O4S,M+H,95.77,102.699,N/A,384.0824,384.0824,.0468 (ppm),0,Method,True,False,7.23,0.38,0.49,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pantoprazol_644_p,14.89,Target Compound,004_Cali05,3192812,58590801,0.054,14.87,Processed,0.5,Cal Std,187.997,T1,,3,1,004_Cali05,,605820,-0.02,C16H15F2N3O4S,M+H,191.54,187.997,N/A,384.0824,384.0825,.1263 (ppm),0,Method,True,False,-1.85,6.36,7.21,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pantoprazol_644_p,14.89,Target Compound,005_Cali1,5977872,49967910,0.12,14.88,Processed,1,Cal Std,384.814,T1,,4,1,005_Cali1,,1050556,-0.01,C16H15F2N3O4S,M+H,383.08,384.814,N/A,384.0824,384.0822,-.5094 (ppm),0,Method,True,False,0.45,0.09,0.1,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pantoprazol_644_p,14.89,Target Compound,006_Cali3,16781027,46623819,0.36,14.87,Processed,3,Cal Std,1110.824,T1,,5,1,006_Cali3,,3004033,-0.02,C16H15F2N3O4S,M+H,1149.23,1110.824,N/A,384.0824,384.0826,.3646 (ppm),0,Method,True,False,-3.34,4.64,4.74,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pantoprazol_644_p,14.89,Target Compound,007_Cali5,32898138,55396129,0.594,14.89,Processed,5,Cal Std,1817.67,T1,,6,1,007_Cali5,,5398868,0.00,C16H15F2N3O4S,M+H,1915.38,1817.67,N/A,384.0824,384.0825,.1263 (ppm),0,Method,True,False,-5.1,1.95,1.98,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pantoprazol_644_p,14.89,Target Compound,008_Cali8,41102323,43298851,0.949,14.9,Processed,8,Cal Std,2891.474,T1,,7,1,008_Cali8,,6605336,0.01,C16H15F2N3O4S,M+H,3064.6,2891.474,N/A,384.0824,384.0823,-.3505 (ppm),0,Method,True,False,-5.65,1.53,1.54,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pantoprazol_644_p,14.89,Target Compound,009_Cali10,59243706,47294585,1.253,14.92,Processed,10,Cal Std,3808.113,T1,,8,1,009_Cali10,,9406586,0.03,C16H15F2N3O4S,M+H,3830.75,3808.113,N/A,384.0824,384.0826,.3646 (ppm),0,Method,True,False,-0.59,6.5,6.54,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pantoprazol_644_p,14.89,Target Compound,010_Cali20,130890644,53998232,2.424,14.91,Processed,20,Cal Std,7347.157,T1,,9,1,010_Cali20,,20189156,0.02,C16H15F2N3O4S,M+H,7661.5,7347.157,N/A,384.0824,384.0825,.2057 (ppm),0,Method,True,False,-4.1,3.68,3.69,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pantoprazol_644_p,14.89,Target Compound,011_Cali50,298419767,46812803,6.375,14.89,Processed,50,Cal Std,19283.99,T1,,10,1,011_Cali50,,65690556,0.00,C16H15F2N3O4S,M+H,19153.76,19283.99,N/A,384.0824,384.0824,-.0326 (ppm),0,Method,True,False,0.68,0.15,0.15,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
