Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Pirfenidone_10556_p,14.85,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C12H11NO,N/A,N/A,N/F,N/A,186.0913,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Pirfenidone_10556_p,14.85,Target Compound,003_Cali025,3665984,N/A,0,14.85,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,652084,0.00,C12H11NO,M+H,46.27,N/A,N/A,186.0913,186.0912,-.4458 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Pirfenidone_10556_p,14.85,Target Compound,004_Cali05,7091920,N/A,0,14.83,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,1246866,-0.02,C12H11NO,M+H,92.54,N/A,N/A,186.0913,186.0913,-.0358 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Pirfenidone_10556_p,14.85,Target Compound,005_Cali1,11847326,N/A,0,14.81,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,2395889,-0.04,C12H11NO,M+H,185.08,N/A,N/A,186.0913,186.0913,.2102 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Pirfenidone_10556_p,14.85,Target Compound,006_Cali3,37565537,N/A,0,14.82,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,7909706,-0.03,C12H11NO,M+H,555.25,N/A,N/A,186.0913,186.0914,.3742 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Pirfenidone_10556_p,14.85,Target Compound,007_Cali5,83056950,N/A,0,14.85,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,14577754,0.00,C12H11NO,M+H,925.42,N/A,N/A,186.0913,186.0913,.1282 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Pirfenidone_10556_p,14.85,Target Compound,008_Cali8,85791758,N/A,0,14.85,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,13143211,0.00,C12H11NO,M+H,1480.67,N/A,N/A,186.0913,186.0912,-.5278 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Pirfenidone_10556_p,14.85,Target Compound,009_Cali10,155635980,N/A,0,14.85,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,31602250,0.00,C12H11NO,M+H,1850.84,N/A,N/A,186.0913,186.0913,-.1178 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Pirfenidone_10556_p,14.85,Target Compound,010_Cali20,354824030,N/A,0,14.85,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,72722408,0.00,C12H11NO,M+H,3701.68,N/A,N/A,186.0913,186.0914,.2922 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,1261863.89,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Pirfenidone_10556_p,14.85,Target Compound,011_Cali50,701894037,N/A,0,14.85,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,100083400,0.00,C12H11NO,M+H,9254.2,N/A,N/A,186.0913,186.0913,.1282 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,63309.13,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
