Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Pravastatin_2859_n,17.1,Target Compound,002_blind,N/F,16423646,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C23H36O7,N/A,N/A,N/F,N/A,423.2388,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,003_Cali025,482838,20481646,0.024,17.08,Processed,0.25,Cal Std,111.398,T1,,2,1,003_Cali025,,85173,-0.02,C23H36O7,M-H,106.06,111.398,N/A,423.2388,423.2393,1.1550 (ppm),0,Method,True,False,5.03,1.16,1.46,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,004_Cali05,927947,19411559,0.048,17.09,Processed,0.5,Cal Std,202.267,T1,,3,1,004_Cali05,,172454,-0.01,C23H36O7,M-H,212.12,202.267,N/A,423.2388,423.239,.2898 (ppm),0,Method,True,False,-4.64,3.23,3.64,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,005_Cali1,1833479,17278841,0.106,17.1,Processed,1,Cal Std,420.938,T1,,4,1,005_Cali1,,337631,0.00,C23H36O7,M-H,424.25,420.938,N/A,423.2388,423.2393,1.0108 (ppm),0,Method,True,False,-0.78,0.1,0.1,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,006_Cali3,5176582,16755837,0.309,17.11,Processed,3,Cal Std,1181.618,T1,,5,1,006_Cali3,,903863,0.01,C23H36O7,M-H,1272.74,1181.618,N/A,423.2388,423.2393,1.2271 (ppm),0,Method,True,False,-7.16,1.67,1.7,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,007_Cali5,11101215,19828767,0.56,17.1,Processed,5,Cal Std,2122.617,T1,,6,1,007_Cali5,,2097667,0.00,C23H36O7,M-H,2121.23,2122.617,N/A,423.2388,423.2393,1.0108 (ppm),0,Method,True,False,0.07,1.15,1.16,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,008_Cali8,15072046,17018033,0.886,17.12,Processed,8,Cal Std,3344.46,T1,,7,1,008_Cali8,,2744071,0.02,C23H36O7,M-H,3393.97,3344.46,N/A,423.2388,423.2392,.7945 (ppm),0,Method,True,False,-1.46,0.59,0.6,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,009_Cali10,20944688,17302343,1.211,17.12,Processed,10,Cal Std,4562.789,T1,,8,1,009_Cali10,,3793589,0.02,C23H36O7,M-H,4242.46,4562.789,N/A,423.2388,423.2394,1.3713 (ppm),0,Method,True,False,7.55,0.39,0.4,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,010_Cali20,46460843,20767849,2.237,17.11,Processed,20,Cal Std,8413.016,T1,,9,1,010_Cali20,,8352691,0.01,C23H36O7,M-H,8484.92,8413.016,N/A,423.2388,423.2392,.9387 (ppm),0,Method,True,False,-0.85,1.02,1.03,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,011_Cali50,100335729,18099579,5.544,17.11,Processed,50,Cal Std,20813.012,T1,,10,1,011_Cali50,,17076168,0.01,C23H36O7,M-H,21212.31,20813.012,N/A,423.2388,423.2391,.7224 (ppm),0,Method,True,False,-1.88,1.85,1.85,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,012_blankEvian_2,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,11,1,012_blankEvian_2,,N/F,N/F,C23H36O7,N/A,N/A,N/F,N/A,423.2388,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,036_wash,N/F,N/F,N/F,N/F,Processed,,Unknown,N/F,T1,,12,1,036_wash,,N/F,N/F,C23H36O7,N/A,N/A,N/F,N/A,423.2388,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,037_Cali3,6289112,19688066,0.319,17.09,Processed,3,Cal Std,1220.98,T1,,13,1,037_Cali3,,1102421,-0.01,C23H36O7,M-H,1272.74,1220.98,N/A,423.2388,423.2388,.0013 (ppm),0,Method,True,False,-4.07,1.67,1.7,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,038_blankEvian,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,14,1,038_blankEvian,,N/F,N/F,C23H36O7,N/A,N/A,N/F,N/A,423.2388,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,039_fie1_air_biof_btq_0_r1,N/F,9121557,N/F,N/F,Processed,,Unknown,N/F,T1,,15,1,039_fie1_air_biof_btq_0_r1,,N/F,N/F,C23H36O7,N/A,N/A,N/F,N/A,423.2388,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,040_fie1_air_biof_btq_0_r2,1937880,7499402,0.258,17.11,Processed,,Unknown,992.087,T1,,16,1,040_fie1_air_biof_btq_0_r2,,344670,0.01,C23H36O7,M-H,N/A,992.087,N/A,423.2388,423.2389,.2177 (ppm),0,Manual,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,041_fie1_air_biof_btq_0_r3,1767894,6490841,0.272,17.12,Processed,,Unknown,1044.451,T1,,17,1,041_fie1_air_biof_btq_0_r3,,279878,0.02,C23H36O7,M-H,N/A,1044.451,N/A,423.2388,423.2388,.0013 (ppm),0,Manual,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,042_fie1_air_biof_btq_0_r4,8229637,5671450,1.451,17.11,Processed,,Unknown,5464.936,T1,,18,1,042_fie1_air_biof_btq_0_r4,,1293038,0.01,C23H36O7,M-H,N/A,5464.936,N/A,423.2388,423.2389,.1455 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,043_fie1_air_biof_btq_0_r5,24284104,8079417,3.006,17.1,Processed,,Unknown,11295.219,T1,,19,1,043_fie1_air_biof_btq_0_r5,,3955110,0.00,C23H36O7,M-H,N/A,11295.219,N/A,423.2388,423.2385,-.8639 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,044_fie1_air_biof_btq_0_r6,18217799,6314701,2.885,17.11,Processed,,Unknown,10842.581,T1,,20,1,044_fie1_air_biof_btq_0_r6,,3036913,0.01,C23H36O7,M-H,N/A,10842.581,N/A,423.2388,423.2389,.2177 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,045_blank,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,21,1,045_blank,,N/F,N/F,C23H36O7,N/A,N/A,N/F,N/A,423.2388,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,046_fie1_air_biof_scq_0_r1,N/F,4245754,N/F,N/F,Processed,,Unknown,N/F,T1,,22,1,046_fie1_air_biof_scq_0_r1,,N/F,N/F,C23H36O7,N/A,N/A,N/F,N/A,423.2388,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,047_fie1_air_biof_scq_0_r2,1749373,6485619,0.27,17.1,Processed,,Unknown,1034.564,T1,,23,1,047_fie1_air_biof_scq_0_r2,,299811,0.00,C23H36O7,M-H,N/A,1034.564,N/A,423.2388,423.2393,1.0108 (ppm),0,Manual,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,048_fie1_air_biof_scq_0_r3,1817206,5890542,0.308,17.11,Processed,,Unknown,1179.943,T1,,24,1,048_fie1_air_biof_scq_0_r3,,309146,0.01,C23H36O7,M-H,N/A,1179.943,N/A,423.2388,423.239,.5061 (ppm),0,Manual,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,049_fie1_air_biof_scq_0_r4,6866819,5834745,1.177,17.1,Processed,,Unknown,4436.675,T1,,25,1,049_fie1_air_biof_scq_0_r4,,1154041,0.00,C23H36O7,M-H,N/A,4436.675,N/A,423.2388,423.2389,.2177 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,050_fie1_air_biof_scq_0_r5,18064170,6942996,2.602,17.1,Processed,,Unknown,9780.496,T1,,26,1,050_fie1_air_biof_scq_0_r5,,2833177,0.00,C23H36O7,M-H,N/A,9780.496,N/A,423.2388,423.2391,.5782 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,051_fie1_air_biof_scq_0_r6,25450071,9712412,2.62,17.08,Processed,,Unknown,9850.187,T1,,27,1,051_fie1_air_biof_scq_0_r6,,4371839,-0.02,C23H36O7,M-H,N/A,9850.187,N/A,423.2388,423.2389,.2177 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,052_blankEvian,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,28,1,052_blankEvian,,N/F,N/F,C23H36O7,N/A,N/A,N/F,N/A,423.2388,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,053_Cali5,10394245,18611062,0.558,17.1,Processed,5,Cal Std,2117.532,T1,,29,1,053_Cali5,,1752079,0.00,C23H36O7,M-H,2121.23,2117.532,N/A,423.2388,423.239,.3619 (ppm),0,Method,True,False,-0.17,1.15,1.16,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,054_blankEvian,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,30,1,054_blankEvian,,N/F,N/F,C23H36O7,N/A,N/A,N/F,N/A,423.2388,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,055_fie1_air_asb_btq_0_r1,N/F,7063710,N/F,N/F,Processed,,Unknown,N/F,T1,,31,1,055_fie1_air_asb_btq_0_r1,,N/F,N/F,C23H36O7,N/A,N/A,N/F,N/A,423.2388,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,056_fie1_air_asb_btq_0_r2,1565100,5625707,0.278,17.11,Processed,,Unknown,1066.344,T1,,32,1,056_fie1_air_asb_btq_0_r2,,296238,0.01,C23H36O7,M-H,N/A,1066.344,N/A,423.2388,423.2387,-.2871 (ppm),0,Manual,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,057_fie1_air_asb_btq_0_r3,2274944,7801947,0.292,17.13,Processed,,Unknown,1116.53,T1,,33,1,057_fie1_air_asb_btq_0_r3,,385210,0.03,C23H36O7,M-H,N/A,1116.53,N/A,423.2388,423.2388,.0013 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,058_fie1_air_asb_btq_0_r4,10105953,9830539,1.028,17.09,Processed,,Unknown,3878.373,T1,,34,1,058_fie1_air_asb_btq_0_r4,,1614851,-0.01,C23H36O7,M-H,N/A,3878.373,N/A,423.2388,423.2391,.6503 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Pravastatin_2859_n,17.1,Target Compound,059_fie1_air_asb_btq_0_r5,25866683,9054459,2.857,17.12,Processed,,Unknown,10736.85,T1,,35,1,059_fie1_air_asb_btq_0_r5,,4327103,0.02,C23H36O7,M-H,N/A,10736.85,N/A,423.2388,423.2389,.0734 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
