Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Primidon_195_p,13.48,Target Compound,002_blind,N/F,23706555,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C12H14N2O2,N/A,N/A,N/F,N/A,219.1128,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Primidon_195_p,13.48,Target Compound,003_Cali025,385680,34422956,0.011,13.49,Processed,0.25,Cal Std,51.334,T1,,2,1,003_Cali025,,76829,0.01,C12H14N2O2,M+H,54.53,51.334,N/A,219.1128,219.1129,.5947 (ppm),0,Method,True,False,-5.86,0.61,0.62,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.48,Target Compound,004_Cali05,614183,25202307,0.024,13.49,Processed,0.5,Cal Std,110.639,T1,,3,1,004_Cali05,,127531,0.01,C12H14N2O2,M+H,109.05,110.639,N/A,219.1128,219.1128,.1072 (ppm),0,Method,True,False,1.46,2.46,2.48,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.48,Target Compound,005_Cali1,1340615,28443987,0.047,13.47,Processed,1,Cal Std,213.166,T1,,4,1,005_Cali1,,255307,-0.01,C12H14N2O2,M+H,218.11,213.166,N/A,219.1128,219.1127,-.3106 (ppm),0,Method,True,False,-2.27,0.07,0.07,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.48,Target Compound,006_Cali3,4079015,27903091,0.146,13.5,Processed,3,Cal Std,659.342,T1,,5,1,006_Cali3,,701847,0.02,C12H14N2O2,M+H,654.32,659.342,N/A,219.1128,219.1128,-.0321 (ppm),0,Method,True,False,0.77,4.01,4.02,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.48,Target Compound,007_Cali5,6145443,25421318,0.242,13.47,Processed,5,Cal Std,1089.777,T1,,6,1,007_Cali5,,1097130,-0.01,C12H14N2O2,M+H,1090.53,1089.777,N/A,219.1128,219.1128,.0375 (ppm),0,Method,True,False,-0.07,2.13,2.14,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.48,Target Compound,008_Cali8,10027199,25718862,0.39,13.48,Processed,8,Cal Std,1757.03,T1,,7,1,008_Cali8,,1807138,0.00,C12H14N2O2,M+H,1744.84,1757.03,N/A,219.1128,219.1129,.2465 (ppm),0,Method,True,False,0.7,7.33,7.33,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.48,Target Compound,009_Cali10,14274942,26159458,0.546,13.49,Processed,10,Cal Std,2458.871,T1,,8,1,009_Cali10,,2624351,0.01,C12H14N2O2,M+H,2181.06,2458.871,N/A,219.1128,219.1128,.1768 (ppm),0,Method,True,False,12.74,2.01,2.01,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.48,Target Compound,010_Cali20,30753259,34796599,0.884,13.5,Processed,20,Cal Std,3981.86,T1,,9,1,010_Cali20,,6568365,0.02,C12H14N2O2,M+H,4362.11,3981.86,N/A,219.1128,219.1128,-.1017 (ppm),0,Method,True,False,-8.72,12.33,12.33,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Primidon_195_p,13.48,Target Compound,011_Cali50,58917634,24162319,2.438,13.48,Processed,50,Cal Std,10984.444,T1,,10,1,011_Cali50,,10364437,0.00,C12H14N2O2,M+H,10905.28,10984.444,N/A,219.1128,219.1129,.4554 (ppm),0,Method,True,False,0.73,4.06,4.06,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
