Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Propranolol_171_p,13.42,Target Compound,002_blind,N/F,0,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,"C16H21NO2 ",N/A,N/A,N/F,N/A,260.1645,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Propranolol_171_p,13.42,Target Compound,003_Cali025,3777575,325831657,0.012,13.25,Processed,0.25,Cal Std,68.048,T1,,2,1,003_Cali025,,808567,-0.17,"C16H21NO2 ",M+H,64.79,68.048,N/A,260.1645,260.1644,-.5471 (ppm),0,Method,True,False,5.03,8,10.4,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Propranolol_171_p,13.42,Target Compound,004_Cali05,7564874,301687939,0.025,13.25,Processed,0.5,Cal Std,127.808,T1,,3,1,004_Cali05,,1495405,-0.17,"C16H21NO2 ",M+H,129.58,127.808,N/A,260.1645,260.1645,-.1952 (ppm),0,Method,True,False,-1.37,7.56,8.63,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Propranolol_171_p,13.42,Target Compound,005_Cali1,14438282,255634326,0.056,13.27,Processed,1,Cal Std,267.019,T1,,4,1,005_Cali1,,2898298,-0.15,"C16H21NO2 ",M+H,259.16,267.019,N/A,260.1645,260.1644,-.4298 (ppm),0,Method,True,False,3.03,7.3,7.81,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Propranolol_171_p,13.42,Target Compound,006_Cali3,40241330,259488512,0.155,13.28,Processed,3,Cal Std,704.084,T1,,5,1,006_Cali3,,7108029,-0.14,"C16H21NO2 ",M+H,777.47,704.084,N/A,260.1645,260.1645,.0395 (ppm),0,Method,True,False,-9.44,7.74,7.92,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Propranolol_171_p,13.42,Target Compound,007_Cali5,72813890,279946747,0.26,13.28,Processed,5,Cal Std,1169.609,T1,,6,1,007_Cali5,,12998502,-0.14,"C16H21NO2 ",M+H,1295.79,1169.609,N/A,260.1645,260.1642,-1.0163 (ppm),0,Method,True,False,-9.74,5.7,5.78,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Propranolol_171_p,13.42,Target Compound,008_Cali8,106444806,250904669,0.424,13.3,Processed,8,Cal Std,1897.221,T1,,7,1,008_Cali8,,19603634,-0.12,"C16H21NO2 ",M+H,2073.26,1897.221,N/A,260.1645,260.1645,-.1952 (ppm),0,Method,True,False,-8.49,3,3.02,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Propranolol_171_p,13.42,Target Compound,009_Cali10,172248981,273512832,0.63,13.27,Processed,10,Cal Std,2808.245,T1,,8,1,009_Cali10,,38413876,-0.15,"C16H21NO2 ",M+H,2591.57,2808.245,N/A,260.1645,260.1645,-.1952 (ppm),0,Method,True,False,8.36,5,5.02,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Propranolol_171_p,13.42,Target Compound,010_Cali20,319505929,287934929,1.11,13.25,Processed,20,Cal Std,4935.431,T1,,9,1,010_Cali20,,56041968,-0.17,"C16H21NO2 ",M+H,5183.14,4935.431,N/A,260.1645,260.1646,.5087 (ppm),0,Method,True,False,-4.78,3.92,3.93,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Propranolol_171_p,13.42,Target Compound,011_Cali50,641734578,216280387,2.967,13.25,Processed,50,Cal Std,13169.228,T1,,10,1,011_Cali50,,123474040,-0.17,"C16H21NO2 ",M+H,12957.86,13169.228,N/A,260.1645,260.1647,.6260 (ppm),0,Method,True,False,1.63,1.28,1.28,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
