Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Pseudoephedrine_p,8.65,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,165.1153641,N/A,N/A,N/F,N/A,166.1226,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Pseudoephedrine_p,8.65,Target Compound,003_Cali025,687737,N/A,0,8.57,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,116674,-0.08,165.1153641,M+H,41.28,N/A,N/A,166.1226,166.1226,-.2493 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,35.48,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Pseudoephedrine_p,8.65,Target Compound,004_Cali05,1266002,N/A,0,8.57,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,302657,-0.08,165.1153641,M+H,82.56,N/A,N/A,166.1226,166.1225,-.8004 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,82.59,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Pseudoephedrine_p,8.65,Target Compound,005_Cali1,2062182,N/A,0,8.58,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,336751,-0.07,165.1153641,M+H,165.12,N/A,N/A,166.1226,166.1226,-.2493 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,79.45,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Pseudoephedrine_p,8.65,Target Compound,006_Cali3,7721865,N/A,0,8.59,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,1791054,-0.06,165.1153641,M+H,495.35,N/A,N/A,166.1226,166.1225,-.5248 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,493.48,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Pseudoephedrine_p,8.65,Target Compound,007_Cali5,12475798,N/A,0,8.56,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,2552335,-0.09,165.1153641,M+H,825.58,N/A,N/A,166.1226,166.1225,-.7085 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,680.08,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Pseudoephedrine_p,8.65,Target Compound,008_Cali8,21369771,N/A,0,8.59,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,4039820,-0.06,165.1153641,M+H,1320.92,N/A,N/A,166.1226,166.1226,-.1574 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,1062.96,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Pseudoephedrine_p,8.65,Target Compound,009_Cali10,26588770,N/A,0,8.61,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,4215951,-0.04,165.1153641,M+H,1651.15,N/A,N/A,166.1226,166.1226,.2100 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,1195.82,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Pseudoephedrine_p,8.65,Target Compound,010_Cali20,60900641,N/A,0,8.61,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,11617345,-0.04,165.1153641,M+H,3302.31,N/A,N/A,166.1226,166.1225,-.7085 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,5496.89,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Pseudoephedrine_p,8.65,Target Compound,011_Cali50,103237205,N/A,0,8.56,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,17489968,-0.09,165.1153641,M+H,8255.77,N/A,N/A,166.1226,166.1226,.1182 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,22617.95,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Pseudoephedrine_p,8.65,Target Compound,012_blankEvian_2,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,11,1,012_blankEvian_2,,N/F,N/F,165.1153641,N/A,N/A,N/F,N/A,166.1226,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Pseudoephedrine_p,8.65,Target Compound,036_wash,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,12,1,036_wash,,N/F,N/F,165.1153641,N/A,N/A,N/F,N/A,166.1226,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Pseudoephedrine_p,8.65,Target Compound,037_Cali3,7165266,N/A,0,8.52,Processed,3,Cal Std,N/A,T1,,13,1,037_Cali3,,1350856,-0.13,165.1153641,M+H,495.35,N/A,N/A,166.1226,166.1225,-.5248 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,656.05,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Pseudoephedrine_p,8.65,Target Compound,038_blankEvian,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,14,1,038_blankEvian,,N/F,N/F,165.1153641,N/A,N/A,N/F,N/A,166.1226,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Pseudoephedrine_p,8.65,Target Compound,039_fie1_air_biof_btq_0_r1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,15,1,039_fie1_air_biof_btq_0_r1,,N/F,N/F,165.1153641,N/A,N/A,N/F,N/A,166.1226,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
