Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Rivaroxaban_3769_p,15.74,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C19H18ClN3O5S,N/A,N/A,N/F,N/A,436.0729,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Rivaroxaban_3769_p,15.74,Target Compound,003_Cali025,306240,N/A,0,15.73,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,57024,-0.01,C19H18ClN3O5S,M+H,108.77,N/A,N/A,436.0729,436.0729,.0596 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Rivaroxaban_3769_p,15.74,Target Compound,004_Cali05,768386,N/A,0,15.72,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,152316,-0.02,C19H18ClN3O5S,M+H,217.53,N/A,N/A,436.0729,436.0723,-1.2001 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Rivaroxaban_3769_p,15.74,Target Compound,005_Cali1,1233531,N/A,0,15.73,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,218544,-0.01,C19H18ClN3O5S,M+H,435.07,N/A,N/A,436.0729,436.0729,.1995 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Rivaroxaban_3769_p,15.74,Target Compound,006_Cali3,4239316,N/A,0,15.73,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,690021,-0.01,C19H18ClN3O5S,M+H,1305.2,N/A,N/A,436.0729,436.0726,-.5703 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Rivaroxaban_3769_p,15.74,Target Compound,007_Cali5,7471038,N/A,0,15.73,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,1307151,-0.01,C19H18ClN3O5S,M+H,2175.33,N/A,N/A,436.0729,436.0726,-.6403 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Rivaroxaban_3769_p,15.74,Target Compound,008_Cali8,11768608,N/A,0,15.76,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,2075822,0.02,C19H18ClN3O5S,M+H,3480.52,N/A,N/A,436.0729,436.0729,.1296 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Rivaroxaban_3769_p,15.74,Target Compound,009_Cali10,15545655,N/A,0,15.76,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,2577653,0.02,C19H18ClN3O5S,M+H,4350.66,N/A,N/A,436.0729,436.0728,-.0104 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Rivaroxaban_3769_p,15.74,Target Compound,010_Cali20,35307355,N/A,0,15.73,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,5730853,-0.01,C19H18ClN3O5S,M+H,8701.31,N/A,N/A,436.0729,436.0728,-.1504 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Rivaroxaban_3769_p,15.74,Target Compound,011_Cali50,68506213,N/A,0,15.74,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,11313388,0.00,C19H18ClN3O5S,M+H,21753.28,N/A,N/A,436.0729,436.073,.4095 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Rivaroxaban_3769_p,15.74,Target Compound,012_blankEvian_2,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,11,1,012_blankEvian_2,,N/F,N/F,C19H18ClN3O5S,N/A,N/A,N/F,N/A,436.0729,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Rivaroxaban_3769_p,15.74,Target Compound,036_wash,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,12,1,036_wash,,N/F,N/F,C19H18ClN3O5S,N/A,N/A,N/F,N/A,436.0729,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Rivaroxaban_3769_p,15.74,Target Compound,037_Cali3,4321498,N/A,0,15.72,Processed,3,Cal Std,N/A,T1,,13,1,037_Cali3,,740962,-0.02,C19H18ClN3O5S,M+H,1305.2,N/A,N/A,436.0729,436.0728,-.0804 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Rivaroxaban_3769_p,15.74,Target Compound,038_blankEvian,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,14,1,038_blankEvian,,N/F,N/F,C19H18ClN3O5S,N/A,N/A,N/F,N/A,436.0729,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Rivaroxaban_3769_p,15.74,Target Compound,039_fie1_air_biof_btq_0_r1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,15,1,039_fie1_air_biof_btq_0_r1,,N/F,N/F,C19H18ClN3O5S,N/A,N/A,N/F,N/A,436.0729,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Rivaroxaban_3769_p,15.74,Target Compound,040_fie1_air_biof_btq_0_r2,2277311,N/A,0,15.71,Processed,,Unknown,N/A,T1,,16,1,040_fie1_air_biof_btq_0_r2,,394582,-0.03,C19H18ClN3O5S,M+H,N/A,N/A,N/A,436.0729,436.0727,-.2903 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Rivaroxaban_3769_p,15.74,Target Compound,041_fie1_air_biof_btq_0_r3,2345110,N/A,0,15.74,Processed,,Unknown,N/A,T1,,17,1,041_fie1_air_biof_btq_0_r3,,388668,0.00,C19H18ClN3O5S,M+H,N/A,N/A,N/A,436.0729,436.0731,.6194 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Rivaroxaban_3769_p,15.74,Target Compound,042_fie1_air_biof_btq_0_r4,12158837,N/A,0,15.73,Processed,,Unknown,N/A,T1,,18,1,042_fie1_air_biof_btq_0_r4,,2103068,-0.01,C19H18ClN3O5S,M+H,N/A,N/A,N/A,436.0729,436.073,.3395 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Rivaroxaban_3769_p,15.74,Target Compound,043_fie1_air_biof_btq_0_r5,26707362,N/A,0,15.72,Processed,,Unknown,N/A,T1,,19,1,043_fie1_air_biof_btq_0_r5,,4448788,-0.02,C19H18ClN3O5S,M+H,N/A,N/A,N/A,436.0729,436.0728,-.0804 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Rivaroxaban_3769_p,15.74,Target Compound,044_fie1_air_biof_btq_0_r6,23018116,N/A,0,15.73,Processed,,Unknown,N/A,T1,,20,1,044_fie1_air_biof_btq_0_r6,,3693265,-0.01,C19H18ClN3O5S,M+H,N/A,N/A,N/A,436.0729,436.0729,.1995 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Rivaroxaban_3769_p,15.74,Target Compound,045_blank,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,21,1,045_blank,,N/F,N/F,C19H18ClN3O5S,N/A,N/A,N/F,N/A,436.0729,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Rivaroxaban_3769_p,15.74,Target Compound,046_fie1_air_biof_scq_0_r1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,22,1,046_fie1_air_biof_scq_0_r1,,N/F,N/F,C19H18ClN3O5S,N/A,N/A,N/F,N/A,436.0729,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Rivaroxaban_3769_p,15.74,Target Compound,047_fie1_air_biof_scq_0_r2,2197520,N/A,0,15.74,Processed,,Unknown,N/A,T1,,23,1,047_fie1_air_biof_scq_0_r2,,442177,0.00,C19H18ClN3O5S,M+H,N/A,N/A,N/A,436.0729,436.0732,.7594 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
