Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Sacubitril_p,19.05,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C24H29NO5,N/A,N/A,N/F,N/A,412.2118,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Sacubitril_p,19.05,Target Compound,003_Cali025,1298759,N/A,0,19.03,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,250634,-0.02,C24H29NO5,M-H,102.8,N/A,N/A,412.2118,412.2122,.8690 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Sacubitril_p,19.05,Target Compound,004_Cali05,2794423,N/A,0,19.03,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,493829,-0.02,C24H29NO5,M-H,205.6,N/A,N/A,412.2118,412.212,.5728 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Sacubitril_p,19.05,Target Compound,005_Cali1,4413938,N/A,0,19.04,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,860051,-0.01,C24H29NO5,M-H,411.2,N/A,N/A,412.2118,412.212,.4988 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Sacubitril_p,19.05,Target Compound,006_Cali3,13445978,N/A,0,19.04,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,2309247,-0.01,C24H29NO5,M-H,1233.61,N/A,N/A,412.2118,412.2121,.6469 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Sacubitril_p,19.05,Target Compound,007_Cali5,25318182,N/A,0,19.02,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,4405437,-0.03,C24H29NO5,M-H,2056.02,N/A,N/A,412.2118,412.2118,.0546 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Sacubitril_p,19.05,Target Compound,008_Cali8,36605567,N/A,0,19.05,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,6792025,0.00,C24H29NO5,M-H,3289.64,N/A,N/A,412.2118,412.212,.4248 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Sacubitril_p,19.05,Target Compound,009_Cali10,53326932,N/A,0,19.05,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,10548635,0.00,C24H29NO5,M-H,4112.05,N/A,N/A,412.2118,412.2119,.1286 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Sacubitril_p,19.05,Target Compound,010_Cali20,113418141,N/A,0,19.05,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,20260790,0.00,C24H29NO5,M-H,8224.09,N/A,N/A,412.2118,412.2118,-.0194 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Sacubitril_p,19.05,Target Compound,011_Cali50,229147731,N/A,0,19.05,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,37830720,0.00,C24H29NO5,M-H,20560.23,N/A,N/A,412.2118,412.212,.4248 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
