Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Sertraline_10552_p,15.62,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C17H17Cl2N,N/A,N/A,N/F,N/A,306.081,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Sertraline_10552_p,15.62,Target Compound,003_Cali025,943982,N/A,0,15.47,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,176881,-0.15,C17H17Cl2N,M+H,76.27,N/A,N/A,306.081,306.0813,1.0760 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Sertraline_10552_p,15.62,Target Compound,004_Cali05,1851239,N/A,0,15.45,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,335247,-0.17,C17H17Cl2N,M+H,152.54,N/A,N/A,306.081,306.0814,1.2754 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Sertraline_10552_p,15.62,Target Compound,005_Cali1,3457966,N/A,0,15.46,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,640692,-0.16,C17H17Cl2N,M+H,305.07,N/A,N/A,306.081,306.0814,1.1757 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Sertraline_10552_p,15.62,Target Compound,006_Cali3,10098582,N/A,0,15.46,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,1825026,-0.16,C17H17Cl2N,M+H,915.22,N/A,N/A,306.081,306.0815,1.6742 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Sertraline_10552_p,15.62,Target Compound,007_Cali5,22277958,N/A,0,15.46,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,6101672,-0.16,C17H17Cl2N,M+H,1525.37,N/A,N/A,306.081,306.0816,1.8736 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Sertraline_10552_p,15.62,Target Compound,008_Cali8,28550194,N/A,0,15.49,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,5009726,-0.13,C17H17Cl2N,M+H,2440.59,N/A,N/A,306.081,306.0812,.5775 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Sertraline_10552_p,15.62,Target Compound,009_Cali10,38262581,N/A,0,15.46,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,6788925,-0.16,C17H17Cl2N,M+H,3050.74,N/A,N/A,306.081,306.0813,1.0760 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Sertraline_10552_p,15.62,Target Compound,010_Cali20,75322565,N/A,0,15.44,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,13395601,-0.18,C17H17Cl2N,M+H,6101.48,N/A,N/A,306.081,306.0812,.6772 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Sertraline_10552_p,15.62,Target Compound,011_Cali50,169170925,N/A,0,15.45,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,29282218,-0.17,C17H17Cl2N,M+H,15253.69,N/A,N/A,306.081,306.081,-.0207 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Sertraline_10552_p,15.62,Target Compound,012_blankEvian_2,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,11,1,012_blankEvian_2,,N/F,N/F,C17H17Cl2N,N/A,N/A,N/F,N/A,306.081,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Sertraline_10552_p,15.62,Target Compound,036_wash,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,12,1,036_wash,,N/F,N/F,C17H17Cl2N,N/A,N/A,N/F,N/A,306.081,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
