Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Sulfasalazine_11013_p,18.07,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C18H14N4O5S,N/A,N/A,N/F,N/A,399.0758,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Sulfasalazine_11013_p,18.07,Target Compound,003_Cali025,952122,N/A,0,18.02,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,121299,-0.05,C18H14N4O5S,M+H,99.52,N/A,N/A,399.0758,399.0761,.7789 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Sulfasalazine_11013_p,18.07,Target Compound,004_Cali05,1931159,N/A,0,18.03,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,271763,-0.04,C18H14N4O5S,M+H,199.03,N/A,N/A,399.0758,399.0761,.7024 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Sulfasalazine_11013_p,18.07,Target Compound,005_Cali1,3475524,N/A,0,18,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,489987,-0.07,C18H14N4O5S,M+H,398.07,N/A,N/A,399.0758,399.076,.5495 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Sulfasalazine_11013_p,18.07,Target Compound,006_Cali3,10228012,N/A,0,18.02,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,1236530,-0.05,C18H14N4O5S,M+H,1194.21,N/A,N/A,399.0758,399.076,.5495 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Sulfasalazine_11013_p,18.07,Target Compound,007_Cali5,21051404,N/A,0,18.03,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,2613148,-0.04,C18H14N4O5S,M+H,1990.34,N/A,N/A,399.0758,399.0759,.3201 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Sulfasalazine_11013_p,18.07,Target Compound,008_Cali8,30519442,N/A,0,18.05,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,3875094,-0.02,C18H14N4O5S,M+H,3184.55,N/A,N/A,399.0758,399.0762,.9318 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Sulfasalazine_11013_p,18.07,Target Compound,009_Cali10,39399242,N/A,0,18.07,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,4528685,0.00,C18H14N4O5S,M+H,3980.68,N/A,N/A,399.0758,399.076,.4730 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Sulfasalazine_11013_p,18.07,Target Compound,010_Cali20,85981764,N/A,0,18.07,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,10052581,0.00,C18H14N4O5S,M+H,7961.37,N/A,N/A,399.0758,399.0758,.0142 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Sulfasalazine_11013_p,18.07,Target Compound,011_Cali50,167175971,N/A,0,18.07,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,20447268,0.00,C18H14N4O5S,M+H,19903.42,N/A,N/A,399.0758,399.0759,.1671 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
