Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Tolperison_p,12.19,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,,N/A,N/A,N/F,N/A,246.1852,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,003_Cali025,2751352,N/A,0,12.08,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,629534,-0.11,,M+H,61.29,N/A,N/A,246.1852,246.1853,.2314 (ppm),0,Manual,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Tolperison_p,12.19,Target Compound,004_Cali05,6329664,N/A,0,12.09,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,979366,-0.10,,M+H,122.59,N/A,N/A,246.1852,246.1853,.5413 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Tolperison_p,12.19,Target Compound,005_Cali1,10587160,N/A,0,12.06,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,1522680,-0.13,,M+H,245.18,N/A,N/A,246.1852,246.1851,-.2645 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Tolperison_p,12.19,Target Compound,006_Cali3,31267533,N/A,0,12.08,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,6077297,-0.11,,M+H,735.53,N/A,N/A,246.1852,246.1853,.4173 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Tolperison_p,12.19,Target Compound,007_Cali5,69274500,N/A,0,12.06,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,15690971,-0.13,,M+H,1225.89,N/A,N/A,246.1852,246.1852,.1694 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Tolperison_p,12.19,Target Compound,008_Cali8,85019793,N/A,0,12.08,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,15199906,-0.11,,M+H,1961.42,N/A,N/A,246.1852,246.1853,.6032 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Tolperison_p,12.19,Target Compound,009_Cali10,123337136,N/A,0,12.09,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,22970476,-0.10,,M+H,2451.78,N/A,N/A,246.1852,246.1853,.3553 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Tolperison_p,12.19,Target Compound,010_Cali20,254885477,N/A,0,12.07,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,36538959,-0.12,,M+H,4903.56,N/A,N/A,246.1852,246.1854,.7892 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Tolperison_p,12.19,Target Compound,011_Cali50,539411343,N/A,0,12.06,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,110739693,-0.13,,M+H,12258.9,N/A,N/A,246.1852,246.1855,1.3470 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Tolperison_p,12.19,Target Compound,012_blankEvian_2,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,11,1,012_blankEvian_2,,N/F,N/F,,N/A,N/A,N/F,N/A,246.1852,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,036_wash,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,12,1,036_wash,,N/F,N/F,,N/A,N/A,N/F,N/A,246.1852,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,037_Cali3,32137023,N/A,0,11.98,Processed,3,Cal Std,N/A,T1,,13,1,037_Cali3,,6490856,-0.21,,M+H,735.53,N/A,N/A,246.1852,246.1851,-.5124 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Tolperison_p,12.19,Target Compound,038_blankEvian,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,14,1,038_blankEvian,,N/F,N/F,,N/A,N/A,N/F,N/A,246.1852,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,039_fie1_air_biof_btq_0_r1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,15,1,039_fie1_air_biof_btq_0_r1,,N/F,N/F,,N/A,N/A,N/F,N/A,246.1852,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,040_fie1_air_biof_btq_0_r2,5465557,N/A,0,11.99,Processed,,Unknown,N/A,T1,,16,1,040_fie1_air_biof_btq_0_r2,,939382,-0.20,,M+H,N/A,N/A,N/A,246.1852,246.1851,-.2645 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,041_fie1_air_biof_btq_0_r3,5995913,N/A,0,11.98,Processed,,Unknown,N/A,T1,,17,1,041_fie1_air_biof_btq_0_r3,,1125308,-0.21,,M+H,N/A,N/A,N/A,246.1852,246.1852,-.2025 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,042_fie1_air_biof_btq_0_r4,27531327,N/A,0,12,Processed,,Unknown,N/A,T1,,18,1,042_fie1_air_biof_btq_0_r4,,3998906,-0.19,,M+H,N/A,N/A,N/A,246.1852,246.1853,.5413 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,043_fie1_air_biof_btq_0_r5,71597865,N/A,0,11.98,Processed,,Unknown,N/A,T1,,19,1,043_fie1_air_biof_btq_0_r5,,14619083,-0.21,,M+H,N/A,N/A,N/A,246.1852,246.1853,.2933 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,044_fie1_air_biof_btq_0_r6,65440996,N/A,0,11.99,Processed,,Unknown,N/A,T1,,20,1,044_fie1_air_biof_btq_0_r6,,10015316,-0.20,,M+H,N/A,N/A,N/A,246.1852,246.1854,.7272 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,045_blank,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,21,1,045_blank,,N/F,N/F,,N/A,N/A,N/F,N/A,246.1852,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,046_fie1_air_biof_scq_0_r1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,22,1,046_fie1_air_biof_scq_0_r1,,N/F,N/F,,N/A,N/A,N/F,N/A,246.1852,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,047_fie1_air_biof_scq_0_r2,8084159,N/A,0,11.99,Processed,,Unknown,N/A,T1,,23,1,047_fie1_air_biof_scq_0_r2,,1421550,-0.20,,M+H,N/A,N/A,N/A,246.1852,246.1853,.4173 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,048_fie1_air_biof_scq_0_r3,7322644,N/A,0,11.98,Processed,,Unknown,N/A,T1,,24,1,048_fie1_air_biof_scq_0_r3,,1011876,-0.21,,M+H,N/A,N/A,N/A,246.1852,246.1855,1.0991 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,049_fie1_air_biof_scq_0_r4,31837061,N/A,0,12,Processed,,Unknown,N/A,T1,,25,1,049_fie1_air_biof_scq_0_r4,,4776753,-0.19,,M+H,N/A,N/A,N/A,246.1852,246.1853,.6032 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,050_fie1_air_biof_scq_0_r5,77774133,N/A,0,11.97,Processed,,Unknown,N/A,T1,,26,1,050_fie1_air_biof_scq_0_r5,,12048096,-0.22,,M+H,N/A,N/A,N/A,246.1852,246.1854,.9751 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,051_fie1_air_biof_scq_0_r6,73158600,N/A,0,12.01,Processed,,Unknown,N/A,T1,,27,1,051_fie1_air_biof_scq_0_r6,,11699418,-0.18,,M+H,N/A,N/A,N/A,246.1852,246.1854,.6652 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,052_blankEvian,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,28,1,052_blankEvian,,N/F,N/F,,N/A,N/A,N/F,N/A,246.1852,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,053_Cali5,50236149,N/A,0,12,Processed,5,Cal Std,N/A,T1,,29,1,053_Cali5,,9265745,-0.19,,M+H,1225.89,N/A,N/A,246.1852,246.1855,1.2850 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Tolperison_p,12.19,Target Compound,054_blankEvian,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,30,1,054_blankEvian,,N/F,N/F,,N/A,N/A,N/F,N/A,246.1852,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,055_fie1_air_asb_btq_0_r1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,31,1,055_fie1_air_asb_btq_0_r1,,N/F,N/F,,N/A,N/A,N/F,N/A,246.1852,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,056_fie1_air_asb_btq_0_r2,11083072,N/A,0,12,Processed,,Unknown,N/A,T1,,32,1,056_fie1_air_asb_btq_0_r2,,1759812,-0.19,,M+H,N/A,N/A,N/A,246.1852,246.1854,.7892 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,057_fie1_air_asb_btq_0_r3,9284863,N/A,0,12.02,Processed,,Unknown,N/A,T1,,33,1,057_fie1_air_asb_btq_0_r3,,1698689,-0.17,,M+H,N/A,N/A,N/A,246.1852,246.1853,.6032 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tolperison_p,12.19,Target Compound,058_fie1_air_asb_btq_0_r4,43267322,N/A,0,12,Processed,,Unknown,N/A,T1,,34,1,058_fie1_air_asb_btq_0_r4,,6128633,-0.19,,M+H,N/A,N/A,N/A,246.1852,246.1854,.7272 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
