Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Torasemid_3145_p,14.34,Target Compound,002_blind,N/F,56397037,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C16H20N4O3S,N/A,N/A,N/F,N/A,349.1329,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,003_Cali025,2403507,69104549,0.035,14.45,Processed,0.25,Cal Std,135.251,T1,,2,1,003_Cali025,,488563,0.11,C16H20N4O3S,M+H,87.03,135.251,N/A,349.1329,349.1331,.4487 (ppm),0,Method,True,False,55.41,24.96,59.43,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Percent coefficient of variance 59.426 > Calibration %CV Test 20. Calibration Amount Diff 55.407% (absolute) > max calibration amount diff 20%
Torasemid_3145_p,14.34,Target Compound,004_Cali05,5021613,63349857,0.079,14.42,Processed,0.5,Cal Std,222.959,T1,,3,1,004_Cali05,,928346,0.08,C16H20N4O3S,M+H,174.06,222.959,N/A,349.1329,349.133,.1864 (ppm),0,Method,True,False,28.09,42.36,69.29,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Percent coefficient of variance 69.288 > Calibration %CV Test 20. Calibration Amount Diff 28.093% (absolute) > max calibration amount diff 20%
Torasemid_3145_p,14.34,Target Compound,005_Cali1,8636392,54533930,0.158,14.42,Processed,1,Cal Std,378.905,T1,,4,1,005_Cali1,,1571593,0.08,C16H20N4O3S,M+H,348.13,378.905,N/A,349.1329,349.1329,.0116 (ppm),0,Method,True,False,8.84,32.16,41.02,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Percent coefficient of variance 41.015 > Calibration %CV Test 20
Torasemid_3145_p,14.34,Target Compound,006_Cali3,27521710,53308783,0.516,14.43,Processed,3,Cal Std,1084.519,T1,,5,1,006_Cali3,,5102169,0.09,C16H20N4O3S,M+H,1044.38,1084.519,N/A,349.1329,349.133,.2738 (ppm),0,Method,True,False,3.84,16.77,18.02,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,007_Cali5,53179714,58981324,0.902,14.43,Processed,5,Cal Std,1844.279,T1,,6,1,007_Cali5,,11117408,0.09,C16H20N4O3S,M+H,1740.63,1844.279,N/A,349.1329,349.133,.2738 (ppm),0,Method,True,False,5.95,9.47,9.86,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,008_Cali8,84031497,56846673,1.478,14.48,Processed,8,Cal Std,2981.014,T1,,7,1,008_Cali8,,18747388,0.14,C16H20N4O3S,M+H,2785,2981.014,N/A,349.1329,349.1329,.0990 (ppm),0,Method,True,False,7.04,12.06,12.36,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,009_Cali10,92228797,45380090,2.032,14.45,Processed,10,Cal Std,4073.533,T1,,8,1,009_Cali10,,16540947,0.11,C16H20N4O3S,M+H,3481.26,4073.533,N/A,349.1329,349.133,.2738 (ppm),0,Method,True,False,17.01,8.51,8.66,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,010_Cali20,214814345,63889348,3.362,14.45,Processed,20,Cal Std,6695.512,T1,,9,1,010_Cali20,,35342400,0.11,C16H20N4O3S,M+H,6962.51,6695.512,N/A,349.1329,349.133,.1864 (ppm),0,Method,True,False,-3.83,5.65,5.7,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,011_Cali50,503116972,54778846,9.185,14.43,Processed,50,Cal Std,18174.172,T1,,10,1,011_Cali50,,83631136,0.09,C16H20N4O3S,M+H,17406.28,18174.172,N/A,349.1329,349.133,.2738 (ppm),0,Method,True,False,4.41,1.35,1.36,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,012_blankEvian_2,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,11,1,012_blankEvian_2,,N/F,N/F,C16H20N4O3S,N/A,N/A,N/F,N/A,349.1329,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,036_wash,N/F,N/F,N/F,N/F,Processed,,Unknown,N/F,T1,,12,1,036_wash,,N/F,N/F,C16H20N4O3S,N/A,N/A,N/F,N/A,349.1329,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,037_Cali3,26991250,55716418,0.484,14.47,Processed,3,Cal Std,1021.765,T1,,13,1,037_Cali3,,4913675,0.13,C16H20N4O3S,M+H,1044.38,1021.765,N/A,349.1329,349.1328,-.4254 (ppm),0,Method,True,False,-2.17,16.77,18.02,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,038_blankEvian,N/F,N/F,N/F,N/F,Processed,,Solvent,N/F,T1,,14,1,038_blankEvian,,N/F,N/F,C16H20N4O3S,N/A,N/A,N/F,N/A,349.1329,N/F,N/F,0,Manual,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,039_fie1_air_biof_btq_0_r1,N/F,33005780,N/F,N/F,Processed,,Unknown,N/F,T1,,15,1,039_fie1_air_biof_btq_0_r1,,N/F,N/F,C16H20N4O3S,N/A,N/A,N/F,N/A,349.1329,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,040_fie1_air_biof_btq_0_r2,12197260,32426725,0.376,14.48,Processed,,Unknown,808.266,T1,,16,1,040_fie1_air_biof_btq_0_r2,,2258419,0.14,C16H20N4O3S,M+H,N/A,808.266,N/A,349.1329,349.133,.2738 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,041_fie1_air_biof_btq_0_r3,10381002,29452944,0.352,14.46,Processed,,Unknown,761.565,T1,,17,1,041_fie1_air_biof_btq_0_r3,,2067406,0.12,C16H20N4O3S,M+H,N/A,761.565,N/A,349.1329,349.1332,.7983 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Torasemid_3145_p,14.34,Target Compound,042_fie1_air_biof_btq_0_r4,65826814,31306109,2.103,14.49,Processed,,Unknown,4212.171,T1,,18,1,042_fie1_air_biof_btq_0_r4,,11434381,0.15,C16H20N4O3S,M+H,N/A,4212.171,N/A,349.1329,349.1331,.6235 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
