Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Tramadol_2567_p,11.21,Target Compound,002_blind,N/F,357688422,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C16H25NO2,N/A,N/A,N/F,N/A,264.1958,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Tramadol_2567_p,11.21,Target Compound,003_Cali025,3280507,437670273,0.007,11.11,Processed,0.25,Cal Std,53.88,T1,,2,1,003_Cali025,,639021,-0.10,C16H25NO2,M+H,65.8,53.88,N/A,264.1958,264.1959,.4272 (ppm),0,Method,True,False,-18.12,9.08,9.17,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tramadol_2567_p,11.21,Target Compound,004_Cali05,6726152,417936795,0.016,11.11,Processed,0.5,Cal Std,115.067,T1,,3,1,004_Cali05,,1229403,-0.10,C16H25NO2,M+H,131.59,115.067,N/A,264.1958,264.1957,-.3814 (ppm),0,Method,True,False,-12.56,6.9,6.93,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tramadol_2567_p,11.21,Target Compound,005_Cali1,14299846,364727595,0.039,11.12,Processed,1,Cal Std,279.543,T1,,4,1,005_Cali1,,2730983,-0.09,C16H25NO2,M+H,263.19,279.543,N/A,264.1958,264.1957,-.4969 (ppm),0,Method,True,False,6.21,5.43,5.44,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tramadol_2567_p,11.21,Target Compound,006_Cali3,38531074,356208611,0.108,11.14,Processed,3,Cal Std,770.294,T1,,5,1,006_Cali3,,7867225,-0.07,C16H25NO2,M+H,789.57,770.294,N/A,264.1958,264.1958,.0806 (ppm),0,Method,True,False,-2.44,2.21,2.21,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tramadol_2567_p,11.21,Target Compound,007_Cali5,68324766,350181097,0.195,11.14,Processed,5,Cal Std,1388.99,T1,,6,1,007_Cali5,,13273832,-0.07,C16H25NO2,M+H,1315.94,1388.99,N/A,264.1958,264.1958,.0806 (ppm),0,Method,True,False,5.55,1.41,1.41,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tramadol_2567_p,11.21,Target Compound,008_Cali8,113083254,376476824,0.3,11.13,Processed,8,Cal Std,2138.032,T1,,7,1,008_Cali8,,19430158,-0.08,C16H25NO2,M+H,2105.51,2138.032,N/A,264.1958,264.1958,-.1504 (ppm),0,Method,True,False,1.54,1.49,1.49,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tramadol_2567_p,11.21,Target Compound,009_Cali10,140483762,355051923,0.396,11.14,Processed,10,Cal Std,2816.19,T1,,8,1,009_Cali10,,23889054,-0.07,C16H25NO2,M+H,2631.89,2816.19,N/A,264.1958,264.1957,-.2659 (ppm),0,Method,True,False,7,2.51,2.51,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tramadol_2567_p,11.21,Target Compound,010_Cali20,290627839,408952509,0.711,11.13,Processed,20,Cal Std,5057.723,T1,,9,1,010_Cali20,,57588340,-0.08,C16H25NO2,M+H,5263.77,5057.723,N/A,264.1958,264.1958,-.0349 (ppm),0,Method,True,False,-3.91,3.57,3.57,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Tramadol_2567_p,11.21,Target Compound,011_Cali50,560410932,300548556,1.865,11.11,Processed,50,Cal Std,13269.479,T1,,10,1,011_Cali50,,115030968,-0.10,C16H25NO2,M+H,13159.43,13269.479,N/A,264.1958,264.196,.6582 (ppm),0,Method,True,False,0.84,5.29,5.29,ng/L,Pass,N/A,N/A,N/A,Fail,Identified,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
