Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Trazodone_10547_p,12.46,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C19H22ClN5O,N/A,N/A,N/F,N/A,372.1585,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Trazodone_10547_p,12.46,Target Compound,003_Cali025,3385423,N/A,0,12.3,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,559160,-0.16,C19H22ClN5O,M+H,92.79,N/A,N/A,372.1585,372.1588,.8423 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Trazodone_10547_p,12.46,Target Compound,004_Cali05,7069058,N/A,0,12.31,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,1491722,-0.15,C19H22ClN5O,M+H,185.58,N/A,N/A,372.1585,372.1587,.4323 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Trazodone_10547_p,12.46,Target Compound,005_Cali1,10655548,N/A,0,12.31,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,2101110,-0.15,C19H22ClN5O,M+H,371.15,N/A,N/A,372.1585,372.1583,-.5517 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Trazodone_10547_p,12.46,Target Compound,006_Cali3,34970807,N/A,0,12.31,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,5555997,-0.15,C19H22ClN5O,M+H,1113.45,N/A,N/A,372.1585,372.1588,.7603 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Trazodone_10547_p,12.46,Target Compound,007_Cali5,61821330,N/A,0,12.33,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,9808399,-0.13,C19H22ClN5O,M+H,1855.76,N/A,N/A,372.1585,372.1588,.8423 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Trazodone_10547_p,12.46,Target Compound,008_Cali8,104577441,N/A,0,12.33,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,31405998,-0.13,C19H22ClN5O,M+H,2969.21,N/A,N/A,372.1585,372.1588,.8423 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Trazodone_10547_p,12.46,Target Compound,009_Cali10,116634714,N/A,0,12.34,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,20901004,-0.12,C19H22ClN5O,M+H,3711.51,N/A,N/A,372.1585,372.1589,1.0063 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Trazodone_10547_p,12.46,Target Compound,010_Cali20,233722200,N/A,0,12.32,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,39082956,-0.14,C19H22ClN5O,M+H,7423.03,N/A,N/A,372.1585,372.1588,.6783 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Trazodone_10547_p,12.46,Target Compound,011_Cali50,420587634,N/A,0,12.31,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,68342912,-0.15,C19H22ClN5O,M+H,18557.56,N/A,N/A,372.1585,372.1591,1.6623 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
