Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Trimipramin_2861_p,15.18,Target Compound,002_blind,N/F,99865174,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,C20H26N2,N/A,N/A,N/F,N/A,295.2169,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,003_Cali025,4779812,122661292,0.039,15.02,Processed,0.25,Cal Std,80.724,T1,,2,1,003_Cali025,,890891,-0.16,C20H26N2,M+H,73.55,80.724,N/A,295.2169,295.217,.5454 (ppm),0,Method,True,False,9.75,0.24,0.32,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,004_Cali05,10344752,119360595,0.087,15.03,Processed,0.5,Cal Std,156.253,T1,,3,1,004_Cali05,,2100942,-0.15,C20H26N2,M+H,147.1,156.253,N/A,295.2169,295.2169,.2353 (ppm),0,Method,True,False,6.22,4.22,4.82,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,005_Cali1,17801501,100011479,0.178,15.03,Processed,1,Cal Std,300.858,T1,,4,1,005_Cali1,,3544325,-0.15,C20H26N2,M+H,294.21,300.858,N/A,295.2169,295.2169,.2353 (ppm),0,Method,True,False,2.26,5.29,5.66,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,006_Cali3,53781717,100737629,0.534,15.03,Processed,3,Cal Std,864.361,T1,,5,1,006_Cali3,,9539749,-0.15,C20H26N2,M+H,882.63,864.361,N/A,295.2169,295.2168,-.1782 (ppm),0,Method,True,False,-2.07,2.35,2.41,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,007_Cali5,101695681,109344802,0.93,15.05,Processed,5,Cal Std,1491.646,T1,,6,1,007_Cali5,,16948034,-0.13,C20H26N2,M+H,1471.05,1491.646,N/A,295.2169,295.2169,-.0748 (ppm),0,Method,True,False,1.4,2.96,3,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,008_Cali8,141684835,95760251,1.48,15.06,Processed,8,Cal Std,2361.77,T1,,7,1,008_Cali8,,22916246,-0.12,C20H26N2,M+H,2353.68,2361.77,N/A,295.2169,295.2169,.1319 (ppm),0,Method,True,False,0.34,3.52,3.55,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,009_Cali10,194135078,95046254,2.043,15.05,Processed,10,Cal Std,3253.144,T1,,8,1,009_Cali10,,34912900,-0.13,C20H26N2,M+H,2942.1,3253.144,N/A,295.2169,295.2169,.1319 (ppm),0,Method,True,False,10.57,3.08,3.1,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,010_Cali20,356841273,97209696,3.671,15.01,Processed,20,Cal Std,5831.385,T1,,9,1,010_Cali20,,61660712,-0.17,C20H26N2,M+H,5884.19,5831.385,N/A,295.2169,295.217,.5454 (ppm),0,Method,True,False,-0.9,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Trimipramin_2861_p,15.18,Target Compound,011_Cali50,645398517,68781620,9.383,15.01,Processed,50,Cal Std,14876.42,T1,,10,1,011_Cali50,,122741488,-0.17,C20H26N2,M+H,14710.48,14876.42,N/A,295.2169,295.2171,.6488 (ppm),0,Method,True,False,1.13,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
