Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Valaciclovir_11003_p,7.09,Target Compound,002_blind,N/F,N/A,N/F,N/F,Processed,,Matrix Blank,N/F,T1,,1,1,002_blind,,N/F,N/F,,N/A,N/A,N/F,N/A,325.1619,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Valaciclovir_11003_p,7.09,Target Compound,003_Cali025,340713,N/A,0,7.1,Processed,0.25,Cal Std,N/A,T1,,2,1,003_Cali025,,65046,0.01,,M+H,81.04,N/A,N/A,325.1619,325.1619,.0808 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Valaciclovir_11003_p,7.09,Target Compound,004_Cali05,852603,N/A,0,7.07,Processed,0.5,Cal Std,N/A,T1,,3,1,004_Cali05,,202965,-0.02,,M+H,162.08,N/A,N/A,325.1619,325.1617,-.6700 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Valaciclovir_11003_p,7.09,Target Compound,005_Cali1,1988613,N/A,0,7.07,Processed,1,Cal Std,N/A,T1,,4,1,005_Cali1,,390961,-0.02,,M+H,324.15,N/A,N/A,325.1619,325.1619,-.1069 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Valaciclovir_11003_p,7.09,Target Compound,006_Cali3,5114788,N/A,0,7.06,Processed,3,Cal Std,N/A,T1,,5,1,006_Cali3,,1062490,-0.03,,M+H,972.46,N/A,N/A,325.1619,325.1619,-.1069 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Valaciclovir_11003_p,7.09,Target Compound,007_Cali5,11435310,N/A,0,7.09,Processed,5,Cal Std,N/A,T1,,6,1,007_Cali5,,2811264,0.00,,M+H,1620.77,N/A,N/A,325.1619,325.1619,.0808 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Valaciclovir_11003_p,7.09,Target Compound,008_Cali8,14239831,N/A,0,7.11,Processed,8,Cal Std,N/A,T1,,7,1,008_Cali8,,2890896,0.02,,M+H,2593.24,N/A,N/A,325.1619,325.1619,-.0131 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Valaciclovir_11003_p,7.09,Target Compound,009_Cali10,20254357,N/A,0,7.1,Processed,10,Cal Std,N/A,T1,,8,1,009_Cali10,,4275116,0.01,,M+H,3241.55,N/A,N/A,325.1619,325.162,.1746 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Valaciclovir_11003_p,7.09,Target Compound,010_Cali20,51973694,N/A,0,7.11,Processed,20,Cal Std,N/A,T1,,9,1,010_Cali20,,9872357,0.02,,M+H,6483.09,N/A,N/A,325.1619,325.1619,-.0131 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Valaciclovir_11003_p,7.09,Target Compound,011_Cali50,90284237,N/A,0,7.1,Processed,50,Cal Std,N/A,T1,,10,1,011_Cali50,,18444708,0.01,,M+H,16207.73,N/A,N/A,325.1619,325.1616,-1.0455 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Valaciclovir_11003_p,7.09,Target Compound,012_blankEvian_2,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,11,1,012_blankEvian_2,,N/F,N/F,,N/A,N/A,N/F,N/A,325.1619,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Valaciclovir_11003_p,7.09,Target Compound,036_wash,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,12,1,036_wash,,N/F,N/F,,N/A,N/A,N/F,N/A,325.1619,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Valaciclovir_11003_p,7.09,Target Compound,037_Cali3,5541008,N/A,0,7.08,Processed,3,Cal Std,N/A,T1,,13,1,037_Cali3,,1362069,-0.01,,M+H,972.46,N/A,N/A,325.1619,325.1616,-.8577 (ppm),0,Method,True,False,NaN,0,0,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calibration Amount Diff -100% (absolute) > max calibration amount diff 20%
Valaciclovir_11003_p,7.09,Target Compound,038_blankEvian,N/F,N/A,N/F,N/F,Processed,,Solvent,N/F,T1,,14,1,038_blankEvian,,N/F,N/F,,N/A,N/A,N/F,N/A,325.1619,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Valaciclovir_11003_p,7.09,Target Compound,039_fie1_air_biof_btq_0_r1,N/F,N/A,N/F,N/F,Processed,,Unknown,N/F,T1,,15,1,039_fie1_air_biof_btq_0_r1,,N/F,N/F,,N/A,N/A,N/F,N/A,325.1619,N/F,N/F,0,Method,True,False,N/A,N/A,N/A,ng/L,Fail,N/A,N/A,N/A,N/A,NotFound,N/A,N/A,N/A,N/A,,,,,N/A,N/A,N/A,N/A,,
Valaciclovir_11003_p,7.09,Target Compound,040_fie1_air_biof_btq_0_r2,664004,N/A,0,7.09,Processed,,Unknown,N/A,T1,,16,1,040_fie1_air_biof_btq_0_r2,,190159,0.00,,M+H,N/A,N/A,N/A,325.1619,325.1619,.0808 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Valaciclovir_11003_p,7.09,Target Compound,041_fie1_air_biof_btq_0_r3,489547,N/A,0,7.09,Processed,,Unknown,N/A,T1,,17,1,041_fie1_air_biof_btq_0_r3,,148549,0.00,,M+H,N/A,N/A,N/A,325.1619,325.162,.4562 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,N/A,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
