Compound,RT,Type,Filename,Area,ISTD Response,Response Ratio,Actual RT,Status,Level,Sample Type,Calculated Amt,Peak Label,Group,Batch Order,Sample ID,Sample Name,Comments,Height,RT Delta,Formula,Adduct,Theoretical Amt,Sample Amt,Std Add Amount,m/z (Expected),m/z (Apex),m/z (Delta),ISTD Amt,Integration Mode,Active,Excluded,%Diff,%RSD,% CV,Final Units,PK,IR,IP,LS,FI,Confirm,Isotopic Pattern Score (%),Num Isotopes Matched,Lib Match Name,Library Score (%),Library Match Rank,SI/Dot Product,RSI/Rev Dot,Library Probability Percent,S/N,Target Ion Ratio,Ion Ratio,Group Average,Relative RT,Flag Details
Venlafaxin_645_p,12.9,Target Compound,002_blind,1222216,365925884,0.003,12.88,Processed,,Matrix Blank,0.884,T1,,1,1,002_blind,,213986,-0.02,C17H27NO2,M+H,N/A,0.884,N/A,278.2115,278.2115,-.0133 (ppm),0,Method,True,False,N/A,N/A,N/A,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,Calculated amount 0.884 > blank evaluation value 0
Venlafaxin_645_p,12.9,Target Compound,003_Cali025,5691600,378558088,0.015,12.9,Processed,0.25,Cal Std,64.723,T1,,2,1,003_Cali025,,1045559,0.00,C17H27NO2,M+H,69.3,64.723,N/A,278.2115,278.2116,.5352 (ppm),0,Method,True,False,-6.61,0.57,0.45,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,12.9,Target Compound,004_Cali05,10963208,385215131,0.028,12.89,Processed,0.5,Cal Std,138.005,T1,,3,1,004_Cali05,,1961842,-0.01,C17H27NO2,M+H,138.6,138.005,N/A,278.2115,278.2115,.0964 (ppm),0,Method,True,False,-0.43,2.72,2.42,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,12.9,Target Compound,005_Cali1,17630196,332354523,0.053,12.89,Processed,1,Cal Std,272.215,T1,,4,1,005_Cali1,,3285356,-0.01,C17H27NO2,M+H,277.2,272.215,N/A,278.2115,278.2115,.3158 (ppm),0,Method,True,False,-1.8,2.52,2.37,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,12.9,Target Compound,006_Cali3,56120958,371133102,0.151,12.89,Processed,3,Cal Std,808.086,T1,,5,1,006_Cali3,,11913931,-0.01,C17H27NO2,M+H,831.61,808.086,N/A,278.2115,278.2116,.6448 (ppm),0,Method,True,False,-2.83,2.83,2.77,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,12.9,Target Compound,007_Cali5,102618361,392787325,0.261,12.89,Processed,5,Cal Std,1408.768,T1,,6,1,007_Cali5,,23550736,-0.01,C17H27NO2,M+H,1386.02,1408.768,N/A,278.2115,278.2117,.9739 (ppm),0,Method,True,False,1.64,1.59,1.57,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,12.9,Target Compound,008_Cali8,124012692,306108984,0.405,12.89,Processed,8,Cal Std,2194.103,T1,,7,1,008_Cali8,,20924284,-0.01,C17H27NO2,M+H,2217.63,2194.103,N/A,278.2115,278.2115,.3158 (ppm),0,Method,True,False,-1.06,3.04,3.02,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,12.9,Target Compound,009_Cali10,179697498,314816476,0.571,12.91,Processed,10,Cal Std,3098.468,T1,,8,1,009_Cali10,,32717303,0.01,C17H27NO2,M+H,2772.04,3098.468,N/A,278.2115,278.2115,.0964 (ppm),0,Method,True,False,11.78,3.05,3.03,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,12.9,Target Compound,010_Cali20,350013903,356042012,0.983,12.89,Processed,20,Cal Std,5348.908,T1,,9,1,010_Cali20,,67084654,-0.01,C17H27NO2,M+H,5544.08,5348.908,N/A,278.2115,278.2116,.4255 (ppm),0,Method,True,False,-3.52,3.05,3.04,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
Venlafaxin_645_p,12.9,Target Compound,011_Cali50,685418371,276340024,2.48,12.9,Processed,50,Cal Std,13522.047,T1,,10,1,011_Cali50,,121115376,0.00,C17H27NO2,M+H,13860.21,13522.047,N/A,278.2115,278.2117,.7545 (ppm),0,Method,True,False,-2.44,0.5,0.5,ng/L,Pass,N/A,N/A,N/A,Pass,Confirmed,N/A,N/A,N/A,N/A,,,,,INF,N/A,N/A,N/A,,
