Compound,ar_mean,ar_stdv,rr_mean,rr_stdv
Acemetacin_AS,20,3.6,84.5,24.3
Acemetacin_BF,17.6,3.4,84.6,13.3
Albuterol_AS,37.2,2.3,74.8,3
Albuterol_BF,36.2,9.8,78.1,5.8
Amisulprid_AS,43,8.1,71.7,4.7
Amisulprid_BF,47.1,4.8,78.1,4.1
Chlorotoluron_AS,5,4.2,76.1,8
Chlorotoluron_BF,5,5,72.9,6
Codein_AS,35.4,2.5,82.5,15.5
Codein_BF,33.3,3.6,72,10.2
Cyclophosphamid_AS,35,4.7,73.8,6.8
Cyclophosphamid_BF,42.2,5.7,76.9,11.7
Darunavir_AS,30.7,5.2,75.1,12.9
Darunavir_BF,4.6,7.9,66.4,16.9
Diclofenac_AS,14,8,67.1,18.5
Diclofenac_BF,13.7,3.9,72.8,20.2
Diltiazem_AS,42.6,7.1,76.2,15
Diltiazem_BF,19.8,4.6,133.5,33.5
Emtricitabine_AS,37.1,5.4,80.3,10.4
Emtricitabine_BF,26,15.7,79.5,3.2
Etodolac_AS,64.4,9.3,76.1,8.8
Etodolac_BF,62.6,7.5,82,2.7
Isoproturon_AS,28.8,8.9,74.7,13.9
Isoproturon_BF,31.3,9,87.1,4.9
Ketamin_AS,40.5,4.8,68.9,3
Ketamin_BF,40.9,10.6,73.5,8.7
Levamisol_AS,33,12.9,82.8,29.9
Levamisol_BF,28.6,5.4,72.4,7.4
Losartan_AS,55.1,19.6,77,5.2
Losartan_BF,11.1,4.8,62.4,19.1
Metoclopramid_AS,36.9,8.6,77.6,32.2
Metoclopramid_BF,30,9.7,70.2,16.9
Metoxuron_AS,9.4,30.6,20.8,69.8
Metoxuron_BF,5,29.8,12.2,58
Monuron_AS,36.8,8.6,76.7,8.5
Monuron_BF,35.7,6.8,77,6.2
Morphin_AS,27.8,7.3,88.3,6.5
Morphin_BF,18.7,10.5,76.3,8.3
Neohesperidin dihydrochalcon_AS,33.4,8.9,32,94.6
Neohesperidin dihydrochalcon_BF,20.5,5.3,35.4,32.2
Neotam_AS,42.9,5.9,80.9,5.3
Neotam_BF,42.4,9.5,79.7,5.4
Pantoprazol_AS,56.5,2.6,80.1,8.1
Pantoprazol_BF,41.4,21.5,73.1,12.4
Pravastatin_AS,21.7,6.1,71.2,13.5
Pravastatin_BF,13,13,85,6.8
Primidon_AS,29.4,6.8,88,16.8
Primidon_BF,33.3,4.1,73.2,20.1
Propranolol_AS,39.7,6.4,70.4,2.4
Propranolol_BF,22.1,5.4,105.9,7
Torasemid_AS,48.4,7.6,75.4,16.8
Torasemid_BF,38,5.3,80.8,3.6
Tramadol_AS,37.4,6.3,71.9,7
Tramadol_BF,39.5,2.6,71.3,4
Trimipramin_AS,17.7,3.9,8.4,0.6
Trimipramin_BF,1.6,1.1,12.9,9.2
Venlafaxin_AS,36.7,5.6,77.1,5.5
Venlafaxin_BF,38.9,5.4,76.4,5.7
